name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/28,https://github.com/hyperledger/blockchain-explorer/pull/28,posa88,create database automatically when the db container is up,"the script, 'createdb.sh' is written for manually execution in 'app/persistence/fabric/postgreSQL/db/'.
It doesn't work in the docker container(created by docker-compose) at all even though we already put it at '/docker-entrypoint-initdb.d/'.
This PR makes it work well.",[],1,2019-03-13 12:05:10,2019-03-16 13:27:32,2019-03-16 13:27:32,False,,,clean,True,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/27,https://github.com/hyperledger/blockchain-explorer/pull/27,edisinovcic,Update deploy_explorer.sh,"For docker deployment exposed port is 8090 instead of mentioned 8080.

Change in README or in deploy_explorer.sh is needed.

I've updated deploy_run_explorer function to 8080:8080 so internal and external port is the same and it's the one used in documentation.",[],1,2019-02-19 13:12:46,2019-02-19 14:01:11,2019-02-19 14:01:11,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/26,https://github.com/hyperledger/blockchain-explorer/pull/26,FlorianBoyaka,Update explorerpg.sql,Removed all the : (colons) before each variable name.,[],1,2019-02-17 18:28:18,2019-02-17 19:00:38,2019-02-18 04:59:11,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/25,https://github.com/hyperledger/blockchain-explorer/pull/25,Durairaj,Removed [.] Dot.,When copying its causing inconvenience to clone repo,[],1,2019-02-06 00:50:40,2019-02-09 08:02:19,2019-02-09 08:02:19,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/24,https://github.com/hyperledger/blockchain-explorer/pull/24,sunyoubo,Update TROUBLESHOOT.md,add troubleshoot,[],1,2018-12-13 11:24:22,2018-12-14 02:43:43,2018-12-14 02:44:19,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/23,https://github.com/hyperledger/blockchain-explorer/pull/23,sunyoubo,Update TROUBLESHOOT.md,add troubleshoot,[],1,2018-12-13 10:12:32,2018-12-13 10:32:49,2018-12-13 10:32:49,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/22,https://github.com/hyperledger/blockchain-explorer/pull/22,ddemydenko,Unzipping feature,Unzipping feature,[],22,2018-12-11 13:59:34,2018-12-11 14:04:11,2018-12-11 16:37:06,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/21,https://github.com/hyperledger/blockchain-explorer/pull/21,mffrench,Improve explorer db image config...,"... by using Postgre entrypoint feature as described here : https://hub.docker.com/_/postgres/ (How to extend this image)

Then I'm able to run Hyperledger Explorer as follow : 

```
version: '2.1'

networks:
  mynetwork.com:
    name: mynetwork.com

services:

  explorerdb.mynetwork.com:
    image: mffrench/explorer-db:0.3.5.1
    container_name: explorerdb.mynetwork.com
    hostname: explorerdb.mynetwork.com
    environment:
      - DATABASE_DATABASE=fabricexplorer
      - DATABASE_USERNAME=hppoc
      - DATABASE_PASSWORD=password
    command: bash -c ""cp /opt/createdb.sh /docker-entrypoint-initdb.d && /docker-entrypoint.sh postgres""
    networks:
      - mynetwork.com

  explorer.mynetwork.com:
    image: mffrench/explorer:0.3.5.1
    container_name: explorer.mynetwork.com
    hostname: explorer.mynetwork.com
    environment:
      - DATABASE_HOST=explorerdb.mynetwork.com
      - DATABASE_USERNAME=hppoc
      - DATABASE_PASSWD=password
    volumes:
      - ./explorer-config/config.json:/opt/explorer/app/platform/fabric/config.json
      - ./crypto-config:/tmp/crypto
    command: sh -c ""sleep 16 && node /opt/explorer/main.js && tail -f /dev/null""
    ports:
      - 8090:8080
    networks:
     - mynetwork.com
```",[],2,2018-11-21 18:24:24,2018-11-23 09:13:22,2018-11-23 13:08:58,False,,,unstable,True,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/20,https://github.com/hyperledger/blockchain-explorer/pull/20,CsterKuroi,Update FabricVerison.js,,[],1,2018-09-13 09:08:38,2018-09-20 01:49:55,2018-09-20 01:49:55,False,,,unknown,,closed
blockchain-explorer,https://api.github.com/repos/hyperledger/blockchain-explorer/pulls/19,https://github.com/hyperledger/blockchain-explorer/pull/19,Park-Kevin,getBlockTimeStamp return date depends on timezone.,getBlockTimeStamp will be maintain utc+0,[],3,2018-09-13 07:03:15,2018-09-20 01:49:43,2018-09-20 01:49:43,False,,,unknown,,closed
