name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
burrow,gregdhill,https://github.com/hyperledger/burrow/pull/1085,https://api.github.com/repos/hyperledger/burrow/issues/1085,add validator docs,"Signed-off-by: Gregory Hill <greg.hill@monax.io>

Resolves #1064",closed,True,2019-04-04 10:31:24,2019-04-04 10:36:49
burrow,seanyoung,https://github.com/hyperledger/burrow/pull/1084,https://api.github.com/repos/hyperledger/burrow/issues/1084,Add some documentation on dump and restore,Signed-off-by: Sean Young <sean.young@monax.io>,closed,True,2019-04-04 09:36:36,2019-04-04 09:51:05
burrow,compleatang,https://github.com/hyperledger/burrow/issues/1083,https://api.github.com/repos/hyperledger/burrow/issues/1083,[SNatives] Contract Call Scheduler,"> Blockchains are good at two things: time & ordering

- @silasdavis 

Currently in most blockchain designs we do not have an ability to schedule future processing. However there are many useful reasons why such a feature would be leveraged. This ticket summarizes the two key user stories for leveraging such a feature.

### User Story A: Account Driven Scheduling

As a properly permissioned user of a burrow blockchain, I need to be able to send a transaction at `time.Now()` that is properly signed and has the transaction signature along the lines of `destination, executionTime, data`. Upon receiving and ensuring such a transaction is properly signed and permissioned, the nodes operating a burrow network should schedule this transaction for execution in the block which covers the unixTime placed in the `executionTime` with the original sender built into the transaction envelope. 

### User Story B: Contract Drive Scheduling

As a properly permissioned user of a burrow blockchain, I need to be able to deploy a contract that can interact with the scheduler in a similar manner to the user story listed above. ",open,False,2019-04-03 15:31:51,2019-04-03 15:31:51
burrow,seanyoung,https://github.com/hyperledger/burrow/pull/1082,https://api.github.com/repos/hyperledger/burrow/issues/1082,Upgrade to tendermint 0.31.2,Signed-off-by: Sean Young <sean.young@monax.io>,closed,True,2019-04-01 12:31:09,2019-04-03 15:12:23
burrow,silasdavis,https://github.com/hyperledger/burrow/pull/1081,https://api.github.com/repos/hyperledger/burrow/issues/1081,Fix NoConsensus Mode. Refactor tests. Test NoConsensus mode.,"No consensus mode was not resetting the checker which meant CallTxSim was not working.

This PR fixes this and also heavily refactors tests to avoid the use of main_test which leads to poor encapsulation and stops us from running tests over different kernel configurations.

Subtests can be used to achieve the same effect and also lead to easier parallelism. Reworked the integration test helpers to facilitate this.",open,True,2019-03-30 13:43:50,2019-04-04 10:34:42
burrow,gregdhill,https://github.com/hyperledger/burrow/pull/1080,https://api.github.com/repos/hyperledger/burrow/issues/1080,add configurable dump timeout,Signed-off-by: Gregory Hill <greg.hill@monax.io>,closed,True,2019-03-29 10:22:43,2019-03-29 10:30:54
burrow,seanyoung,https://github.com/hyperledger/burrow/pull/1079,https://api.github.com/repos/hyperledger/burrow/issues/1079,Teach burrow deploy to execute multiple deploy jobs concurrently,burrow deploy can exe,closed,True,2019-03-21 17:20:50,2019-04-03 16:24:14
burrow,seanyoung,https://github.com/hyperledger/burrow/pull/1078,https://api.github.com/repos/hyperledger/burrow/issues/1078,Merge for v0.24.6 release,,closed,True,2019-03-19 17:37:28,2019-03-19 17:37:48
burrow,seanyoung,https://github.com/hyperledger/burrow/pull/1077,https://api.github.com/repos/hyperledger/burrow/issues/1077,Master,,closed,True,2019-03-19 17:30:38,2019-03-19 17:30:57
burrow,silasdavis,https://github.com/hyperledger/burrow/pull/1076,https://api.github.com/repos/hyperledger/burrow/issues/1076,"Fix metrics, block time iota, and prepare release",Signed-off-by: Silas Davis <silas@monax.io>,closed,True,2019-03-19 16:48:57,2019-03-19 17:00:04
