name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/401,https://github.com/hyperledger/caliper/pull/401,Ram-srini,Added compose files for fabric 1.4 with kafka consensus with golevel db,"Signed-off-by: Ramakrishna Srinivasamurthy <ramakrishna.srinivasamurthy@intel.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [ ]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [ ]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story
<!--- What issue / user story is this for -->

## Steps to Reproduce
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug include code to reproduce, if relevant -->
1.
2.
3.
4.


## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-caliper)
- [ ] [GitHub Issues](https://github.com/hyperledger/caliper/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/caliper)

<!-- please include any links to issues here -->

## Design of the fix
<!-- Focus on why you designed this fix this way, and what was discounted. Do not describe just the code - we can read that! -->

## Validation of the fix
<!-- Over and above the tests, what has been done to prove this works? -->

## Automated Tests
<!-- Please describe the automated tests that are put in place to stop this recurring -->

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->
",[],1,2019-04-02 07:04:58,,2019-04-03 10:26:59,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/400,https://github.com/hyperledger/caliper/pull/400,feihujiang,Fix undefined error,"Signed-off-by: feihujiang <jiangfeihu@huawei.com>

Fix the error: ""error: [monitor-docker.js]: TypeError: Cannot read property 'id' of undefined"".",[],1,2019-04-01 11:37:13,,2019-04-01 11:37:13,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/399,https://github.com/hyperledger/caliper/pull/399,panyu4,Fix TPS computation for batch mode,"Signed-off-by: panyu2 <PY.panyu@huawei.com>


## Issue/User story
<!--- What issue / user story is this for -->
When the  transactions are not sent evenly eg. sending several transactions with one workload, current TPS may give some strange throughtput since in some situations the time used for transactions is not accurately computed. 


## Existing issues
#226 

## Design of the fix
<!-- Focus on why you designed this fix this way, and what was discounted. Do not describe just the code - we can read that! -->
1. record the maximum final time of all successful and failed transactions;
2. modify the computation of successful transactions time to the all transactions used time 

## Validation of the fix
<!-- Over and above the tests, what has been done to prove this works? -->
1. start Caliper normally with 'open' test module and 'txnPerBatch' set larger than TPS ;
2. open another terminal and stop the running blockchain network.",[],1,2019-04-01 11:11:31,,2019-04-01 11:11:32,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/398,https://github.com/hyperledger/caliper/pull/398,feihujiang,Throw new error when query but no committed transaction,"Signed-off-by: feihujiang <jiangfeihu@huawei.com>
",[],1,2019-04-01 07:49:08,,2019-04-01 07:49:09,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/397,https://github.com/hyperledger/caliper/pull/397,houqinghui,add environment check script,"The script `env_check.sh`  can check whethe the pre-requisites of Caliper have been installed and gives the version. @panyu4 @aklenik 
#376 ",[],1,2019-04-01 02:16:34,,2019-04-02 05:55:59,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/395,https://github.com/hyperledger/caliper/pull/395,quangtdn,Fix conflicts between smallbank benchmark and fabric-ccp configuration ,"Signed-off-by: quangtdn <nmquang229@yahoo.com.vn>

This is just to fix the issue #394 . 

In the benchmarking methods smallbankOperations.js and query.js, for fabric-ccp type the test should convert transactions' arguments into Strings before sending the transactions. ",[],1,2019-03-30 15:50:16,,2019-03-31 09:44:49,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/383,https://github.com/hyperledger/caliper/pull/383,nklincoln,Modify report template to list based on test label,"Signed-off-by: nkl199@yahoo.co.uk <nkl199@yahoo.co.uk>

Suggested fix for #382

Following the generation of some Caliper reports, I noticed that the report structure could be enhanced. I have changed the template and associated report code to follow the config file more closely and make the report more readable by:
- Group test rounds under each test label, with each round starting at zero for each label.
- Link to test labels instead of test rounds from the metadata side navigation (this is a more meaningful link)
- Enable the provision of a description for each test label that is taken from the config file.

I have attached a file that is generated by the code.


[report-20190320T153655.html.zip](https://github.com/hyperledger/caliper/files/2991612/report-20190320T153655.html.zip)
",[],1,2019-03-21 10:23:21,2019-03-21 12:03:31,2019-03-22 16:07:23,True,2019-03-21 12:03:30,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/381,https://github.com/hyperledger/caliper/pull/381,hnan1118,Update js-yaml version,"With js-yaml@3.12.0, benchmarks for Fabric-v1.4 fails while
instantiating chaincode.

Signed-off-by: Jinwoo Hwang <hnan1118@ajou.ac.kr>",[],1,2019-03-21 05:34:18,2019-03-23 04:17:21,2019-03-23 04:17:22,False,,,blocked,True,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/380,https://github.com/hyperledger/caliper/pull/380,nklincoln,enable test round spec if runDuration,"Signed-off-by: nkl199@yahoo.co.uk <nkl199@yahoo.co.uk>
Fix for #379 ",[],1,2019-03-19 16:49:03,2019-03-19 22:37:59,2019-03-22 16:07:25,True,2019-03-19 22:37:59,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/378,https://github.com/hyperledger/caliper/pull/378,nklincoln,Update network model function name,"The Network Model API name had a function name change from the beta to 1.4 release, this update reflects that change

Signed-off-by: nkl199@yahoo.co.uk <nkl199@yahoo.co.uk>

Resolves #377 ",[],1,2019-03-18 13:47:44,2019-03-21 09:02:33,2019-03-22 16:07:29,True,2019-03-21 09:02:33,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/373,https://github.com/hyperledger/caliper/pull/373,aklenik,Update rate controller documentation with the new API,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

Documentation for the new features of PR #372 ",[],1,2019-03-14 14:36:08,2019-03-20 10:28:13,2019-03-20 10:28:13,True,2019-03-20 10:28:13,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/372,https://github.com/hyperledger/caliper/pull/372,aklenik,Added factory functions to the rate controllers,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

Resolves enhancement issue #340 as suggested.
Also consolidates the API/implmenetations of existing rate controllers.",[],1,2019-03-14 14:34:58,2019-03-20 10:33:50,2019-03-20 10:33:50,True,2019-03-20 10:33:50,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/370,https://github.com/hyperledger/caliper/pull/370,feihujiang,Fix CI composer test failure,"Signed-off-by: feihujiang <jiangfeihu@huawei.com>

The CI test had the error ```composer.getBusNetConnection() failed for cardName [PerfNetworkAdmin@basic-sample-network] with error: Error: Error trying to ping. SyntaxError: Unexpected end of JSON input```, https://travis-ci.org/hyperledger/caliper/jobs/505204991

The error is because using composer 0.19 with a fabric 1.2 environment and they are mismatch. ",[],1,2019-03-13 02:40:16,2019-03-13 10:41:29,2019-03-13 10:41:29,True,2019-03-13 10:41:29,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/369,https://github.com/hyperledger/caliper/pull/369,aklenik,Add logging control documentation,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

Corresponding documentation for PR #368 ",[],1,2019-03-12 12:53:25,2019-03-14 03:40:11,2019-03-14 14:36:31,True,2019-03-14 03:40:11,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/368,https://github.com/hyperledger/caliper/pull/368,aklenik,Enhance logging mechanism,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

Resolves Issue #338 in the recommended way.",[],1,2019-03-12 12:52:13,2019-03-14 03:37:54,2019-03-14 14:36:32,True,2019-03-14 03:37:54,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/367,https://github.com/hyperledger/caliper/pull/367,feihujiang,Using user tmp dir,"Signed-off-by: feihujiang <jiangfeihu@huawei.com>

When multi-users in one host use caliper to test, the directory '/tmp/hfc/ ' permission is denied for the sake of using the same directory.
",[],1,2019-03-12 07:57:18,2019-03-12 13:27:21,2019-03-12 13:27:22,True,2019-03-12 13:27:21,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/366,https://github.com/hyperledger/caliper/pull/366,aklenik,Fix project path for Sawtooth example build,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

The Docker build script assumes that the Caliper repo is cloned into a `caliper` folder. But actually, the last `../caliper/` directory change is unnecessary. 

## Steps to Reproduce
```
git clone https://github.com/hyperledger/caliper.git caliper-fork
# remove the previous image to trigger a rebuild
docker rmi simple-tp-python
npm i
npm run sawtooth-deps
npm run bench -- -c benchmark/simple/config-sawtooth.yaml -n network/sawtooth/simplenetwork/sawtooth.json
```

## Design of the fix
The path reference is simplified in the build script, thus completely avoiding the Caliper directory name.

## Validation of the fix
Repeat the above steps to reproduce.
",[],1,2019-03-11 12:57:02,2019-03-12 09:09:27,2019-03-13 21:39:35,True,2019-03-12 09:09:27,feihujiang,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/364,https://github.com/hyperledger/caliper/pull/364,feihujiang,Fix the versions of composer and fabric mismatch,"Signed-off-by: feihujiang <jiangfeihu@huawei.com>

When I did a composer test, The error ""SyntaxError: Unexpected end of JSON input"" occured. The error  is  because I'm using composer 0.19 with a fabric 1.2 environment and they are mismatch. So we need to fix this.


",[],1,2019-03-11 07:55:43,2019-03-11 13:17:51,2019-03-11 13:17:51,True,2019-03-11 13:17:51,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/363,https://github.com/hyperledger/caliper/pull/363,clumsky,Provide error information,"#310  TaoChen <clumsky@163.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [ ]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [ ]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story
<!--- What issue / user story is this for -->

## Steps to Reproduce
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug include code to reproduce, if relevant -->
1.
2.
3.
4.


## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-caliper)
- [ ] [GitHub Issues](https://github.com/hyperledger/caliper/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/caliper)

<!-- please include any links to issues here -->

## Design of the fix
<!-- Focus on why you designed this fix this way, and what was discounted. Do not describe just the code - we can read that! -->

## Validation of the fix
<!-- Over and above the tests, what has been done to prove this works? -->

## Automated Tests
<!-- Please describe the automated tests that are put in place to stop this recurring -->

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->
",[],1,2019-03-11 06:42:21,2019-03-11 12:46:12,2019-03-11 12:46:12,True,2019-03-11 12:46:12,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/362,https://github.com/hyperledger/caliper/pull/362,Arucald,Translate arch md,"<!--- translate the architecture.md files into CH version -->

",[],2,2019-03-11 02:45:25,,2019-03-18 10:43:27,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/361,https://github.com/hyperledger/caliper/pull/361,panyu4,Specify the supported sawtooth version,"Signed-off-by: panyu2 <PY.panyu@huawei.com>
",[],1,2019-03-11 02:21:05,2019-03-11 03:29:57,2019-03-11 03:29:57,True,2019-03-11 03:29:57,feihujiang,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/356,https://github.com/hyperledger/caliper/pull/356,Arucald,Transtlate the architecture.md to CH version ," Signed-off-by: Arucald dadacheerup@163.com

This PR has update the architecture.md to the CH version. Hope it is helpful for Chinese  developer


",[],0,2019-03-08 07:49:04,2019-03-08 08:13:44,2019-03-08 08:20:13,False,,,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/354,https://github.com/hyperledger/caliper/pull/354,Arucald,Modify docker rm error,"Try to resolve docker rm error
#352 

I am a fresh man on github who use the Github Client to pull request , so it doesn't show the sign-off procedure. 

However , the PR has been submitted successfully. ",[],1,2019-03-08 07:25:32,,2019-04-02 09:23:05,False,,,blocked,True,open
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/349,https://github.com/hyperledger/caliper/pull/349,gregdhill,update docs with bench cmd,Signed-off-by: Gregory Hill <greg.hill@monax.io>,[],1,2019-03-07 16:22:23,2019-03-07 17:05:12,2019-03-14 17:23:32,True,2019-03-07 17:05:12,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/348,https://github.com/hyperledger/caliper/pull/348,Arucald,Transtlate the architecture.md to CH version,"Signed-off-by: Arucald <dadacheerup@163.com>

This PR has update the architecture.md to the CH version. Hope it is helpful for Chinese developer 



",[],1,2019-03-07 09:25:10,2019-03-08 08:11:03,2019-03-08 08:11:03,False,,,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/346,https://github.com/hyperledger/caliper/pull/346,aklenik,Fixed Fabric CCP network configs and package.json,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

Resolves issues #344 and #345 (since both relate to Fabric versioning).",[],1,2019-03-06 13:28:50,2019-03-11 03:04:17,2019-03-11 12:40:08,True,2019-03-11 03:04:17,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/343,https://github.com/hyperledger/caliper/pull/343,aklenik,Update Fabric-CCP install instruction,"Signed-off-by: Attila Klenik <a.klenik@gmail.com>

Added the example `npm run` scripts for v1.3 and v1.4.
Preview: https://aklenik.github.io/caliper/docs/Fabric_Ccp_Configuration.html#installing-the-required-dependencies",[],1,2019-03-06 12:15:05,2019-03-11 03:04:52,2019-03-11 03:04:52,True,2019-03-11 03:04:52,panyu4,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/337,https://github.com/hyperledger/caliper/pull/337,panyu4,change CA names for customdomain,"Change CA names of the customdomain networks for the fabric-ccp adapter
Signed-off-by: panyu2 <PY.panyu@huawei.com>",[],1,2019-03-04 09:19:50,2019-03-04 12:30:36,2019-03-04 12:30:36,True,2019-03-04 12:30:36,feihujiang,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/332,https://github.com/hyperledger/caliper/pull/332,houqinghui,modify package.json,"
1. Delete the dependences package: fabric-ca-client, fabric-client, fabric-network. in the package.json.",[],1,2019-02-26 10:39:24,2019-02-27 08:53:44,2019-02-27 08:53:44,True,2019-02-27 08:53:44,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/330,https://github.com/hyperledger/caliper/pull/330,clumsky,Providing a argv to control whether create default fabric network,"Signed-off-by: TaoChen <clumsky@163.com>

## Issue/User story
#329 

after this PR
node main.js -n ../../network/fabric-v1.1/2org1peergoleveldb/fabric-go.json -d false
bench-flows.js will not call execAsync(command) to create default fabric network.

",['aklenik'],2,2019-02-22 07:07:27,2019-03-04 15:30:13,2019-03-04 15:30:13,True,2019-03-04 15:30:13,aklenik,unknown,,closed
caliper,https://api.github.com/repos/hyperledger/caliper/pulls/328,https://github.com/hyperledger/caliper/pull/328,feihujiang,Fix fabric1.4 customdomain CA name errors,"Signed-off-by: feihujiang <jiangfeihu@huawei.com>

",[],1,2019-02-22 03:55:56,2019-02-22 08:27:41,2019-02-22 08:27:41,True,2019-02-22 08:27:41,panyu4,unknown,,closed
