name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/15,https://github.com/hyperledger/composer-concerto-tools/pull/15,jeromesimeon,[WIP] (fix) Clean up dependencies,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

Remove unneeded dependencies (see https://github.com/hyperledger/composer-concerto/issues/30)

## Checklist
 - [x]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [ ]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story

See https://github.com/hyperledger/composer-concerto/issues/30

## Steps to Reproduce
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug include code to reproduce, if relevant -->
1.
2.
3.
4.


## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-composer)
- [x] [GitHub Issues](https://github.com/hyperledger/composer/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/composer)

<!-- please include any links to issues here -->

## Design of the fix

See https://github.com/hyperledger/composer-concerto/issues/30

## Validation of the fix

All tests pass

## Automated Tests

All tests pass

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->",[],1,2019-03-29 17:05:59,2019-03-29 18:21:57,2019-03-29 18:21:57,True,2019-03-29 18:21:57,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/14,https://github.com/hyperledger/composer-concerto-tools/pull/14,jeromesimeon,(system) Move Writer and FileWriter to Concerto; Remove moment dependency ; Latest concerto,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [ ]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [x]  Design of the fix
 - [x]  How to prove that the fix works
 - [x]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story

This fixes a circular dependency between Concerto and Concero-tools by moving Writer/FileWriter classes from the latter to the former.

## Steps to Reproduce
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug include code to reproduce, if relevant -->
1.
2.
3.
4.


## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-composer)
- [ ] [GitHub Issues](https://github.com/hyperledger/composer/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/composer)

<!-- please include any links to issues here -->

## Design of the fix

In the latest versions, concerto-tools 0.50.7 depends on concerto 0.60 or later, which itself depends on concerto-tools 0.50.1, which creates confusion. Simply moving utility classes Writer and FileWriter from concerto-tools to concerto allows to avoid this circular dependency.

This also removes the unneeded dependency to the `moment` library.

## Validation of the fix

This has been tested against a version of concerto where the FileWriter and Writer classes have been moved. This WIP since the tests will only pass after a new version of Concerto has been published with the proposed changes.

## Automated Tests

All the existing tests are passing with no change and 100% coverage.

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->",[],3,2019-03-18 14:49:26,2019-03-19 21:17:00,2019-03-19 21:17:01,True,2019-03-19 21:17:00,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/13,https://github.com/hyperledger/composer-concerto-tools/pull/13,jeromesimeon,(refactor) Add get/set and plugin for Java target & Remove Corda target,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

This PR:
 - adds getters/setters to the Java target (using options when calling the fields visitor)
 - makes Java fields private
 - adds a simple kind of plugin for the Java visitor to let users parameterize code-generation
 - removes the Corda target which can now be implemented using the provided plugin

A variant of the Corda target is expected to be provided in the Accord Project Cicero library.

## Issue/User story

This PR avoids duplication between alternative Java-based target formats (e.g., Corda and Java).

## Automated Tests

Testing is provided for default Java plugin (empty) and abstract plugin (raising errors).

",[],2,2019-02-10 18:04:58,2019-02-12 14:32:06,2019-02-13 13:54:07,True,2019-02-12 14:32:06,mttrbrts,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/12,https://github.com/hyperledger/composer-concerto-tools/pull/12,jeromesimeon,(fix) Enums should also be made Corda-serializable,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Issue/User story
Enum definitions should also be made serializable in the Corda format.

## Automated Tests
Corda tests have been updated accordingly.
",[],1,2019-01-24 18:31:55,2019-01-24 22:20:26,2019-01-24 22:20:26,True,2019-01-24 22:20:26,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/11,https://github.com/hyperledger/composer-concerto-tools/pull/11,dselman,bump version,"Signed-off-by: Dan Selman <danscode@selman.org>
",[],1,2019-01-23 10:23:34,2019-01-23 10:23:42,2019-01-23 10:23:42,True,2019-01-23 10:23:42,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/10,https://github.com/hyperledger/composer-concerto-tools/pull/10,jeromesimeon,(feature) Add a new target format (Corda) for the Java-based Corda le…,"…dger

Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [ ]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [ ]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story
I want to be able to generate Java classes ready for use in the Corda distributed ledger.

## Design of the fix
The current design is based on the Java target format, with a few simple changes to make the classes serialization according to Corda.

Rather than using options on the Java target, a Corda target allows for future changes (e.g., converting certain types such as dates, or monetary amounts to Corda classes).

## Automated Tests
All the Java tests have been ported for Corda.

## What documentation has been provided for this pull request
The README includes Corda has a target format.",[],1,2019-01-18 21:53:00,2019-01-21 16:46:51,2019-01-21 16:46:51,True,2019-01-21 16:46:51,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/8,https://github.com/hyperledger/composer-concerto-tools/pull/8,jeromesimeon,(fix) remove dependency on acorn,"Signed-off-by: Dan Selman <danscode@selman.org>

PR for missing 0.50.5 commits
",[],1,2019-01-17 15:39:58,2019-01-21 16:24:34,2019-01-21 16:24:34,True,2019-01-21 16:24:34,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/7,https://github.com/hyperledger/composer-concerto-tools/pull/7,dselman,Fix for XMLSchema generator with imports,,[],2,2018-10-30 18:32:07,2018-10-30 18:32:16,2018-10-30 18:32:16,True,2018-10-30 18:32:16,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/6,https://github.com/hyperledger/composer-concerto-tools/pull/6,dselman,Fix bug in JSONSchemaVisitor,"<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [ ]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [ ]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story
<!--- What issue / user story is this for -->

## Steps to Reproduce
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug include code to reproduce, if relevant -->
1.
2.
3.
4.


## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-composer)
- [ ] [GitHub Issues](https://github.com/hyperledger/composer/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/composer)

<!-- please include any links to issues here -->

## Design of the fix
<!-- Focus on why you designed this fix this way, and what was discounted. Do not describe just the code - we can read that! -->

## Validation of the fix
<!-- Over and above the tests, what has been done to prove this works? -->

## Automated Tests
<!-- Please describe the automated tests that are put in place to stop this recurring -->

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->
",[],3,2018-10-30 14:35:42,2018-10-30 14:38:20,2018-10-30 14:38:20,True,2018-10-30 14:38:20,dselman,unknown,,closed
composer-concerto-tools,https://api.github.com/repos/hyperledger/composer-concerto-tools/pulls/5,https://github.com/hyperledger/composer-concerto-tools/pull/5,dselman,update to concerto 0.60,"Signed-off-by: Dan Selman <danscode@selman.org>
",[],1,2018-10-30 13:41:38,2018-10-30 13:41:45,2018-10-30 13:41:45,True,2018-10-30 13:41:45,dselman,unknown,,closed
