name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/pull/32,https://api.github.com/repos/hyperledger/composer-concerto/issues/32,(fix) Clean up dependencies,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

This addresses dependencies issues recorded in #30 

## Checklist
 - [x]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [ ]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?

## Issue/User story

#30 

## Steps to Reproduce
<!--- Provide a link to a live example, or an unambiguous set of steps to -->
<!--- reproduce this bug include code to reproduce, if relevant -->
1.
2.
3.
4.


## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-composer)
- [x] [GitHub Issues](https://github.com/hyperledger/composer/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/composer)

<!-- please include any links to issues here -->

## Design of the fix

See #30 

## Validation of the fix

All tests are passing

## Automated Tests

All tests are passing

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->
",closed,True,2019-03-29 16:51:54,2019-03-29 18:16:54
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/pull/31,https://api.github.com/repos/hyperledger/composer-concerto/issues/31,(fix) mkdirp should be a dependency,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [x]  A link to the issue/user story that the pull request relates to
 - [x]  How to recreate the problem without the fix
 - [x]  Design of the fix
 - [ ]  How to prove that the fix works
 - [x]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story

See #30 

## Steps to Reproduce

See https://github.com/accordproject/ergo/issues/591

## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-composer)
- [x] [GitHub Issues](https://github.com/hyperledger/composer/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/composer)

<!-- please include any links to issues here -->

## Design of the fix

Simple dependency change.

## Validation of the fix

All tests are passing.

## Automated Tests

No new test needed.

## What documentation has been provided for this pull request
<!-- JSDocs, WebSite and answers to Stack Overflow questions are possible documentation sources -->",closed,True,2019-03-27 15:58:41,2019-03-29 16:43:04
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/issues/30,https://api.github.com/repos/hyperledger/composer-concerto/issues/30,[mkdirp should be a dependency] dependencies in composer concerto,"<!--- Provide a general summary of the issue in the Title above -->

## Context

`mkdirp` appears as a `devDependency` but is needed at runtime in the filewriter.

## Expected Behavior

One should be able to install and use composer-concerto without adding `mkdirp` as a dependency themselves.

## Actual Behavior

If installing composer-concerto without adding `mkdirp` manually, node.js complains of a missing module.

## Possible Fix

Move `mkdirp` from `devDependencies` to `dependencies` in the `package.json`

## Steps to Reproduce

See: https://github.com/accordproject/ergo/issues/591

## Existing issues
<!-- Have you searched for any existing issues or are their any similar issues that you've found? -->
- [ ] [Stack Overflow issues](http://stackoverflow.com/tags/hyperledger-composer)
- [x] [GitHub Issues](https://github.com/hyperledger/composer/issues)
- [ ] [Rocket Chat history](https://chat.hyperledger.org/channel/composer)

## Context

Using composer-concerto as part of the Ergo project https://github.com/accordproject/ergo

## Your Environment
<!--- Include as many relevant details about the environment you experienced the bug in -->
* Version used: 0.70.0
* Environment name and version (e.g. Chrome 39, node.js 5.4): node8
* Operating System and version (desktop or mobile): MacOS X
* Link to your project: ",open,False,2019-03-27 15:55:56,2019-03-29 17:31:01
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/pull/29,https://api.github.com/repos/hyperledger/composer-concerto/issues/29,(fix) pkgstamp script should use moment-mini as well,"Signed-off-by: Jerome Simeon <jeromesimeon@me.com>

<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [ ]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [x]  Design of the fix
 - [ ]  How to prove that the fix works
 - [ ]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?


## Issue/User story

## Steps to Reproduce
In travis

## Existing issues

N/A

## Design of the fix

Update script pkgstamp to use `moment-mini`

## Validation of the fix

Not easy to test without merge and test on travis

## Automated Tests

Only affects deployment scripts

## What documentation has been provided for this pull request
",closed,True,2019-03-18 22:40:40,2019-03-19 00:21:35
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/pull/28,https://api.github.com/repos/hyperledger/composer-concerto/issues/28,"(feature) Switch DateTime representation to moment, rather than JS Date","<!--- Provide a general summary of the pull request in the Title above -->

## Checklist
 - [x]  A link to the issue/user story that the pull request relates to
 - [ ]  How to recreate the problem without the fix
 - [x]  Design of the fix
 - [ ]  How to prove that the fix works
 - [x]  Automated tests that prove the fix keeps on working
 - [ ]  Documentation - any JSDoc, website, or Stackoverflow answers?

## Issue/User story
A possible fix for issue #27 based on moment.js as a DateTime representation

## Design of the fix

The fix switches internal representation for values validated through CTO models to Moment, rather than JavaScript Date.

Moment objects are created in a way which preserves the original timezone offset if present (using `Moment.parseZone`) during deserialization.

Moment objects are serialized back to an ISO8601 string with the original timezone offset preserved.

Timestamps when not present during validation are always created in the UTC timezone.

## Automated Tests

All tests have been migrated to the new representation, and a new serialization test checks for the timezone offset preservation.

",closed,True,2019-03-06 18:19:03,2019-03-19 00:21:36
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/issues/27,https://api.github.com/repos/hyperledger/composer-concerto/issues/27,serialization/deserialization does not preserve timezones in dates,"<!--- Provide a general summary of the issue in the Title above -->

## Context
Using Concerto for data models with DateTime values in specific timezones

## Expected Behavior
Deserialization/serialization should preserve the original timezone.

## Actual Behavior
Deserialization/serialization shifts all dates to `Z` timezone.

## Possible Fix
Unclear what changes are needed.

## Steps to Reproduce

Some sample code, and a trace:
Model: 
```
transaction PayOut  {
  o Double totalAmount
  o DateTime dueBy
}
```
JavaScript code:
```
        const response = {
            ""$class"": ""org.accordproject.ippayment.PayOut"",
            ""totalAmount"": 77.4,
            ""dueBy"": Moment.parseZone(""2018-04-12T04:00:00-05:00"")
        };
        const validatedResponse = template.getSerializer().fromJSON(response);
        const serializedResponse = template.getSerializer().toJSON(validatedResponse);
        console.log('JSON:       '+JSON.stringify(response));
        console.log('VALIDATED:  '+JSON.stringify(validatedResponse));
        console.log('SERIALIZED: '+JSON.stringify(serializedResponse));
```
Trace:
```
JSON:       {""$class"":""org.accordproject.ippayment.PayOut"",""totalAmount"":77.4,""dueBy"":""2018-04-12T04:00:00-05:00""}
VALIDATED:  {""$class"":""org.accordproject.ippayment.PayOut"",""totalAmount"":77.4,""dueBy"":""2018-04-12T09:00:00.000Z"",""transactionId"":""afc5fb0c-a776-44f7-9327-a47339aecdda"",""timestamp"":""2019-03-06T13:12:37.640Z""}
SERIALIZED: {""$class"":""org.accordproject.ippayment.PayOut"",""totalAmount"":77.4,""dueBy"":""2018-04-12T09:00:00.000Z"",""transactionId"":""afc5fb0c-a776-44f7-9327-a47339aecdda"",""timestamp"":""2019-03-06T13:12:37.640Z""}
```

## Context
I'm trying to use Concerto inside the accord project Cicero. Maintaining timezone information in date is important for applications.

## Your Environment
<!--- Include as many relevant details about the environment you experienced the bug in -->
* Version used: 0.60.0
* Environment name and version (e.g. Chrome 39, node.js 5.4): node8
* Operating System and version (desktop or mobile): MacOS
* Link to your project: https://github.com/accordproject/cicero

",closed,False,2019-03-06 13:27:25,2019-03-19 12:48:35
composer-concerto,jeromesimeon,https://github.com/hyperledger/composer-concerto/issues/26,https://api.github.com/repos/hyperledger/composer-concerto/issues/26,Text variant annotation for model enumerations,"To support textual variants of the same enumeration element in a model, the model definition should allow annotations that enumerate text alternatives.

The annotation could also be used to capture language-specific variants of a model element.

This would clean up model enumerations so that they only need to define a single element per semantic element. Logic that operates on enumerations (for example `match` statements in Ergo) would then also not need to match multiple values

Where an annotation is not provided, the String value of the element would be used.

For example: 
```
enum TemporalUnit {
  @alternativeText('day','days','jour','jours')
  o DAY
  //...
}
```

We could even consider something like a `.language` file to externalize language definitions, e.g.
```
enum TemporalUnit {
  @languageKey('DAY')
  o DAY
  //...
}
```
and in `model.en.language`
```json
{
  ""DAY"": [""day"", ""days""]
}
```

- [ ] Agree on annotation keyword (`alternative`, `alternativeText`, `verbalization`, `localization`, `textOptions` etc..)
- [ ] Research existing ways to describe locale variants, e.g. Message Resource Property files in Java, [Unicode CLDR](https://github.com/unicode-cldr/cldr-json) etc.

## Context
This is  a feature request. Original issue was posted by @mttrbrts here: https://github.com/accordproject/cicero/issues/111
",closed,False,2018-12-06 16:30:13,2019-02-18 21:49:16
composer-concerto,dselman,https://github.com/hyperledger/composer-concerto/pull/25,https://api.github.com/repos/hyperledger/composer-concerto/issues/25,Remove codegen,,closed,True,2018-10-30 13:33:19,2018-10-30 13:37:05
composer-concerto,dselman,https://github.com/hyperledger/composer-concerto/pull/24,https://api.github.com/repos/hyperledger/composer-concerto/issues/24,Add automatic timestamp field for transactions and events,Fix for #23 ,closed,True,2018-10-29 11:25:11,2018-10-29 11:28:02
composer-concerto,dselman,https://github.com/hyperledger/composer-concerto/issues/23,https://api.github.com/repos/hyperledger/composer-concerto/issues/23,Transactions and events should have a timestamp field,"The loopback visitor assumes that transactions have a timestamp field, while the grammar doesn't impose this (the system model does).

We should automatically add a `timestamp` field to all transactions.
",closed,False,2018-10-29 10:28:03,2018-10-30 13:35:46
