name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/25,https://github.com/hyperledger/composer-knowledge-wiki/pull/25,mahoney1,"Added REQUEST_TIMEOUT timeouts solution, npmrcFile on network install",Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-07-02 15:45:27,2018-07-02 15:45:41,2018-07-02 15:45:41,True,2018-07-02 15:45:41,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/24,https://github.com/hyperledger/composer-knowledge-wiki/pull/24,mahoney1,Updated with programmatic Card APIs example and others,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-06-22 16:55:37,2018-06-22 16:55:47,2018-06-22 16:55:47,True,2018-06-22 16:55:47,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/23,https://github.com/hyperledger/composer-knowledge-wiki/pull/23,wfcz10086,Update knowledge.md,Add composer network start is not working REQUEST_TIMEOUT uses NPM cache uses solves problems,[],1,2018-05-10 02:46:08,,2018-05-10 02:46:08,False,,,dirty,False,open
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/22,https://github.com/hyperledger/composer-knowledge-wiki/pull/22,mahoney1,Update wiki answers,"Signed-off-by: Paul O'M <mahoney@uk.ibm.com>
",['mahoney1'],2,2018-05-09 14:10:51,2018-05-09 14:11:00,2018-05-09 14:11:01,True,2018-05-09 14:11:00,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/21,https://github.com/hyperledger/composer-knowledge-wiki/pull/21,mahoney1,"Add knowledge on 'restoring' data in Playground, JWT",Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,[],1,2018-05-03 10:07:34,2018-05-03 10:07:42,2018-05-03 10:07:42,True,2018-05-03 10:07:42,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/20,https://github.com/hyperledger/composer-knowledge-wiki/pull/20,mahoney1,Update 'composer install issues' topic,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-04-27 17:05:50,2018-04-27 17:05:59,2018-04-27 17:05:59,True,2018-04-27 17:05:59,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/19,https://github.com/hyperledger/composer-knowledge-wiki/pull/19,mahoney1,Update with composer network start answers / info,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-04-25 11:29:34,2018-04-25 11:29:44,2018-04-25 11:29:44,True,2018-04-25 11:29:44,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/18,https://github.com/hyperledger/composer-knowledge-wiki/pull/18,mahoney1,Add composer network start answers / tidy up,,['mahoney1'],5,2018-04-25 11:25:48,,2018-04-25 11:25:49,False,,,dirty,False,open
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/17,https://github.com/hyperledger/composer-knowledge-wiki/pull/17,mahoney1,Updated knowledge file - System Events notes,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-04-04 10:31:07,2018-04-04 10:31:18,2018-04-04 10:31:18,True,2018-04-04 10:31:18,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/16,https://github.com/hyperledger/composer-knowledge-wiki/pull/16,mahoney1,Added latest knowledge / FAQs,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-03-27 20:02:02,2018-03-27 20:02:13,2018-03-27 20:02:13,True,2018-03-27 20:02:13,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/15,https://github.com/hyperledger/composer-knowledge-wiki/pull/15,mahoney1,Update wiki with latest answers,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-03-12 13:45:37,2018-03-12 13:45:46,2018-03-12 13:45:46,True,2018-03-12 13:45:46,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/14,https://github.com/hyperledger/composer-knowledge-wiki/pull/14,mahoney1,Update wiki with latest knowledge / answers,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-03-12 13:30:18,2018-03-12 13:30:28,2018-03-12 13:30:28,True,2018-03-12 13:30:28,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/13,https://github.com/hyperledger/composer-knowledge-wiki/pull/13,mahoney1,"Update with new hints, knowledge",Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-03-09 18:44:57,2018-03-09 18:45:41,2018-03-09 18:45:41,True,2018-03-09 18:45:41,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/12,https://github.com/hyperledger/composer-knowledge-wiki/pull/12,mahoney1,"Add new knowledge info to wiki, answers, tips",Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-03-08 17:18:27,2018-03-08 17:19:05,2018-03-08 17:19:05,True,2018-03-08 17:19:04,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/11,https://github.com/hyperledger/composer-knowledge-wiki/pull/11,johnjayasingh,added authentication issue and fix,Added authentication issue and fix in REST API section,[],1,2018-03-05 06:55:18,,2018-03-05 06:55:18,False,,,dirty,False,open
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/10,https://github.com/hyperledger/composer-knowledge-wiki/pull/10,mahoney1,Added new answers,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,[],1,2018-02-23 12:35:17,2018-02-23 12:35:29,2018-02-23 12:35:29,True,2018-02-23 12:35:29,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/9,https://github.com/hyperledger/composer-knowledge-wiki/pull/9,mahoney1,added new updates to Wiki, Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,[],4,2018-02-23 12:30:11,2018-02-23 12:30:33,2018-02-23 12:30:33,False,,,dirty,False,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/8,https://github.com/hyperledger/composer-knowledge-wiki/pull/8,mahoney1,Added latest answers to knowledge base,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-02-23 11:34:24,2018-02-23 11:34:48,2018-02-23 11:51:34,True,2018-02-23 11:34:48,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/7,https://github.com/hyperledger/composer-knowledge-wiki/pull/7,mahoney1,Latest updates to wiki,,[],6,2018-01-23 11:29:26,2018-01-23 11:44:52,2018-01-23 11:44:52,True,2018-01-23 11:44:52,mahoney1,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/6,https://github.com/hyperledger/composer-knowledge-wiki/pull/6,mahoney1,Added new answers,Signed-off-by: Paul OM <mahoney@uk.ibm.com>,['mahoney1'],6,2018-01-22 16:54:32,2018-01-23 11:22:37,2018-01-23 11:22:37,False,,,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/5,https://github.com/hyperledger/composer-knowledge-wiki/pull/5,mahoney1,Minor syntax update,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,['mahoney1'],1,2018-01-22 16:34:14,2018-01-22 16:35:05,2018-01-22 16:35:05,False,,,unknown,,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/4,https://github.com/hyperledger/composer-knowledge-wiki/pull/4,mahoney1,Latest additions Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,Signed-off-by: Paul O'M <mahoney@uk.ibm.com>,[],19,2018-01-22 15:11:30,2018-01-22 15:26:05,2018-01-22 15:26:05,False,,,blocked,True,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/3,https://github.com/hyperledger/composer-knowledge-wiki/pull/3,mahoney1,Update knowledge base wiki with new resolutions,"Related issue for this PR:

https://github.com/hyperledger/composer-knowledge-wiki/issues/2",['mahoney1'],19,2018-01-22 14:32:05,2018-01-22 14:50:15,2018-01-22 14:50:23,False,,,blocked,True,closed
composer-knowledge-wiki,https://api.github.com/repos/hyperledger/composer-knowledge-wiki/pulls/1,https://github.com/hyperledger/composer-knowledge-wiki/pull/1,ryjones,Create dcotrigger,,[],1,2018-01-10 11:08:45,2018-01-10 11:09:14,2018-01-10 11:09:14,False,,,blocked,True,closed
