name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/50,https://github.com/hyperledger/composer-sample-models/pull/50,awjh-ibm,Adding licenses to md,Adding licenses to markdown file and updating license check to test for them,[],1,2018-05-08 13:20:25,2018-05-14 15:55:29,2018-05-14 15:55:29,True,2018-05-14 15:55:29,mbwhite,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/49,https://github.com/hyperledger/composer-sample-models/pull/49,awjh-ibm,Update license check,Update the license check to use version that allows for shebang to be at top of files,[],2,2018-04-05 10:12:27,2018-04-07 08:01:55,2018-04-07 08:01:55,True,2018-04-07 08:01:55,sstone1,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/48,https://github.com/hyperledger/composer-sample-models/pull/48,sstone1,Shebang for deploy script not at top of file,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-03-26 08:18:31,2018-03-26 08:22:09,2018-03-26 08:22:56,True,2018-03-26 08:22:09,mbwhite,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/47,https://github.com/hyperledger/composer-sample-models/pull/47,sstone1,Fix deploy shebang,,['sstone1'],8,2018-03-26 08:17:47,2018-03-26 08:17:55,2018-03-26 08:22:57,False,,,clean,True,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/46,https://github.com/hyperledger/composer-sample-models/pull/46,sstone1,Bump version to v0.19.0,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-03-26 07:05:17,2018-03-26 07:16:04,2018-03-26 07:16:06,True,2018-03-26 07:16:04,sstone1,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/45,https://github.com/hyperledger/composer-sample-models/pull/45,awjh-ibm,Adding licenses,Adding licenses requested in issue https://github.com/hyperledger/composer/issues/1220,[],1,2018-03-22 15:46:50,2018-03-22 16:39:41,2018-03-22 16:39:41,True,2018-03-22 16:39:41,mbwhite,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/44,https://github.com/hyperledger/composer-sample-models/pull/44,awjh-ibm,Adding licenses,Adding licenses requested in issue https://github.com/hyperledger/composer/issues/1220,[],6,2018-03-22 15:46:04,2018-03-22 15:46:20,2018-03-22 15:46:21,False,,,clean,True,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/42,https://github.com/hyperledger/composer-sample-models/pull/42,sstone1,Bump version to v0.18.0,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-02-28 16:09:37,2018-02-28 19:01:44,2018-02-28 19:01:47,True,2018-02-28 19:01:44,sstone1,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/41,https://github.com/hyperledger/composer-sample-models/pull/41,sstone1,Bump supported Composer version to v0.17.x,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-01-02 08:10:53,2018-01-02 08:12:34,2018-01-02 08:12:34,True,2018-01-02 08:12:34,fabric-composer-app,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/40,https://github.com/hyperledger/composer-sample-models/pull/40,sstone1,Bump sample models to v0.2.0,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-01-02 08:03:33,2018-01-02 08:07:07,2018-01-02 08:07:51,True,2018-01-02 08:07:07,fabric-composer-app,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/39,https://github.com/hyperledger/composer-sample-models/pull/39,sstone1,Bump Composer version to v0.16.0,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2017-11-27 21:32:35,2017-11-27 21:35:40,2017-11-27 21:36:50,True,2017-11-27 21:35:40,nklincoln,unknown,,closed
composer-sample-models,https://api.github.com/repos/hyperledger/composer-sample-models/pulls/38,https://github.com/hyperledger/composer-sample-models/pull/38,EllisHenderson,Changed all instances of IBM/Concerto/Mozart to Hyperledger/Composer/…,"…Animaltracking. Fixes Issue #1904.

Signed-off-by: Ellis Henderson <ellis.henderson@ibm.com>",[],1,2017-10-19 13:52:41,2017-10-20 15:28:42,2017-10-20 15:28:45,True,2017-10-20 15:28:42,mbwhite,unknown,,closed
