name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
composer-tools,namgk,https://github.com/hyperledger/composer-tools/pull/166,https://api.github.com/repos/hyperledger/composer-tools/issues/166,"up node red node composer version, fix resolve bug on retrieve node","The current Node-RED nodes do not work with the latest Composer. 

Also when retrieve a resource, if resolve relationship is checked, the node throw an error.",open,True,2019-02-23 01:10:05,2019-02-23 01:12:19
composer-tools,eladelrom,https://github.com/hyperledger/composer-tools/issues/165,https://api.github.com/repos/hyperledger/composer-tools/issues/165,Error: Error trying to start business network. Error: Failed to connect to any peer event hubs,"My enviourment:
Composer version: v0.20.6
MacOS 10.14.2
Node v8.15.0
npm v6.4.1

 I followed: Step 1: Getting Hyperledger Fabric running and Starting Hyperledger Fabric as per commands and had Hyperledger Fabric and creation of PeerAdminCard went well. 

I was also able to install a .bna file with no errors;
> composer network install -a some-network.bna -c PeerAdmin@hlfv1

✔ Installing business network. This may take a minute...
Successfully installed business network some-network, version 0.0.2-deploy.3
Command succeeded

When I try to start the network utilizing the network 

> composer network start --networkName some-network --networkVersion 0.0.2-deploy.3 -A admin -S adminpw -c PeerAdmin@hlfv1 --file networkadmin.card

I am getting the following errors:

Starting business network hello-network at version 0.0.2-deploy.3

Processing these Network Admins: 
	userName: admin

✖ Starting business network definition. This may take a minute...
Error: Error trying to start business network. Error: Failed to connect to any peer event hubs. It is required that at least 1 event hub has been connected to receive the commit event
Command failed

Please advice.


",open,False,2019-01-31 10:25:15,2019-04-01 11:12:13
composer-tools,akrav79,https://github.com/hyperledger/composer-tools/issues/164,https://api.github.com/repos/hyperledger/composer-tools/issues/164,Error using composer-wallet-ibmcos + Composer-rest-server in the cloud,"Using composer-wallet-ibmcos I successfully store cards in the Cloud.

Then I have uploaded Composer-Rest-Server as Cloud-app and have  launched 
"" ~$ cf set-env {My_APP} NODE-ENV""
This works great  too.

But when app start it’s try to find admin card on path “./composer/cards/client-data”.
It seems that Rest-Server container that I pushed into the Cloud have some presets
and do not understand ""type"":""composer-wallet-ibmcos""

Where can I find good container?",closed,False,2018-12-30 17:27:10,2019-03-27 17:09:56
composer-tools,advait1987,https://github.com/hyperledger/composer-tools/issues/163,https://api.github.com/repos/hyperledger/composer-tools/issues/163,node-red-contrib-composer gives error with 0.20.4 runtime.,"node-red-contrib-composer gives error with 0.20.4 runtime. I get following debug message when trying to create a transaction in node-red.

 ""Error: creating resource error Error trying to ping. Error: Composer runtime (0.20.4) is not compatible with client (0.19.18)""",closed,False,2018-11-21 12:06:58,2018-11-23 11:52:19
composer-tools,jt-nti,https://github.com/hyperledger/composer-tools/pull/162,https://api.github.com/repos/hyperledger/composer-tools/issues/162,Upgrade to Fabric 1.3,Signed-off-by: James Taylor <jamest@uk.ibm.com>,closed,True,2018-11-09 14:24:59,2019-02-02 18:18:46
composer-tools,hickscorp,https://github.com/hyperledger/composer-tools/issues/161,https://api.github.com/repos/hyperledger/composer-tools/issues/161,Not ready for 1.3.0.,"The samples from `hlfv12` work great with HLF v1.3.0 out of the box. That is, until re-generating cryptographic material. After following the `howtobuild.txt` directives, the genesis and channel tx make the whole stack crash.

For example, the `orderer` container complains about an invalid CA:

```
orderer.example.com       | 2018-10-26 19:08:33.375 UTC [orderer/commmon/multichannel] newLedgerResources -> PANI 050 Error creating channelconfig bundle: initializing channelconfig failed: could not create channel Orderer sub-group config: setting up the MSP manager failed: the supplied identity is not valid: x509: certificate signed by unknown authority (possibly because of ""x509: ECDSA verification failure"" while trying to verify candidate authority certificate ""ca.example.com"")
orderer.example.com       | panic: Error creating channelconfig bundle: initializing channelconfig failed: could not create channel Orderer sub-group config: setting up the MSP manager failed: the supplied identity is not valid: x509: certificate signed by unknown authority (possibly because of ""x509: ECDSA verification failure"" while trying to verify candidate authority certificate ""ca.example.com"")
```",closed,False,2018-10-26 19:10:20,2019-01-13 08:33:06
composer-tools,hickscorp,https://github.com/hyperledger/composer-tools/issues/160,https://api.github.com/repos/hyperledger/composer-tools/issues/160,Not ready for HLF 1.3.0: `configtx.yaml`.,"When generating channel artifacts, recent versions of `configtxgen` (Eg 1.3.0 on go1.10.4) give lots of warnings, possibly breaking:

```
2018-10-26 20:02:57.431 WEST [common/tools/configtxgen] main -> WARN 001 Omitting the channel ID for configtxgen for output operations is deprecated.  Explicitly passing the channel ID will be required in the future, defaulting to 'testchainid'.
2018-10-26 20:02:57.431 WEST [common/tools/configtxgen] main -> INFO 002 Loading configuration
2018-10-26 20:02:57.435 WEST [common/tools/configtxgen/encoder] NewChannelGroup -> WARN 003 Default policy emission is deprecated, please include policy specifications for the channel group in configtx.yaml
2018-10-26 20:02:57.435 WEST [common/tools/configtxgen/encoder] NewOrdererGroup -> WARN 004 Default policy emission is deprecated, please include policy specifications for the orderer group in configtx.yaml
2018-10-26 20:02:57.436 WEST [common/tools/configtxgen/encoder] NewOrdererOrgGroup -> WARN 005 Default policy emission is deprecated, please include policy specifications for the orderer org group OrdererOrg in configtx.yaml
2018-10-26 20:02:57.436 WEST [common/tools/configtxgen/encoder] addSignaturePolicyDefaults -> WARN 006 Specifying AdminPrincipal is deprecated and will be removed in a future release, override the admin principal with explicit policies.
2018-10-26 20:02:57.436 WEST [common/tools/configtxgen/encoder] NewOrdererOrgGroup -> WARN 007 Default policy emission is deprecated, please include policy specifications for the orderer org group Org1 in configtx.yaml
2018-10-26 20:02:57.436 WEST [common/tools/configtxgen/encoder] addSignaturePolicyDefaults -> WARN 008 Specifying AdminPrincipal is deprecated and will be removed in a future release, override the admin principal with explicit policies.
2018-10-26 20:02:57.437 WEST [common/tools/configtxgen] doOutputBlock -> INFO 009 Generating genesis block
2018-10-26 20:02:57.437 WEST [common/tools/configtxgen] doOutputBlock -> INFO 00a Writing genesis block
```

The same happens when generating the channel tx:

```
2018-10-26 20:04:25.974 WEST [common/tools/configtxgen] main -> INFO 001 Loading configuration
2018-10-26 20:04:25.978 WEST [common/tools/configtxgen] doOutputChannelCreateTx -> INFO 002 Generating new channel configtx
2018-10-26 20:04:25.978 WEST [common/tools/configtxgen/encoder] NewApplicationGroup -> WARN 003 Default policy emission is deprecated, please include policy specifications for the application group in configtx.yaml
2018-10-26 20:04:25.978 WEST [common/tools/configtxgen/encoder] NewApplicationOrgGroup -> WARN 004 Default policy emission is deprecated, please include policy specifications for the application org group Org1 in configtx.yaml
2018-10-26 20:04:25.978 WEST [common/tools/configtxgen/encoder] addSignaturePolicyDefaults -> WARN 005 Specifying AdminPrincipal is deprecated and will be removed in a future release, override the admin principal with explicit policies.
2018-10-26 20:04:25.979 WEST [common/tools/configtxgen] doOutputChannelCreateTx -> INFO 006 Writing new channel tx
```

It'd be great to receive directives on how to implement the deprecated ""auto-defaults"".",closed,False,2018-10-26 19:04:54,2019-01-13 08:33:19
composer-tools,hickscorp,https://github.com/hyperledger/composer-tools/issues/159,https://api.github.com/repos/hyperledger/composer-tools/issues/159,Invalid `configtx.yaml` file.,"Some YML parssers will trip on the fact that the `Profiles` section is declared first while referring to references of sections declared afterward (On my Linux box, it fails as it doesn't know `*OrdererDefaults` and `*ApplicationDefaults`).

The file should be changed to allow such parsers (Eg move the `Profiles` sections all the way to the end of the file.",closed,False,2018-10-26 19:02:00,2019-01-13 08:33:32
composer-tools,hickscorp,https://github.com/hyperledger/composer-tools/issues/158,https://api.github.com/repos/hyperledger/composer-tools/issues/158,Inconsistent output when re-generating crypto material.,"When following the `howtobuild.txt` instructions in the `composer` folder, the output is different in terms of expected number of files.
Some files are missing that might impact running services and make the environment unusable once re-generated:

```
crypto-config/ordererOrganizations/example.com/users/Admin@example.com/tls/server.crt
crypto-config/ordererOrganizations/example.com/users/Admin@example.com/tls/server.key
crypto-config/peerOrganizations/org1.example.com/users/Admin@org1.example.com/tls/server.crt
crypto-config/peerOrganizations/org1.example.com/users/Admin@org1.example.com/tls/server.key
```

New files that didn't exist before get generated:

```
composer/crypto-config/ordererOrganizations/example.com/msp/admincerts/ca.example.com-cert.pem
composer/crypto-config/ordererOrganizations/example.com/users/Admin@example.com/tls/client.crt
composer/crypto-config/ordererOrganizations/example.com/users/Admin@example.com/tls/client.key
composer/crypto-config/peerOrganizations/org1.example.com/msp/admincerts/ca.org1.example.com-cert.pem
composer/crypto-config/peerOrganizations/org1.example.com/users/Admin@org1.example.com/tls/client.crt
composer/crypto-config/peerOrganizations/org1.example.com/users/Admin@org1.example.com/tls/client.key
```",closed,False,2018-10-26 18:58:48,2019-01-13 08:32:35
composer-tools,vojta-novak,https://github.com/hyperledger/composer-tools/issues/157,https://api.github.com/repos/hyperledger/composer-tools/issues/157,Installation problem,"It is not possible to install this tool into NodeRed. I tried it in the IBM cloud and so locally.
![image](https://user-images.githubusercontent.com/26152389/47281052-7dcce680-d5d9-11e8-920f-67e439112d60.png)
![image](https://user-images.githubusercontent.com/26152389/47281043-786f9c00-d5d9-11e8-8066-7fd1145d59ed.png)
And local Node-Red
![hypernode](https://user-images.githubusercontent.com/26152389/47302671-6403c180-d622-11e8-815d-235475872c1b.PNG)
",closed,False,2018-10-22 07:05:17,2019-01-14 00:00:07
