name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/166,https://github.com/hyperledger/composer-tools/pull/166,namgk,"up node red node composer version, fix resolve bug on retrieve node","The current Node-RED nodes do not work with the latest Composer. 

Also when retrieve a resource, if resolve relationship is checked, the node throw an error.",[],3,2019-02-23 01:10:05,,2019-02-23 01:12:19,False,,,blocked,True,open
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/162,https://github.com/hyperledger/composer-tools/pull/162,jt-nti,Upgrade to Fabric 1.3,Signed-off-by: James Taylor <jamest@uk.ibm.com>,[],1,2018-11-09 14:24:59,2019-02-02 18:18:46,2019-02-02 18:18:46,False,,,blocked,True,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/155,https://github.com/hyperledger/composer-tools/pull/155,davidkel,Remove amd specific entries,Signed-off-by: Dave Kelsey <d_kelsey@uk.ibm.com>,[],1,2018-10-14 10:47:43,2018-10-15 06:28:57,2019-01-19 13:39:32,True,2018-10-15 06:28:57,sstone1,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/152,https://github.com/hyperledger/composer-tools/pull/152,jt-nti,Bump version to 0.0.14,"Automatic version bump did not run after the v0.2.7 release (versions don't make any sense in composer-tools)

Signed-off-by: James Taylor <jamest@uk.ibm.com>",['lesleyannjordan'],1,2018-10-10 10:00:58,2018-10-10 10:15:05,2018-10-10 10:15:05,True,2018-10-10 10:15:05,jt-nti,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/150,https://github.com/hyperledger/composer-tools/pull/150,jt-nti,Add Cloudant Service wallet,Add @mbwhite's Cloudant Service wallet from https://github.com/IBM-Blockchain-Starter-Kit/composer-wallet-cloudant,['nklincoln'],9,2018-10-08 15:19:56,2018-10-09 09:31:16,2018-10-09 09:31:16,True,2018-10-09 09:31:16,jt-nti,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/149,https://github.com/hyperledger/composer-tools/pull/149,jt-nti,Add IBM Cloud Object Service wallet,Add @mbwhite's IBM Cloud Object Storage wallet from https://github.com/IBM-Blockchain-Starter-Kit/composer-wallet-ibmcos,['nklincoln'],7,2018-10-08 14:18:51,2018-10-09 14:09:11,2018-10-09 14:09:12,True,2018-10-09 14:09:11,jt-nti,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/148,https://github.com/hyperledger/composer-tools/pull/148,jt-nti,Add IBM Cloud Object Service wallet DO NOT MERGE!,,[],6,2018-10-08 13:48:34,2018-10-08 14:17:32,2018-10-08 14:17:32,False,,,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/146,https://github.com/hyperledger/composer-tools/pull/146,davidkel,Upgrade to Fabric 1.2.1,Signed-off-by: Dave Kelsey <d_kelsey@uk.ibm.com>,[],1,2018-09-29 09:01:37,2018-10-02 09:28:03,2018-10-14 10:47:35,True,2018-10-02 09:28:03,mbwhite,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/145,https://github.com/hyperledger/composer-tools/pull/145,jt-nti,Fix build,"Ironically, it looks like d26d67b6a2fc94639e3a864d6f67149d6aaaa1f8 broke the build's license check!

Signed-off-by: James Taylor <jamest@uk.ibm.com>",['awjh-ibm'],1,2018-09-21 14:56:33,2018-09-21 16:31:13,2018-09-21 16:31:13,True,2018-09-21 16:31:13,jt-nti,unknown,,closed
composer-tools,https://api.github.com/repos/hyperledger/composer-tools/pulls/144,https://github.com/hyperledger/composer-tools/pull/144,jt-nti,Add stalebot config,"Closes #143

Signed-off-by: James Taylor <jamest@uk.ibm.com>",[],2,2018-09-21 14:34:38,2018-09-21 18:35:00,2018-09-21 18:35:00,True,2018-09-21 18:35:00,jt-nti,unknown,,closed
