name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
education-cryptomoji,tijohnson,https://github.com/hyperledger/education-cryptomoji/issues/131,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/131,Possible Secuity Vulnerability,"
Known  high severity security vulnerability detected in deep-extend < 0.5.1 defined in package-lock.json

package-lock.json update suggested: deep-extend ~> 0.5.1.
 

",open,False,2018-10-09 17:05:25,2018-10-09 17:05:25
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/pull/130,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/130,Update moji definitions with additional blocklisted characters,"Fixes #124

Should reduce incidents of mojis being generated with undisplayable characters.",closed,True,2018-09-13 20:35:11,2018-09-14 15:49:13
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/129,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/129,Add stub components for a Java TP,"Blocked by #127 

Once integration tests are in place, stub files for a Java TP and docker-compose components should be added to the repo.

Should probably include a method to choose a TP on `docker-compose up` such as an environment variable.",open,False,2018-09-13 18:54:12,2018-09-13 18:54:12
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/128,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/128,Add stub components for a Python TP,"Blocked by #127 

Once integration tests are in place, stub files for a Python TP and docker-compose components should be added to the repo.

Should probably include a method to choose a TP on `docker-compose up` such as an environment variable.",open,False,2018-09-13 18:53:41,2018-09-13 18:53:41
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/127,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/127,Add language agnostic integration tests,"Transaction processor can be written in any language, but the current Javascript unit tests necessitate a JS implementation. Adding integration tests would allow students to write their Transaction Processor in any language they like. ",open,False,2018-09-13 18:49:31,2018-09-13 18:49:52
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/126,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/126,Add solutions to common deployment issues in README,"Specifically these two issues popped up for many students on Linux:

Issues with number of watchers:
https://stackoverflow.com/questions/22475849/node-js-error-enospc/32600959#32600959
`echo fs.inotify.max_user_watches=524288 | sudo tee -a /etc/sysctl.conf && sudo sysctl -p`

Sudo required for every docker command:
https://docs.docker.com/install/linux/linux-postinstall/#manage-docker-as-a-non-root-user",open,False,2018-09-13 18:45:13,2018-09-13 18:45:13
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/125,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/125,Remove any remaining tested elements from beforeEach hook,Failures in a `beforeEach` hook do not report back their error messages. No test should run a the function being tested in `beforeEach`.,open,False,2018-09-13 18:43:22,2018-09-14 16:46:36
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/124,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/124,Blacklist unviewable characters,"These characters do not display on every system:
10047
3642",open,False,2018-09-13 18:42:02,2018-09-28 20:00:41
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/123,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/123,Design Intro Sawtooth Sprint,"Should be the absolute minimum full stack Sawtooth app, such as the Pirate Talk concept explored here: 
https://github.com/delventhalz/pirate-talk

Should cover (in this rough order):
- Saving state, generating addresses
- Creating keys, ""logging in"" to a front end
- Building transactions, signing
- Submitting to a REST API
- Reading state from a REST API",open,False,2018-09-13 18:40:53,2018-09-13 18:40:53
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/122,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/122,Redesign DIY Blockchain,"The DIY Blockchain should be redesigned to minimize unnecessary noise and re-order tests to be based around implementing functionality rather than per-module. For example the signing module should be started as a part of building transactions, not front-loaded with no context.

Rough order:
- **Blocks and Blockchains:** includes hashes and block validation, should be able to handle any data (either a string or an array of transactions)
- **Transactions:** includes signing and validation of transactions
- **Consensus (Extra Credit):** mining, balances, additional validation",open,False,2018-09-13 18:38:15,2018-09-13 18:38:15
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/121,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/121,Redesign Cryptomoji App,"The Cryptomoji App should be redesigned to remove most of the extra noise that distracts students from the actual Sawtooth implementation, as well as front-loading the more typical blockchain behavior (trading).

This redesign should also include re-ordering tests so that _services_ methods are implemented as they are needed, not front-loaded where they are implemented without any context.

Finally this redesign must address #82 by generating an ID for moji (and perhaps collections) that is independent of state address.

Rough new design and implementation order:
- **Create Collection:** Creates empy collection (no moji); encoding; ID generation
- **Front End MVP:** Login/signup with private keys; encoding; signing; collection txn, address, and request
- **Spawn Moji:** Adds moji to a collection; FE should display moji; moji txn, address, and request
- **Trade Moji:** Create/accept/reject Offer (should address #85); delete state; FE trade UI; offer txn, address, and request
- **Breed Moji (Extra Credit):** Select sire; breed moji; family tree added to moji entity; FE breeding UI; sire txn, address, and request
- **Additional Offer Validation (Extra Credit):** Handle the many complex offer fail states (such as #57, #77)
- **Counter-Offers (Extra Credit, possible):** Adds additional functionality to Offers, allowing counter-offers, similar to original offer functionality.",open,False,2018-09-13 18:33:06,2018-09-14 16:45:53
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/120,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/120,Rebase videos out of repo,"Move all videos to an external service like YouTube, and then rebase all repo branches to remove these videos from the commit history entirely. The 500MB download is simply too much for students with spotty internet connections. ",open,False,2018-09-13 18:09:32,2018-09-14 17:13:29
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/issues/119,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/119,Move Curriculum and Design Docs to Reading Directory,"All app design material should be removed from READMEs and maintained separately in `reading/part-XXX/design.md`.

All educational curriculum should be removed from READMEs and maintained separately in `reading/part-XXX/curriculum.md`.

READMEs should contain only setup and start up information, with links to design and curriculum as appropriate. READMEs should also be redundant. The root README will have all information from nested READMEs. Nested READMEs will repeat the information pertinent to their particular component.",open,False,2018-09-13 18:03:10,2018-09-28 20:32:46
education-cryptomoji,therobinkim,https://github.com/hyperledger/education-cryptomoji/issues/118,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/118,Support browsers with < 5% share,"https://github.com/hyperledger/education-cryptomoji/blob/staging/code/part-two/client/.babelrc#L8 currently has the project supporting browsers with > 5% share, meaning that less code is transpiled.

This configuration was added to allow for the `async/await` keywords to work properly without causing any errors on the frontend.

Is there a way to support the transpilation of `async/await` keywords (perhaps with an extra plugin) such that we can support more browsers?",open,False,2018-08-29 02:15:52,2018-08-29 18:24:48
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/pull/117,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/117,Test updates informed by ReBootKamp students,"After spending a day working with ReBootKamp students on the part-one curriculum, a number of errors and confusing behavior from the part one tests became apparent. This PR addresses all of those issue.",closed,True,2018-08-26 19:52:35,2018-09-14 15:49:13
education-cryptomoji,therobinkim,https://github.com/hyperledger/education-cryptomoji/issues/116,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/116,Add a link for convenience to videos uploaded on Hack Reactor's YouTube channel,https://www.youtube.com/playlist?list=PLW_OuWgJzqX0VDi1OYbbPhToPzdX_6zNd,closed,False,2018-08-21 19:14:55,2018-09-13 19:13:31
education-cryptomoji,therobinkim,https://github.com/hyperledger/education-cryptomoji/pull/115,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/115,Client: Allow users to breed moji,"This PR should be merged only after #114 is merged. (#114 brings changes into `feat/client-breed`, and this PR will bring those changes into `staging`!)

This PR incorporates initial changes from #99 and fixes from #114.",closed,True,2018-08-16 07:33:40,2018-08-29 02:06:43
education-cryptomoji,therobinkim,https://github.com/hyperledger/education-cryptomoji/pull/114,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/114,Fix <MojiListItem/> and <BreedDropdownMenu/> not rendering when no sire selected,"This PR fixes critical bugs where `<MojiListItem/>` and `<BreedDropdownMenu/>` did not render properly when the logged in user did not have any sires selected.

Once this PR is approved, PR #115 should be approved as well.
PR #99 was previously modified to target the `feat/client-breed` branch instead, so once this PR is approved and merged, PR #115 will handle bringing the changes into the `staging` branch. (Finally!)

`<MojiListItem/>` is working again:
![image](https://user-images.githubusercontent.com/7613067/44194438-a200d880-a0fb-11e8-9db4-02d546061dde.png)

`<BreedDropdownMenu/>` is working again:
![image](https://user-images.githubusercontent.com/7613067/44194448-adec9a80-a0fb-11e8-94ac-83cbd8071441.png)
",closed,True,2018-08-16 07:27:50,2018-08-29 06:09:00
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/pull/113,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/113,Fix namespace typo in isValidAddress test,"Fixes #110

The test that ensured isValidAddress rejected non-hex input used the wrong namespace, which meant it would reject the test address based on namespace before even looking at whether or not it was hex.

_To test:_

```bash
cd code/part-two/processor/
npm install
npm test
```

All of the tests should pass. Then, if you modify line 121 of `code/part-two/processor/services/addressing.js` so it reads:

```javascript
  const pattern = `^${NAMESPACE}[0-9a-z]{64}$`;
```

The tests should fail correctly. Previously this error would have snuck past the tests.",closed,True,2018-08-11 14:40:01,2018-09-14 15:49:12
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/pull/112,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/112,Add expect for previousHash to addBlock test,"Fixes #96

Ensures that students set the previousHash properly when adding blocks to the blockchain. Previously this was not checked.

_To test:_

```bash
cd code/part-one/
npm install
npm test
```

These tests should all pass. Then if you modify line 140 of `code/part-one/blockchain.js` so it reads:

```javascript
    const block = new Block(transactions, this.getHeadBlock().previousHash);
```

This is an error, and if you run `npm test` again, it should be caught by the tests. Previously it would have been missed.",closed,True,2018-08-11 14:20:45,2018-09-14 15:42:50
education-cryptomoji,harshpatel,https://github.com/hyperledger/education-cryptomoji/pull/111,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/111,Add collab with Hack Reactor to README,"
We will be using this link to send to students to optionally go through the course. As such, I'd love to add a shoutout/collab with Hack Reactor so that students feel a welcoming sense as they land on the sprint. ",closed,True,2018-07-30 16:08:15,2018-07-30 18:13:06
education-cryptomoji,sschaefer-rms,https://github.com/hyperledger/education-cryptomoji/issues/110,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/110,"Processor test ""01-Services.js"" on Part-Two has a typo",Line 254 defines the `address` as `5f4d7702` when it should be have a valid namespace prefix attached to it (`5f4d76`). Have an invalid namespace will short circuit the test since it has an invalid namespace and never gets to test for valid hex. ,closed,False,2018-07-29 18:55:42,2018-08-16 08:00:19
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/pull/109,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/109,Fix links to lecture videos in READMEs,"The lectures use a `.mp4` extension, not the `.m4v` extension.

Thanks to @schaeferCode for finding this one.",closed,True,2018-07-27 19:36:04,2018-09-14 15:49:12
education-cryptomoji,ScottRudiger,https://github.com/hyperledger/education-cryptomoji/pull/108,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/108,Fix grammar in part-two client README,Signed-off-by: Scott Rudiger <scottrudiger@gmail.com>,closed,True,2018-07-20 06:34:15,2018-07-24 14:09:18
education-cryptomoji,ScottRudiger,https://github.com/hyperledger/education-cryptomoji/pull/107,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/107,Fix grammar in part-two client README,,closed,True,2018-07-20 06:31:34,2018-07-20 06:32:12
education-cryptomoji,delventhalz,https://github.com/hyperledger/education-cryptomoji/pull/106,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/106,Add video lectures to the repo!,,closed,True,2018-07-19 02:40:58,2018-09-14 15:49:14
education-cryptomoji,therobinkim,https://github.com/hyperledger/education-cryptomoji/issues/105,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/105,Client: Refactor solution code,"(I might break up this issue into multiple issues.)

Just throwing some ideas out there to better manage state and reduce the complexity involved with making multiple API calls from the different components (which also slows down the performance of the app).

* Store user's collection in one place (can be reused when viewing own collection or with `<BreedDropDownMenu/>`)
* Store user's public key and private key via `Context` API

And

* Just render `parseDna` as soon as it's available instead of worrying about whether its sire indicator should appear or not yet (also don't worrying about bad dna; parsing DNA will always work!)
* If fetching information for a whole collection, also fetch details about the moji in the collection (but only fetch details about the collection's sire **once**?)
* If fetching information for a list of sires, you already have details about the moji in the random list (so **don't** fetch details about each moji's collection's sire)
* If fetching information for a list of random moji, also fetch details about the moji in the random list (and also fetch details about each moji's collection's sire)

---

Alternatively,

1. Don't fetch information about sires until all moji info has been fetched
2. Determine the collections that the moji belong to
3. Only fetch sire details for those collections
4. Go through entire list of moji and set their `isSire` prop to true (maybe show a ""pending"" icon in the meantime)

---

Alternatively,

* Just don't render the sire indicator when a list of moji are being displayed",open,False,2018-07-03 20:20:57,2018-07-03 20:21:26
education-cryptomoji,ScottRudiger,https://github.com/hyperledger/education-cryptomoji/pull/104,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/104,test(signing): fix for Invalid Chai property 'hexString',"This might be more of an issue than a PR, but for every `should return a hex string` test I kept getting `Invalid Chai property: 'hexString'`.

The proposed regex solves the problem for me, but it's possible I was doing something wrong and the tests are fine.",closed,True,2018-07-01 22:19:51,2018-07-09 12:22:33
education-cryptomoji,therobinkim,https://github.com/hyperledger/education-cryptomoji/pull/103,https://api.github.com/repos/hyperledger/education-cryptomoji/issues/103,Fix publish script,"Fixes #102.

This PR requires a little work to test as the changes in the PR actually rely on the current status of `hyperledger:staging` (and until this PR is merged... the changes won't be on `hyperledger:staging`).

So, I've tested it out on my own fork! Here are the commits that the script produced:
* problemified: https://github.com/therobinkim/education-cryptomoji/commit/4a83e2eb8a391160760276372ee040fb179f1516
* solutionified: https://github.com/therobinkim/education-cryptomoji/commit/146103524c3065f10dbba0efb336e71f2d3cbdb7

We will be able to more accurately test this PR once it's been merged (which is a bit unfortunate).",closed,True,2018-06-28 20:21:56,2018-08-16 08:37:48
