name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
education,https://api.github.com/repos/hyperledger/education/pulls/132,https://github.com/hyperledger/education/pull/132,anonydog,Pin package versions,"`fabric-client` seems to have removed Client.newEventHub in later versions. That caused the following error for me when trying to add tuna or change holders in the client app:

    TypeError: fabric_client.newEventHub is not a function

Pinning it (and some dependencies) solved the issue for me.",[],1,2019-02-26 18:30:09,,2019-02-26 18:30:09,False,,,blocked,True,open
education,https://api.github.com/repos/hyperledger/education/pulls/128,https://github.com/hyperledger/education/pull/128,swcurran,Tweak to Indy Workshop code to make startup more robust,Sometimes the Indy nodes don't start up before the Indy agents try hit the network. This tweak slows the Indy agents down a bit.,[],7,2019-01-24 19:50:05,2019-01-24 20:35:52,2019-01-24 20:35:52,True,2019-01-24 20:35:52,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/127,https://github.com/hyperledger/education/pull/127,SaiKishanTalamarla,HYYTA,NA,[],9,2019-01-24 15:02:20,2019-02-25 20:13:28,2019-02-25 20:13:28,False,,,blocked,True,closed
education,https://api.github.com/repos/hyperledger/education/pulls/126,https://github.com/hyperledger/education/pull/126,SaiKishanTalamarla,Hyperledger Tuna App,NA,[],13,2019-01-24 14:45:47,2019-02-25 20:13:40,2019-02-25 20:13:40,False,,,dirty,False,closed
education,https://api.github.com/repos/hyperledger/education/pulls/124,https://github.com/hyperledger/education/pull/124,tkuhrt,Update readme,,[],2,2019-01-15 18:32:54,2019-01-15 18:33:17,2019-01-15 18:33:22,True,2019-01-15 18:33:17,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/123,https://github.com/hyperledger/education/pull/123,tkuhrt,Added Indy and Composer chapters to the table of contents,Signed-off-by: Tracy Kuhrt <tkuhrt@linuxfoundation.org>,[],1,2019-01-15 18:26:03,2019-01-15 18:26:53,2019-01-15 18:26:57,True,2019-01-15 18:26:53,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/122,https://github.com/hyperledger/education/pull/122,tkuhrt,Import edx content to Markdown,,[],11,2019-01-15 18:04:14,2019-01-15 18:18:03,2019-01-15 18:18:03,True,2019-01-15 18:18:03,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/115,https://github.com/hyperledger/education/pull/115,tkuhrt,Add Composer chapter,"Signed-off-by: Tracy Kuhrt <tkuhrt@linuxfoundation.org>
Signed-off-by: Alejandro Vicente Grabovetsky <sasha@aid.technology>
Signed-off-by: Nicola Paoli <nicola@aid.technology>",[],1,2018-10-29 20:11:38,2018-10-29 20:21:47,2018-10-29 20:21:47,True,2018-10-29 20:21:47,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/114,https://github.com/hyperledger/education/pull/114,tkuhrt,Remove blank line to resolve merge conflict with master,Signed-off-by: Tracy Kuhrt <tkuhrt@linuxfoundation.org>,[],1,2018-10-29 19:12:55,2018-10-29 19:13:26,2018-10-29 19:13:26,True,2018-10-29 19:13:26,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/113,https://github.com/hyperledger/education/pull/113,swcurran,New instructions and scripts for running the Indy demo in just a browser - much easier,,[],4,2018-10-20 18:22:13,2018-10-29 16:24:58,2018-10-29 16:24:58,True,2018-10-29 16:24:58,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/112,https://github.com/hyperledger/education/pull/112,alexvicegrab,Fix merge issues on add-composer branch,"Curiously, this also includes some minor changes that we did earlier, but which don't appear reflected in the add-composer branch.

Needed to merge #111 ",[],58,2018-10-19 07:14:17,2018-10-20 07:30:03,2018-10-20 09:08:48,True,2018-10-20 07:30:03,tkuhrt,unknown,,closed
education,https://api.github.com/repos/hyperledger/education/pulls/111,https://github.com/hyperledger/education/pull/111,alexvicegrab,Add composer to master,Requires #112 to resolve conflicts prior to merge,[],4,2018-10-18 08:55:44,2018-10-29 20:23:01,2018-10-29 20:23:01,False,,,unknown,,closed
