name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/240,https://github.com/hyperledger/fabric/pull/240,tehsunnliu,Typo in port number for peer0.org1.example.com,"I was following the documentation and faced a problem `""Error: error getting endorser client for invoke: endorser client failed to connect to peer0.org1.example.com:9051: failed to create new connection: context deadline exceeded""1` while executing 
``` 
peer chaincode invoke -o orderer.example.com:7050 --tls true --cafile /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/ordererOrganizations/example.com/orderers/orderer.example.com/msp/tlscacerts/tlsca.example.com-cert.pem -C $CHANNEL_NAME -n mycc --peerAddresses peer0.org1.example.com:9051 --tlsRootCertFiles /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/ca.crt --peerAddresses peer0.org2.example.com:9051 --tlsRootCertFiles /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt -c '{""Args"":[""invoke"",""a"",""b"",""10""]}'
```
I checked the default port in `base/docker-compose-base.yaml` and found that the port for peer0.org1.example.com is actually set to 7051.
```
 - CORE_PEER_ADDRESS=peer0.org1.example.com:7051
```",[],1,2019-04-03 08:18:31,,2019-04-03 08:30:19,False,,,unstable,True,open
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/239,https://github.com/hyperledger/fabric/pull/239,joshuaquek,Update forked repo,,[],74,2019-04-03 03:46:51,2019-04-03 03:47:49,2019-04-03 04:11:18,False,,,dirty,False,closed
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/238,https://github.com/hyperledger/fabric/pull/238,hldzlk,"Merge ""[FAB-14818] Flake in TestStreamAbort"" into release-1.4","Signed-off-by: hldzlk <zhoulink90@gmail.com>
update docs",[],1,2019-04-03 01:37:35,2019-04-03 01:43:06,2019-04-03 01:43:06,False,,,unknown,,closed
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/237,https://github.com/hyperledger/fabric/pull/237,hldzlk,Update smartcontract.md,spelling mistake,[],1,2019-04-02 10:02:03,2019-04-02 10:04:14,2019-04-02 10:09:35,False,,,unknown,,closed
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/236,https://github.com/hyperledger/fabric/pull/236,hldzlk,Update smartcontract.md,spelling mistake,[],1,2019-04-02 09:59:04,2019-04-02 09:59:33,2019-04-02 10:09:39,False,,,unknown,,closed
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/235,https://github.com/hyperledger/fabric/pull/235,less-more,Release 1.1,fabric_v1.1,[],160,2019-04-02 06:09:01,,2019-04-02 06:09:01,False,,,dirty,False,open
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/234,https://github.com/hyperledger/fabric/pull/234,captainludd,just messing,,[],2,2019-03-21 16:27:47,2019-03-21 16:28:37,2019-03-21 16:28:37,False,,,dirty,False,closed
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/233,https://github.com/hyperledger/fabric/pull/233,codesmata,Updated analysis.md,Fixed minor typographical error.,[],1,2019-03-21 08:34:34,,2019-03-21 08:34:34,False,,,unstable,True,open
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/232,https://github.com/hyperledger/fabric/pull/232,v-almonacid,fixed small typo,,[],1,2019-03-13 19:37:22,,2019-03-13 19:37:22,False,,,unstable,True,open
fabric,https://api.github.com/repos/hyperledger/fabric/pulls/231,https://github.com/hyperledger/fabric/pull/231,huahuayu,Update getting_started.rst,,[],1,2019-03-13 11:33:58,,2019-03-13 11:33:58,False,,,unstable,True,open
