name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
grid,https://api.github.com/repos/hyperledger/grid/pulls/32,https://github.com/hyperledger/grid/pull/32,peterschwarz,Configure Grid daemon to write events to a PostGreSQL instance,"This currently writes blocks to a Block table, but does not (yet) deal in fork resolution.",['peterschwarz'],15,2019-04-03 19:18:16,,2019-04-03 19:31:54,False,,,blocked,True,open
grid,https://api.github.com/repos/hyperledger/grid/pulls/31,https://github.com/hyperledger/grid/pull/31,peterschwarz,Convert TnT dev docker file to multi-stage,Convert the Track and Trace TP's development Dockerfile to use the same multi-stage build style as the grid daemon.  This improves overall build time and developer experience when working in a docker-compose environment.,['peterschwarz'],1,2019-04-02 21:16:01,2019-04-03 14:24:20,2019-04-03 14:24:20,True,2019-04-03 14:24:20,peterschwarz,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/30,https://github.com/hyperledger/grid/pull/30,eloaverona,Submit batches endpoint,Implements POST submit_batches endpoint as specified by the openapi spec documentation. ,[],8,2019-04-02 15:13:44,,2019-04-03 21:19:19,False,,,blocked,True,open
grid,https://api.github.com/repos/hyperledger/grid/pulls/29,https://github.com/hyperledger/grid/pull/29,vaporos,Add top-level workspace Cargo.toml,"This will keep all of the dependencies the same between components and
allow running 'cargo test' from the top-level directory.

Signed-off-by: Shawn T. Amundson <amundson@bitwise.io>",['vaporos'],1,2019-03-29 19:28:28,,2019-04-03 15:19:10,False,,,blocked,True,open
grid,https://api.github.com/repos/hyperledger/grid/pulls/28,https://github.com/hyperledger/grid/pull/28,peterschwarz,Initial Event Processor,"This event processor is configured to receive the appropriate events from a Sawtooth Validator, which can be offloaded into a reporting db (to be added in a subsequent PR).",['peterschwarz'],18,2019-03-29 16:30:31,2019-04-03 15:35:41,2019-04-03 15:35:44,True,2019-04-03 15:35:41,peterschwarz,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/27,https://github.com/hyperledger/grid/pull/27,peterschwarz,Gracefully shutdown the REST API,"This PR adds the `ctrlc` dependency, and creates a shutdown handle, join handle tuple to be used by the main method. 

It runs the rest api on its own thread, which allows other activities (the future event processor for example) to also be started.",['peterschwarz'],4,2019-03-29 15:21:17,2019-04-01 15:03:44,2019-04-01 15:03:47,True,2019-04-01 15:03:44,peterschwarz,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/26,https://github.com/hyperledger/grid/pull/26,agunde406,Fixes for the grid docker-compose file. ,,['agunde406'],2,2019-03-28 19:58:45,2019-03-28 20:20:30,2019-04-02 13:56:43,True,2019-03-28 20:20:30,agunde406,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/25,https://github.com/hyperledger/grid/pull/25,agunde406,Add native implementations for pike protos. ,This is needed to use pike state objects in the grid schema smart contract.,['agunde406'],2,2019-03-28 19:43:47,2019-04-01 13:58:28,2019-04-02 13:56:41,True,2019-04-01 13:58:28,agunde406,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/24,https://github.com/hyperledger/grid/pull/24,eloaverona,Change default validator and rest_api addresses,"To use `localhost` as part of an address does not work with Actix. It compiles but when you try to send a request, there's no response. I found no documentation on this problem, but all Actix examples use `127.0.0.1` rather than localhost. This PR updates updates the default validator
and REST API endpoints to use `127.0.0.1` instead of `localhost`.

",['agunde406'],2,2019-03-27 18:13:29,2019-03-27 20:16:03,2019-03-27 20:16:03,True,2019-03-27 20:16:03,agunde406,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/23,https://github.com/hyperledger/grid/pull/23,shannynalayna,Add initial Rest API,"Adds initial setup for Rest API which adds a basic Hello World
route and begins a server using Actix.

There is currently a test in place which uses a TestServer to access the index route currently in place. However, you can also test this initial route directly by running `cargo run` from the `daemon` folder. Then, run the command `curl http://localhost:8080` in a terminal, or access `http://localhost:8080` from a web browser and you should see the message ""Hello world!"" in the response. Use Ctrl+C to shut down this process. 

Signed-off-by: Shannyn Telander <telander@bitwise.io>",['agunde406'],2,2019-03-26 16:35:31,2019-03-27 18:08:55,2019-03-27 18:08:55,True,2019-03-27 18:08:55,agunde406,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/22,https://github.com/hyperledger/grid/pull/22,vaporos,Move pike protos,"Move Pike's protobuf files into the SDK directory. This will temporarily break the code in sawtooth-pike/, but that code will be moved to its final location and tested in subsequent PRs.

To accomplish this, existing track and trace protobuf message ""Agent"" had to be renamed.",['vaporos'],2,2019-03-25 18:43:18,2019-03-25 22:03:17,2019-03-25 22:03:17,True,2019-03-25 22:03:17,vaporos,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/21,https://github.com/hyperledger/grid/pull/21,peterschwarz,Add GridConfig for gridd,This PR adds a GridConfig and GridConfigBuilder to transform CLI args (and future configuration files) into a configuration object.  Defaults are all managed via the builder.,['peterschwarz'],4,2019-03-25 14:32:33,2019-03-25 16:41:04,2019-03-25 16:41:07,True,2019-03-25 16:41:04,peterschwarz,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/20,https://github.com/hyperledger/grid/pull/20,eloaverona,Add initial REST API specs,"This PR adds initial openapi spec doc for the Grid REST API. 
It defines endpoint to submit batches, get batch status, and get schema from the reporting database. 
To visualize the document [Swagger](http://editor.swagger.io/) is a good tool.",['agunde406'],2,2019-03-25 12:07:53,2019-03-27 14:36:15,2019-03-27 14:36:16,True,2019-03-27 14:36:15,agunde406,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/19,https://github.com/hyperledger/grid/pull/19,peterschwarz,Add gridd to docker compose file,Add a Dockerfile for `gridd` and include a container in the docker compose file.,['peterschwarz'],3,2019-03-22 16:44:10,2019-03-25 14:34:31,2019-03-25 14:34:35,True,2019-03-25 14:34:31,peterschwarz,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/18,https://github.com/hyperledger/grid/pull/18,vaporos,Merge pike code into grid,"This merges pike, which was extracted from sawtooth-sabre via filter-branch, into grid. This is initial work to get this code into the repository and will need to be modified further to fully integrate it into grid.",['vaporos'],22,2019-03-22 16:17:59,2019-03-25 14:42:27,2019-03-25 14:42:27,True,2019-03-25 14:42:27,vaporos,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/17,https://github.com/hyperledger/grid/pull/17,agunde406,Add IntoBytes and FromBytes to protocol,"This allows a developer to go directly from bytes to
the native implementation and from the native
implementation to the bytes. This will be useful
when writing smart contracts.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",['agunde406'],1,2019-03-21 19:52:44,2019-03-22 15:45:45,2019-04-02 13:56:36,True,2019-03-22 15:45:45,agunde406,unknown,,closed
grid,https://api.github.com/repos/hyperledger/grid/pulls/16,https://github.com/hyperledger/grid/pull/16,shannynalayna,Add initial daemon package,"Adds initial daemon package within Grid and adds the generated build docs from this package to the .gitignore file. Currently, none of the contents of this package are really functional. ",['agunde406'],2,2019-03-21 16:53:33,2019-03-21 20:02:56,2019-03-21 20:02:56,True,2019-03-21 20:02:56,agunde406,unknown,,closed
