name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/68,https://github.com/hyperledger/hyperledger/pull/68,ryjones,Create DCO,,[],1,2017-10-03 22:36:46,2017-10-03 22:37:08,2017-10-03 22:37:08,False,,,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/67,https://github.com/hyperledger/hyperledger/pull/67,tkuhrt,Updated files to reflect latest developments,"The files in this repo were out of date. I made two changes:
1. Moved Presentations to a presentations directory
2. Updated to the README to reflect the latest for Hyperledger. Provided pointers to help people get directed.",[],1,2017-08-19 01:34:44,2017-10-07 01:36:04,2017-10-07 01:36:04,True,2017-10-07 01:36:04,ryjones,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/50,https://github.com/hyperledger/hyperledger/pull/50,ojalatodd,Update repo list for Sawtooth Lake in Hyperledger Readme,"The repos have been consolidated into sawtooth-core. Update the
readme.md file to reflect this.

I mentioned that a consolidation has occurred, to avoid confusion
for those used to the old system.
",[],1,2016-09-09 19:45:00,2016-09-12 21:23:04,2016-09-12 21:23:04,True,2016-09-12 21:23:04,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/48,https://github.com/hyperledger/hyperledger/pull/48,marcieabreu,Add Project Comparisons ,,[],1,2016-08-26 18:17:26,2016-08-26 18:36:36,2016-08-26 18:36:36,True,2016-08-26 18:36:36,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/47,https://github.com/hyperledger/hyperledger/pull/47,christo4ferris,update readme to reflect github mirrors,"update readme to reflect github mirrors and restored reference to official docs and added link to Jira.
",[],3,2016-08-26 15:56:46,2016-08-26 18:34:47,2016-08-26 18:34:47,True,2016-08-26 18:34:47,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/46,https://github.com/hyperledger/hyperledger/pull/46,christo4ferris,update README to point to Gerrit and readthedocs,"update README to point to Gerrit and readthedocs. Also add Blockchain-explorer project.

Signed-off-by: Christopher Ferris chrisfer@us.ibm.com
",[],1,2016-08-18 15:31:13,2016-08-18 17:16:52,2016-08-18 17:16:52,True,2016-08-18 17:16:52,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/44,https://github.com/hyperledger/hyperledger/pull/44,jeremysevareid,Amend to add two files,"Amended to add:
part 2 of presentation to Identity WG of Membership Services in Hyperledger Fabric
dummy .travis.yml file in order for automated merge to occur
",[],3,2016-07-18 22:31:08,2016-07-18 22:35:00,2016-07-18 22:35:00,False,,,dirty,False,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/43,https://github.com/hyperledger/hyperledger/pull/43,jeremysevareid,Amend to add Part 2 of Presentation on Membership Services,"Amended to add part 2 of presentation to Identity WG of Membership Services in Hyperledger Fabric from Jonathan Levi
",[],3,2016-07-18 21:47:52,2016-07-26 00:58:52,2016-07-26 00:58:52,True,2016-07-26 00:58:52,christo4ferris,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/41,https://github.com/hyperledger/hyperledger/pull/41,jeremysevareid,jonathanlevi's membership services pdf,"Adding Jonathan Levi's PDF of the presentation on membership services made to the Identity Working Group on 2016-06-23.
",[],2,2016-07-05 16:23:00,2016-07-05 16:34:18,2016-07-05 16:49:29,True,2016-07-05 16:34:18,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/40,https://github.com/hyperledger/hyperledger/pull/40,hobti01,Fix Sawtooth Lake URL,,[],1,2016-06-28 08:20:45,2016-07-05 18:33:52,2016-07-05 18:33:53,True,2016-07-05 18:33:52,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/37,https://github.com/hyperledger/hyperledger/pull/37,Abdelkrim,add bullet points to increase readability,,[],1,2016-06-14 12:25:35,2016-06-14 13:08:12,2016-06-14 13:08:12,True,2016-06-14 13:08:12,christo4ferris,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/36,https://github.com/hyperledger/hyperledger/pull/36,christo4ferris,update the README to make clearer how to engage,"update the README to make clearer how to engage and provide improved description of Fabric incubator

Signed-off-by: Christopher Ferris chrisfer@us.ibm.com
",[],1,2016-06-12 13:08:52,2016-06-14 13:42:47,2016-06-14 13:42:48,True,2016-06-14 13:42:47,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/35,https://github.com/hyperledger/hyperledger/pull/35,christo4ferris,fix typos,"fix typos

Signed-off-by: Christopher Ferris chrisfer@us.ibm.com
",[],1,2016-06-02 15:40:24,2016-06-02 15:44:51,2016-06-02 15:44:51,True,2016-06-02 15:44:51,christo4ferris,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/34,https://github.com/hyperledger/hyperledger/pull/34,hcvst,Fixed typo in Readme,,[],1,2016-06-01 10:48:49,2016-06-02 15:44:19,2016-06-02 15:44:19,True,2016-06-02 15:44:19,christo4ferris,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/33,https://github.com/hyperledger/hyperledger/pull/33,christo4ferris,add clarity to README,"add clarity as to what is going on here. remove the original proposals
to a separate file, and make clear that there are currently two
incubating projects.

Signed-off-by: Christopher Ferris chrisfer@us.ibm.com
",[],2,2016-05-27 01:14:47,2016-05-27 01:21:13,2016-06-02 15:32:07,True,2016-05-27 01:21:13,rjones-lf,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/22,https://github.com/hyperledger/hyperledger/pull/22,christo4ferris,add mic and christopherA's intro,"closes #21

Signed-off by: Christopher Ferris chrisfer@us.ibm.com
",[],1,2016-04-15 11:07:00,2016-04-18 19:14:22,2016-04-18 19:14:22,True,2016-04-18 19:14:22,tbenzies,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/20,https://github.com/hyperledger/hyperledger/pull/20,lehors,Update README.md,"Added reference to Fabric Incubator and updated description of defunct incubator repo.
",[],1,2016-04-12 21:53:19,2016-04-14 14:23:02,2016-04-14 14:23:02,True,2016-04-14 14:23:02,mkdolan,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/19,https://github.com/hyperledger/hyperledger/pull/19,dcmiddle,Add Intel contribution blurb,,[],1,2016-04-08 16:32:09,2016-04-08 21:14:32,2016-04-08 21:14:32,True,2016-04-08 21:14:32,mkdolan,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/11,https://github.com/hyperledger/hyperledger/pull/11,christo4ferris,remove white paper draft,"now hosted on wiki
",[],1,2016-04-05 14:56:53,2016-04-05 18:03:04,2016-04-05 18:03:04,True,2016-04-05 18:03:04,tbenzies,unknown,,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/10,https://github.com/hyperledger/hyperledger/pull/10,obscuren,I've fixed up your hyperledger with a working blockchain implementation,":trollface: 
",[],1,2016-04-01 08:27:05,2016-04-03 06:10:21,2016-04-04 02:36:48,False,,,dirty,False,closed
hyperledger,https://api.github.com/repos/hyperledger/hyperledger/pulls/8,https://github.com/hyperledger/hyperledger/pull/8,christo4ferris,initial outline,"initial outline
",[],1,2016-03-04 15:47:07,2016-03-18 16:08:18,2016-03-18 16:08:18,True,2016-03-18 16:08:18,tbenzies,unknown,,closed
