name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/123,https://github.com/hyperledger/indy-anoncreds/pull/123,AlexKoshta,Using bash insted of sh for setup-charm.sh in Debian-based systems," The setup-charm.sh script is using bash syntactical feature [[ but sh is not always pointing to bash (in Ubuntu sh is pointing to dash). For Debian-based systems would be better to use command:

bash setup-charm.sh",[],1,2018-09-03 22:45:16,,2018-09-05 09:57:41,False,,,blocked,True,open
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/122,https://github.com/hyperledger/indy-anoncreds/pull/122,andkononykhin,switches pr context to hyperledger,Signed-off-by: Andrey Kononykhin <andkononykhin@gmail.com>,[],1,2018-04-26 11:24:56,2018-04-26 11:31:12,2018-04-26 11:31:12,True,2018-04-26 11:31:12,andkononykhin,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/121,https://github.com/hyperledger/indy-anoncreds/pull/121,ryjones,Create jenkins-trigger,DO NOT MERGE,[],1,2018-02-01 19:26:21,2018-02-02 07:44:05,2018-02-02 07:44:05,False,,,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/120,https://github.com/hyperledger/indy-anoncreds/pull/120,ryjones,Create jenkins-trigger,DO NOT MERGE,[],2,2018-02-01 03:49:07,2018-02-01 17:59:52,2018-02-01 17:59:52,False,,,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/119,https://github.com/hyperledger/indy-anoncreds/pull/119,andkononykhin,[WIP] testing integration with Hyperledger jenkins,,[],1,2018-01-24 07:50:15,,2018-01-24 08:21:02,False,,,behind,True,open
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/118,https://github.com/hyperledger/indy-anoncreds/pull/118,andkononykhin,[WIP] testing integration with hyperledger jenkins server,,[],1,2018-01-19 06:42:50,,2018-01-24 07:48:50,False,,,blocked,True,open
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/117,https://github.com/hyperledger/indy-anoncreds/pull/117,andkononykhin,[WIP] Hyperledger ci,,[],2,2018-01-18 07:45:17,,2018-08-29 08:32:11,False,,,dirty,False,open
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/116,https://github.com/hyperledger/indy-anoncreds/pull/116,dsurnin,Fix ruuner.py to handle errors,Signed-off-by: Dmitry Surnin <dmitry.surnin@dsr-company.com>,[],1,2017-12-11 08:32:04,2017-12-11 08:57:58,2017-12-11 08:57:58,True,2017-12-11 08:57:58,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/115,https://github.com/hyperledger/indy-anoncreds/pull/115,andkononykhin,[INDY-963] switched ci dockers to docker hub completely,Signed-off-by: Andrey Kononykhin <andkononykhin@gmail.com>,[],2,2017-11-30 13:02:30,2017-11-30 13:59:22,2017-11-30 14:49:50,True,2017-11-30 13:59:22,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/114,https://github.com/hyperledger/indy-anoncreds/pull/114,andkononykhin,Remove unnecessary comment,Signed-off-by: Andrey Kononykhin <andkononykhin@gmail.com>,[],1,2017-11-23 17:29:57,2017-11-24 08:16:54,2017-11-24 11:05:49,True,2017-11-24 08:16:54,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/113,https://github.com/hyperledger/indy-anoncreds/pull/113,andkononykhin,"[INDY-945, INDY-900, INDY-530] hierarchy of docker images, docker build automation via make, test env setup",Signed-off-by: Andrey Kononykhin <andkononykhin@gmail.com>,[],7,2017-11-22 17:54:55,2017-11-23 14:46:23,2017-11-24 11:05:42,True,2017-11-23 14:46:23,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/112,https://github.com/hyperledger/indy-anoncreds/pull/112,lovesh,Updated diagram,,[],1,2017-11-20 10:27:12,2017-11-20 13:05:09,2017-11-20 13:05:09,True,2017-11-20 13:05:09,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/111,https://github.com/hyperledger/indy-anoncreds/pull/111,andkononykhin,Fix author for commit  aaab5ffe5366aab19d8224ae0c2f7c64adec34a8,"- support for older Docker
    - quotes to support spaces in dir.
    - support multi-branch PL with Docker volume suffixes

Signed-off-by: Benoit Donneaux <benoit.donneaux@digital-me.nl>",[],1,2017-11-16 14:24:48,2017-11-16 14:30:20,2017-11-16 14:30:28,False,,,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/110,https://github.com/hyperledger/indy-anoncreds/pull/110,dsurnin,Rc 17.23 39,,[],9,2017-11-16 12:11:40,2017-11-16 14:45:24,2017-11-16 14:45:24,True,2017-11-16 14:45:24,andkononykhin,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/109,https://github.com/hyperledger/indy-anoncreds/pull/109,ckochenower,Recognize Amazon Linux AMIs as a derivative of RHEL/CENTOS,,[],1,2017-10-26 20:14:56,2018-04-11 13:36:31,2018-04-11 13:36:31,False,,,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/108,https://github.com/hyperledger/indy-anoncreds/pull/108,dsurnin,Rc 1.0.39,,[],8,2017-10-25 12:34:56,2017-10-25 14:13:17,2017-10-25 14:13:17,False,,,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/107,https://github.com/hyperledger/indy-anoncreds/pull/107,andkononykhin,timeout for test stages in ci scripts,,[],5,2017-10-25 07:10:48,2017-10-25 10:21:35,2017-10-25 10:21:35,True,2017-10-25 10:21:35,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/106,https://github.com/hyperledger/indy-anoncreds/pull/106,andkononykhin,fixed labels routine,Signed-off-by: Andrey Kononykhin <andkononykhin@gmail.com>,[],1,2017-10-24 09:38:26,2017-10-24 11:03:19,2017-10-25 07:00:13,True,2017-10-24 11:03:18,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/105,https://github.com/hyperledger/indy-anoncreds/pull/105,TechWritingWhiz,README_WikiLink Adds a link to the Hyperledger Wiki-Indy page,"Adds a link to the Hyperledger Wiki-Indy page within the README.md file
in an effort to consolidate and encourage the wiki page to be the
main ""hub"" starting point for the Indy documentation.

Signed-off-by: TechWritingWhiz <techwritingwhiz@gmail.com>",[],1,2017-10-16 22:15:32,2017-10-17 07:57:21,2017-10-17 07:57:21,True,2017-10-17 07:57:21,ashcherbakov,unknown,,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/104,https://github.com/hyperledger/indy-anoncreds/pull/104,spivachuk,Dummy change 2,,[],18,2017-10-13 14:50:29,2017-10-25 08:16:54,2017-10-25 08:16:54,False,,,blocked,True,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/103,https://github.com/hyperledger/indy-anoncreds/pull/103,spivachuk,Dummy change,,[],15,2017-10-13 13:42:29,2017-10-13 14:48:31,2017-10-13 14:48:31,False,,,blocked,True,closed
indy-anoncreds,https://api.github.com/repos/hyperledger/indy-anoncreds/pulls/102,https://github.com/hyperledger/indy-anoncreds/pull/102,dsurnin,[WIP] Add blank line to test ci,Signed-off-by: Dmitry Surnin <dmitry.surnin@dsr-company.com>,[],12,2017-10-12 08:10:33,2017-10-25 08:16:33,2017-10-25 08:16:33,False,,,blocked,True,closed
