name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
indy-crypto,cam-parra,https://github.com/hyperledger/indy-crypto/pull/157,https://api.github.com/repos/hyperledger/indy-crypto/issues/157,update master with RC,Signed-off-by: Cam Parra <caeparra@gmail.com>,open,True,2019-03-25 12:49:10,2019-03-25 12:49:10
indy-crypto,lovesh,https://github.com/hyperledger/indy-crypto/pull/156,https://api.github.com/repos/hyperledger/indy-crypto/issues/156, benchmark cks revocation with on demand issuance,,open,True,2019-02-18 13:27:13,2019-02-18 13:47:31
indy-crypto,lovesh,https://github.com/hyperledger/indy-crypto/pull/155,https://api.github.com/repos/hyperledger/indy-crypto/issues/155,fix documentation and variable names,Signed-off-by: lovesh harchandani <lovesh.bond@gmail.com>,open,True,2019-02-18 09:50:40,2019-02-18 14:56:46
indy-crypto,andkononykhin,https://github.com/hyperledger/indy-crypto/pull/154,https://api.github.com/repos/hyperledger/indy-crypto/issues/154,CD pipeline improvement,Makes cd pipeline more configurable,closed,True,2019-02-05 08:46:18,2019-02-08 11:09:20
indy-crypto,andkononykhin,https://github.com/hyperledger/indy-crypto/pull/153,https://api.github.com/repos/hyperledger/indy-crypto/issues/153,Fixes fpm installation in ci docker,,closed,True,2019-01-31 08:55:42,2019-02-05 08:16:29
indy-crypto,andkononykhin,https://github.com/hyperledger/indy-crypto/pull/152,https://api.github.com/repos/hyperledger/indy-crypto/issues/152,Fixes fpm installation in ci docker,,closed,True,2019-01-30 14:00:24,2019-02-05 08:16:34
indy-crypto,Artemkaaas,https://github.com/hyperledger/indy-crypto/pull/151,https://api.github.com/repos/hyperledger/indy-crypto/issues/151,Enhancement of error handling ,"IS-1145
1. Migrated to failure crate.
2. Added indy_crypto_get_current_error(error_json_p) method that returns description and backtrace for last error.",closed,True,2019-01-20 08:18:34,2019-01-21 12:40:05
indy-crypto,Artemkaaas,https://github.com/hyperledger/indy-crypto/pull/150,https://api.github.com/repos/hyperledger/indy-crypto/issues/150,Corrected RC windows artifact building,Signed-off-by: artem.ivanov <artem.ivanov@dsr-company.com>,closed,True,2019-01-20 08:12:43,2019-01-21 09:18:55
indy-crypto,andkononykhin,https://github.com/hyperledger/indy-crypto/pull/149,https://api.github.com/repos/hyperledger/indy-crypto/issues/149,Improves rust setup routine for windows,,closed,True,2019-01-18 14:48:29,2019-01-21 15:01:24
indy-crypto,andkononykhin,https://github.com/hyperledger/indy-crypto/pull/148,https://api.github.com/repos/hyperledger/indy-crypto/issues/148,[DO NOT MERGE] ci testing,,closed,True,2019-01-17 16:12:10,2019-02-15 09:38:52
