name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/157,https://github.com/hyperledger/indy-crypto/pull/157,cam-parra,update master with RC,Signed-off-by: Cam Parra <caeparra@gmail.com>,[],55,2019-03-25 12:49:10,,2019-03-25 12:49:10,False,,,dirty,False,open
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/156,https://github.com/hyperledger/indy-crypto/pull/156,lovesh, benchmark cks revocation with on demand issuance,,[],6,2019-02-18 13:27:13,,2019-02-18 13:47:31,False,,,unstable,True,open
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/155,https://github.com/hyperledger/indy-crypto/pull/155,lovesh,fix documentation and variable names,Signed-off-by: lovesh harchandani <lovesh.bond@gmail.com>,[],1,2019-02-18 09:50:40,,2019-02-18 14:56:46,False,,,clean,True,open
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/154,https://github.com/hyperledger/indy-crypto/pull/154,andkononykhin,CD pipeline improvement,Makes cd pipeline more configurable,[],5,2019-02-05 08:46:18,2019-02-08 09:57:20,2019-02-08 11:09:20,True,2019-02-08 09:57:20,ashcherbakov,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/153,https://github.com/hyperledger/indy-crypto/pull/153,andkononykhin,Fixes fpm installation in ci docker,,[],1,2019-01-31 08:55:42,2019-02-01 09:51:57,2019-02-05 08:16:29,True,2019-02-01 09:51:57,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/152,https://github.com/hyperledger/indy-crypto/pull/152,andkononykhin,Fixes fpm installation in ci docker,,[],2,2019-01-30 14:00:24,2019-02-01 12:08:16,2019-02-05 08:16:34,True,2019-02-01 12:08:16,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/151,https://github.com/hyperledger/indy-crypto/pull/151,Artemkaaas,Enhancement of error handling ,"IS-1145
1. Migrated to failure crate.
2. Added indy_crypto_get_current_error(error_json_p) method that returns description and backtrace for last error.",[],7,2019-01-20 08:18:34,2019-01-21 12:40:05,2019-01-21 12:40:05,True,2019-01-21 12:40:05,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/150,https://github.com/hyperledger/indy-crypto/pull/150,Artemkaaas,Corrected RC windows artifact building,Signed-off-by: artem.ivanov <artem.ivanov@dsr-company.com>,[],2,2019-01-20 08:12:43,2019-01-21 09:18:55,2019-01-21 09:18:55,True,2019-01-21 09:18:55,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/149,https://github.com/hyperledger/indy-crypto/pull/149,andkononykhin,Improves rust setup routine for windows,,[],2,2019-01-18 14:48:29,2019-01-21 15:01:24,2019-01-21 15:01:24,True,2019-01-21 15:01:24,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/148,https://github.com/hyperledger/indy-crypto/pull/148,andkononykhin,[DO NOT MERGE] ci testing,,[],4,2019-01-17 16:12:10,2019-02-15 09:38:52,2019-02-15 09:38:52,False,,,clean,True,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/147,https://github.com/hyperledger/indy-crypto/pull/147,KitHat,IS-1130 Fix in BN.clone method to keep sign after cloning,Signed-off-by: Nikita Khateev <nikita.khateev@dsr-corporation.com>,[],6,2019-01-16 08:02:36,2019-01-18 13:49:41,2019-01-18 13:49:41,True,2019-01-18 13:49:41,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/146,https://github.com/hyperledger/indy-crypto/pull/146,andkononykhin,Improves rust setup routine for windows,Signed-off-by: Andrey Kononykhin <andkononykhin@gmail.com>,[],1,2018-12-26 14:35:22,2018-12-26 14:38:52,2018-12-26 15:03:18,True,2018-12-26 14:38:52,vimmerru,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/145,https://github.com/hyperledger/indy-crypto/pull/145,KitHat, Push python wrapper version,,[],2,2018-12-18 08:30:15,2018-12-18 08:40:08,2018-12-18 08:40:08,True,2018-12-18 08:40:08,andkononykhin,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/144,https://github.com/hyperledger/indy-crypto/pull/144,KitHat,Added cargo build to CD pipeline,Signed-off-by: Nikita Khateev <nikita.khateev@dsr-corporation.com>,[],3,2018-12-17 15:11:33,2018-12-17 16:24:04,2018-12-17 16:24:04,True,2018-12-17 16:24:04,andkononykhin,unknown,,closed
indy-crypto,https://api.github.com/repos/hyperledger/indy-crypto/pulls/143,https://github.com/hyperledger/indy-crypto/pull/143,KitHat,RC 0.5.0,,[],7,2018-12-17 10:29:08,2018-12-17 14:31:29,2018-12-17 14:31:29,True,2018-12-17 14:31:29,vimmerru,unknown,,closed
