name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/111,https://github.com/hyperledger/indy-hipe/pull/111,dbluhm,Draft HIPE: Testing messages,This HIPE describes messages used for testing.,[],4,2019-04-02 15:36:47,,2019-04-02 20:40:24,False,,,clean,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/110,https://github.com/hyperledger/indy-hipe/pull/110,dhh1128,propose HIPE: Introductions,Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>,[],9,2019-03-29 08:51:46,,2019-03-29 16:26:29,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/109,https://github.com/hyperledger/indy-hipe/pull/109,brentzundel,Anoncreds protocol,This HIPE is a description of the cryptography used in the anoncreds protocol as it is currently implemented. ,[],54,2019-03-26 01:51:08,,2019-04-01 16:37:11,False,,,clean,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/108,https://github.com/hyperledger/indy-hipe/pull/108,dhh1128,propose design: DKMS v4,"Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>

Contains a 4th-generation summary of findings on decentralized key management.",[],32,2019-03-22 10:18:51,2019-03-29 22:11:02,2019-03-29 22:11:02,True,2019-03-29 22:11:02,dhh1128,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/107,https://github.com/hyperledger/indy-hipe/pull/107,dhh1128,Normalize 'did' and 'did_doc' field names in creq/cresp,Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>,[],1,2019-03-22 03:37:22,2019-03-22 03:38:11,2019-03-22 03:47:30,True,2019-03-22 03:38:11,dhh1128,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/106,https://github.com/hyperledger/indy-hipe/pull/106,dhh1128,non-HIPE: update negotiation diagram to use 'proposal',Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>,[],1,2019-03-21 16:35:20,2019-03-21 18:00:12,2019-03-21 18:00:13,True,2019-03-21 18:00:12,TelegramSam,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/105,https://github.com/hyperledger/indy-hipe/pull/105,Artemkaaas,"Cross-Domain Messaging: Changed format of ""msg"" field.","Motivation:
Libindy `pack` function in the current implementation builds JSON object and then does a conversion to bytes.
- Setting bytes as is to A2A `msg` field is super inefficient because of the following message JSON serialization.
- Applying additional base64 wrapping increase message size also

Solution: There the next possible options:
- converting the object back from bytes (as I suggested in PR) before setting as a value
- converting bytes to string some simple way
- changing of `pack` function to return JSON string instead of conversion to bytes.

Signed-off-by: artem.ivanov <artem.ivanov@dsr-company.com>",['dhh1128'],3,2019-03-19 14:57:27,,2019-04-03 21:27:50,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/104,https://github.com/hyperledger/indy-hipe/pull/104,dhh1128,propose HIPE: connection management protocols,Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>,[],18,2019-03-17 03:59:59,,2019-04-03 21:36:14,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/103,https://github.com/hyperledger/indy-hipe/pull/103,ckochenower,Remove redundant text,Signed-off-by: Corin Kochenower <corin.kochenower@evernym.com>,[],2,2019-03-14 15:56:03,2019-03-14 21:18:04,2019-03-14 21:18:04,True,2019-03-14 21:18:04,TelegramSam,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/102,https://github.com/hyperledger/indy-hipe/pull/102,lovesh,minor fixes to wire-message-format HIPE,Signed-off-by: lovesh harchandani <lovesh.bond@gmail.com>,[],2,2019-03-14 13:07:21,2019-03-14 21:17:07,2019-03-14 23:06:09,True,2019-03-14 21:17:07,TelegramSam,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/101,https://github.com/hyperledger/indy-hipe/pull/101,TelegramSam,Assign HIPE Numbers,"Signed-off-by: Sam Curren <telegramsam@gmail.com>
",[],1,2019-03-14 04:31:21,2019-03-14 04:32:11,2019-03-27 16:54:26,True,2019-03-14 04:32:11,TelegramSam,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/100,https://github.com/hyperledger/indy-hipe/pull/100,dhh1128,FCP HIPE: repudiation explainer,Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>,[],3,2019-03-08 18:36:19,,2019-03-18 15:35:27,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/99,https://github.com/hyperledger/indy-hipe/pull/99,dhh1128,tweak a2a-->DIDComm,Signed-off-by: Daniel Hardman <daniel.hardman@gmail.com>,[],4,2019-03-05 18:17:48,,2019-03-29 18:46:43,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/98,https://github.com/hyperledger/indy-hipe/pull/98,dhh1128,propose HIPE: DIDComm explainer,,[],2,2019-03-05 17:51:40,,2019-03-29 18:36:25,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/97,https://github.com/hyperledger/indy-hipe/pull/97,tbca-ericcheng,Update Wallet Broken Links,"The broken link was missing an 's' in docs in the two following links:
https://github.com/hyperledger/indy-sdk/tree/master/docs/design/009-wallet-export-import
https://github.com/hyperledger/indy-sdk/tree/master/docs/design/003-wallet-storage",[],1,2019-02-28 23:56:27,2019-03-03 04:28:09,2019-03-03 04:28:09,True,2019-03-03 04:28:09,dhh1128,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/96,https://github.com/hyperledger/indy-hipe/pull/96,tplooker,DRAFT HIPE: Oauth ephemeral challenge protocol integration,"This is a very early draft of how the OAuth integration is intended to work with the ephemeral challenge protocol, there is much still to discuss, such as the `ephemeral challenge message` being signed inside a JWS structure.",[],9,2019-02-27 23:48:56,,2019-04-03 04:15:14,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/95,https://github.com/hyperledger/indy-hipe/pull/95,tplooker,DRAFT HIPE: Ephemeral challenge protocol,"Initial draft HIPE, one of a series up and coming.",[],5,2019-02-26 22:57:47,,2019-04-03 03:14:11,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/94,https://github.com/hyperledger/indy-hipe/pull/94,TelegramSam,Propose HIPE: Transports,"Signed-off-by: Sam Curren <telegramsam@gmail.com>
",[],3,2019-02-26 16:00:50,,2019-03-21 23:25:40,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/93,https://github.com/hyperledger/indy-hipe/pull/93,kdenhartog,DRAFT: HIPE process changes,"Signed-off-by: Kyle Den Hartog <kdenhar@gmail.com>

[Rendered text](https://github.com/kdenhartog/indy-hipe/tree/process-update)",[],7,2019-02-18 23:57:20,2019-03-22 02:58:05,2019-03-22 02:58:05,False,,,dirty,False,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/92,https://github.com/hyperledger/indy-hipe/pull/92,tplooker,propose HIPE: Revised did doc conventions,"Initial update to the diddoc conventions for routing via verkey.

I have shrunk this document to be more about only the did doc conventions. This creates less context when reading it on its own, but my preference would be for downstream documentation to point to this for greater context.

Signed-off-by: Tobias Looker <tplooker@gmail.com>",[],5,2019-02-13 05:54:27,,2019-02-27 00:57:51,False,,,behind,True,open
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/91,https://github.com/hyperledger/indy-hipe/pull/91,TelegramSam,Added Sam as Maintainer,"Signed-off-by: Sam Curren <telegramsam@gmail.com>
",[],1,2019-02-12 22:59:46,2019-02-12 23:52:28,2019-03-27 16:57:25,True,2019-02-12 23:52:28,dhh1128,unknown,,closed
indy-hipe,https://api.github.com/repos/hyperledger/indy-hipe/pulls/90,https://github.com/hyperledger/indy-hipe/pull/90,TelegramSam,fixed accepted numbers,Signed-off-by: Sam Curren <telegramsam@gmail.com>,[],1,2019-02-11 16:28:46,2019-02-11 16:29:07,2019-03-27 16:56:24,True,2019-02-11 16:29:07,TelegramSam,unknown,,closed
