name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
iroha-android,kenkan921,https://github.com/hyperledger/iroha-android/issues/147,https://api.github.com/repos/hyperledger/iroha-android/issues/147,"Transaction meet ""CommandService Stateless invalid tx"" warining message","Hi, I am new in both android app developing and hyperledger iroha. I am now designing an app with hyperledger iroha. When I was sending transaction request through the app to iroha server, the server-side showed below message: 
`[2018-11-30 05:46:16.131450474][th:118][warning] CommandService Stateless invalid tx: Signature: [[Wrong signature [073920b66487c3e6196db291cba7815236c24f9629a82a785bf9c852a79befbc13382e2939797b4683d68e88cf0adb2c35908b02ef41c5da67cfac02649b0505;313a07e6384776ed95447710d15e59148473ccfc052a681317a72a69f2a49910] ]]
Transaction: [[Transaction should contain at least one command Wrongly formed creator_account_id, passed value: ''. Field should match regex '[a-z_0-9]{1,32}\@([a-zA-Z]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)*[a-zA-Z]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?' bad timestamp: too old, timestamp: 0, now: 1543556776120 Quorum should be within range (0, 128] ]]
, hash: 708713afdb215a7fdd1b3246ec662a3d992648dc262ca1d5360be94b6d75313b
`

The error returned from my app is ""Error: java.lang.RuntimeException: Transaction failed "" and without any other information. 

The code transaction part in my app is simply copied from iroha-android-sample, i.e. 

    protected  Completable TransferAsset(String[] data){
        return Completable.create(emitter -> {
           long currentTime = System.currentTimeMillis();
           Keypair userKeys = crypto.convertFromExisting(PUB_KEY, PRIV_KEY);
           String username = ""admin"";

           UnsignedTx sendAssetTx = txBuilder.creatorAccountId(username + ""@"" + DOMAIN_ID)
                   .createdTime(BigInteger.valueOf(currentTime))
                   .transferAsset(username + ""@"" + DOMAIN_ID,
                           data[0] + ""@"" + DOMAIN_ID, ""hkd#test"", ""initail"", data[1])
                   .build();

           protoTxHelper = new ModelProtoTransaction(sendAssetTx);
           ByteVector txblob = protoTxHelper.signAndAddSignature(userKeys).finish().blob();
           byte[] bsq = toByteArray(txblob);
           TransactionOuterClass.Transaction protoTx = null;

           try{
               protoTx = TransactionOuterClass.Transaction.parseFrom(bsq);
           }catch (InvalidProtocolBufferException e){
               emitter.onError(e);
           }

            CommandServiceGrpc.CommandServiceBlockingStub stub = CommandServiceGrpc.newBlockingStub(channel)
                    .withDeadlineAfter(CONNECTION_TIMEOUT_SECONDS, TimeUnit.SECONDS);

           stub.torii(protoTx);

           if (!isTransactionSuccessful(stub, sendAssetTx)){
               emitter.onError(new RuntimeException(""Transaction failed""));
           } else {
               emitter.onComplete();
           }

        });
    }

I found same issue was reported by truongnmt but no one answered. Can anyone tell what is this issue and teach me how to solve it?",open,False,2018-11-30 06:01:15,2018-11-30 06:01:15
iroha-android,AnkitDroidGit,https://github.com/hyperledger/iroha-android/issues/146,https://api.github.com/repos/hyperledger/iroha-android/issues/146,Not able to clone this repo on my mac,"error: RPC failed; curl 56 LibreSSL SSL_read: SSL_ERROR_SYSCALL, errno 54

git clone https://github.com/hyperledger/iroha-android.git
Cloning into 'iroha-android'...
remote: Enumerating objects: 6320, done.
error: RPC failed; curl 56 LibreSSL SSL_read: SSL_ERROR_SYSCALL, errno 54
fatal: The remote end hung up unexpectedly
fatal: early EOF
fatal: index-pack failed
",open,False,2018-11-01 08:39:13,2018-11-01 08:39:13
iroha-android,adonnini,https://github.com/hyperledger/iroha-android/issues/145,https://api.github.com/repos/hyperledger/iroha-android/issues/145,iroha-android sample app - missing module?,"Hi,

As I am trying to understand how the sample iroha-android app works I have come across the following:

in SendFragment.java there is the following import statement:

import jp.co.soramitsu.iroha.android.sample.databinding.FragmentSendBinding;

I cannot find FragementSendBinding

Where is it located?

Thanks for your help,

Alex",open,False,2018-10-23 12:05:47,2018-10-24 17:09:14
iroha-android,adonnini,https://github.com/hyperledger/iroha-android/issues/144,https://api.github.com/repos/hyperledger/iroha-android/issues/144,Asset payload,"Hi I am new to Iroha hyperledger. 

In my android app integrated with Bigchaindb blockchain, I can include a number of different data structures as asset payload

What are the limitations regarding asset payload in the Iroha blockchain?

I looked at the Iroha-androd sample application. I could not find an example of asset creation and transaction creation and transmission. Could you please point me in the right direction?

Is the Iroha-android sample application broken?

Thanks,

Alex Donnini",open,False,2018-10-22 19:19:09,2018-10-24 13:17:54
iroha-android,dmitriyTarasov,https://github.com/hyperledger/iroha-android/issues/143,https://api.github.com/repos/hyperledger/iroha-android/issues/143,Sample app crashed on ZTE Blade v7 lite,"Hello,
I tried run app on ZTE Blade v7 Lite and got crash on native library initialization, on emulator it works fine.

Log:
10-13 12:47:13.379 8359-8359/jp.co.soramitsu.iroha.android.sample E/AndroidRuntime: FATAL EXCEPTION: main
    Process: jp.co.soramitsu.iroha.android.sample, PID: 8359
    java.lang.UnsatisfiedLinkError: dlopen failed: cannot locate symbol ""__aeabi_atexit"" referenced by ""/data/app/jp.co.soramitsu.iroha.android.sample-1/lib/arm/libirohajava.so""...
        at java.lang.Runtime.loadLibrary(Runtime.java:372)
        at java.lang.System.loadLibrary(System.java:1076)
        at jp.co.soramitsu.iroha.android.sample.SampleApplication.<clinit>(SampleApplication.java:17)
        at java.lang.Class.newInstance(Native Method)
        at android.app.Instrumentation.newApplication(Instrumentation.java:1001)
        at android.app.Instrumentation.newApplication(Instrumentation.java:986)
        at android.app.LoadedApk.makeApplication(LoadedApk.java:582)
        at android.app.ActivityThread.handleBindApplication(ActivityThread.java:4932)
        at android.app.ActivityThread.access$1600(ActivityThread.java:175)
        at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1549)
        at android.os.Handler.dispatchMessage(Handler.java:111)
        at android.os.Looper.loop(Looper.java:207)
        at android.app.ActivityThread.main(ActivityThread.java:5728)
        at java.lang.reflect.Method.invoke(Native Method)
        at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:789)
        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:679)",open,False,2018-10-13 09:57:43,2018-10-13 14:03:35
iroha-android,Bo3o2S,https://github.com/hyperledger/iroha-android/issues/142,https://api.github.com/repos/hyperledger/iroha-android/issues/142,app crash in android api 16,"i'm trying to control iroha in Android POS device. this device support android 4.4.4 from api 16 to 19. but i tested sample(develop version) in android studio, api level 16, it crashed when i started app. how can i apply iroha to android api level 16?",open,False,2018-08-21 02:22:01,2018-08-29 04:24:53
iroha-android,truongnmt,https://github.com/hyperledger/iroha-android/issues/141,https://api.github.com/repos/hyperledger/iroha-android/issues/141,"CommandService Stateless invalid tx - Wrongly formed creator_account_id, passed value: ''","I'm trying to create an Android app with Hyperledger Iroha. So first user will type `Username` and `Account details` to register an account. 

[![enter image description here][1]][1]

Here is my [IrohaConnection.kt](https://github.com/truongnmt/iroha-glowing-octo-carnival/blob/master/app/src/main/java/com/example/nguyenmanhtruong/irohatx/IrohaConnection.kt) file to form a request to send to Iroha server. Basically, I just copy and port from Java to Kotlin from this [iroha-android-sample repo](https://github.com/hyperledger/iroha-android/blob/master/iroha-android-sample/src/main/java/jp/co/soramitsu/iroha/android/sample/interactor/CreateAccountInteractor.java). 

This is the message I get from Iroha console:

    [2018-08-08 01:57:17.221326506][th:35][warning] CommandService Stateless invalid tx: Transaction: [[Transaction should contain at least one command Wrongly formed creator_account_id, passed value: ''. Field should match regex '[a-z_0-9]{1,32}\@([a-zA-Z]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)*[a-zA-Z]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?' bad timestamp: too old, timestamp: 0, now: 1533693437216 Quorum should be within range (0, 128] ]]
    , hash: 2526b8c49021a34172deb7255509e34b45822c07c822808176498bec1f0cb1fe
    [2018-08-08 01:57:17.270612531][th:38][warning] CommandService Stateless invalid tx: Transaction: [[Transaction should contain at least one command Wrongly formed creator_account_id, passed value: ''. Field should match regex '[a-z_0-9]{1,32}\@([a-zA-Z]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)*[a-zA-Z]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?' bad timestamp: too old, timestamp: 0, now: 1533693437270 Quorum should be within range (0, 128] ]]
    , hash: 2526b8c49021a34172deb7255509e34b45822c07c822808176498bec1f0cb1fe
    [2018-08-08 01:57:18.274183120][th:35][warning] CommandService StatusStream request processing timeout, hash: 7e184190581756a5d7192e9491b4f9bf9a33f077ecb0044782a5057aa8212eea

It's said that:

* CommandService Stateless invalid tx
* Transaction should contain at least one command
* Wrongly formed creator_account_id, passed value: ''
* bad timestamp: too old, timestamp: 0, now: 1533693437270
* Quorum should be within range (0, 128] ]]

I'm not really understand how Iroha receive variables but when debug I see:

[![enter image description here][2]][2]

`createdTime_` , `creatorAccountId_`, `quorum_` these 3 vars has value which is kind of what Iroha ask for, but somehow the server not get it.

Another weird things is, on this sample Iroha-android repo: [build.gradle](https://github.com/hyperledger/iroha-android/blob/master/iroha-android-sample/build.gradle#L22):

    release {
            proguardFiles getDefaultProguardFile('proguard-android.txt'), 'proguard-rules.pro'
            resValue ""string"", ""iroha_url"", ""199.247.26.56""
            resValue ""integer"", ""iroha_port"", ""50051""
        }
        debug {
            resValue ""string"", ""iroha_url"", ""199.247.26.56""
            resValue ""integer"", ""iroha_port"", ""50051""
        }

You see those IP? When using this default IP `199.247.26.56`, the app work, but when I change to my local IP, which is the same PC - my own Iroha deployment, it's not. I think that on this IP `199.247.26.56`, you guys have deployed Iroha correctly. 

So on that though, I have deploy Iroha following these:

* https://iroha.readthedocs.io/en/latest/getting_started/index.html#starting-iroha-node
* https://iroha.readthedocs.io/en/latest/guides/deployment.html#docker
* Build from source: https://hyperledger.github.io/iroha-api/#docker

But still the same error:

* CommandService Stateless invalid tx
* Transaction should contain at least one command
* Wrongly formed creator_account_id, passed value: ''
* bad timestamp: too old, timestamp: 0, now: 1533693437270
* Quorum should be within range (0, 128] ]]

  [1]: https://i.stack.imgur.com/ysyjw.png
  [2]: https://i.stack.imgur.com/BycD0.png",open,False,2018-08-08 02:11:42,2018-08-30 01:28:51
iroha-android,truongnmt,https://github.com/hyperledger/iroha-android/issues/140,https://api.github.com/repos/hyperledger/iroha-android/issues/140,*.proto files structure different with README - No implementation found for long jp.co.soramitsu.iroha.android.irohaJNI.new_ModelCrypto(),"I'm implement Iroha into my Android project with the first way:
```kotlin
implementation 'jp.co.soramitsu.iroha.android:iroha-android-bindings:+'
```
But where to copy `*.proto` files from? From this repo: iroha-android-sample/src/main/proto ?

> Copy the latest version of *.proto files from develop branch of Iroha [repository] into app/src/main/proto/ folder inside your project in Android Studio.

Also the *.proto files structure in README is different from `iroha-android-sample/src/main/proto` structure.

Also on include `*.proto` from `iroha-android-sample/src/main/proto` I got this error:
```
E/htruong.irohat: No implementation found for long jp.co.soramitsu.iroha.android.irohaJNI.new_ModelCrypto() (tried Java_jp_co_soramitsu_iroha_android_irohaJNI_new_1ModelCrypto and Java_jp_co_soramitsu_iroha_android_irohaJNI_new_1ModelCrypto__)
D/AndroidRuntime: Shutting down VM
E/AndroidRuntime: FATAL EXCEPTION: main
                  Process: com.example.nguyenmanhtruong.irohatx, PID: 3476
                  java.lang.UnsatisfiedLinkError: No implementation found for long jp.co.soramitsu.iroha.android.irohaJNI.new_ModelCrypto() (tried Java_jp_co_soramitsu_iroha_android_irohaJNI_new_1ModelCrypto and Java_jp_co_soramitsu_iroha_android_irohaJNI_new_1ModelCrypto__)
                      at jp.co.soramitsu.iroha.android.irohaJNI.new_ModelCrypto(Native Method)
                      at jp.co.soramitsu.iroha.android.ModelCrypto.<init>(ModelCrypto.java:51)
                      at com.example.nguyenmanhtruong.irohatx.IrohaConnection.<init>(IrohaConnection.kt:16)
                      at com.example.nguyenmanhtruong.irohatx.MainActivity.onCreate(MainActivity.kt:13)
                      at android.app.Activity.performCreate(Activity.java:7136)
                      at android.app.Activity.performCreate(Activity.java:7127)
                      at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1271)
                      at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2893)
                      at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3048)
                      at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:78)
                      at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:108)
                      at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:68)
                      at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1808)
                      at android.os.Handler.dispatchMessage(Handler.java:106)
                      at android.os.Looper.loop(Looper.java:193)
                      at android.app.ActivityThread.main(ActivityThread.java:6669)
                      at java.lang.reflect.Method.invoke(Native Method)
                      at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
                      at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:858)
```",closed,False,2018-08-07 08:59:14,2018-08-08 01:56:35
iroha-android,TranBaVinhSon,https://github.com/hyperledger/iroha-android/issues/139,https://api.github.com/repos/hyperledger/iroha-android/issues/139,[Help] Where is iroha-android-bindings folder come from ?,Where is iroha-android-bindings folder come from ?,open,False,2018-07-29 18:16:37,2018-10-23 12:17:53
iroha-android,BulatMukhutdinov,https://github.com/hyperledger/iroha-android/pull/138,https://api.github.com/repos/hyperledger/iroha-android/issues/138,Develop,Merge stable develop to master,closed,True,2018-06-13 09:23:16,2018-06-13 09:23:25
