name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/138,https://github.com/hyperledger/iroha-android/pull/138,BulatMukhutdinov,Develop,Merge stable develop to master,[],2,2018-06-13 09:23:16,2018-06-13 09:23:25,2018-06-13 09:23:25,True,2018-06-13 09:23:24,BulatMukhutdinov,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/137,https://github.com/hyperledger/iroha-android/pull/137,BulatMukhutdinov,Develop,Merge develop to master,[],79,2018-06-08 15:45:51,2018-06-09 09:25:43,2018-06-09 09:25:44,True,2018-06-09 09:25:43,bakhtin,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/136,https://github.com/hyperledger/iroha-android/pull/136,BulatMukhutdinov,Bulat mukhutdinov patch 1,,[],5,2018-05-24 08:54:11,2018-05-24 08:55:39,2018-05-24 08:55:47,False,,,dirty,False,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/135,https://github.com/hyperledger/iroha-android/pull/135,mrZizik,logo images fix,Signed-off-by: mrZizik <mrfreezzzer@mail.ru>,[],1,2018-05-13 23:03:48,2018-05-13 23:03:55,2018-05-13 23:03:58,True,2018-05-13 23:03:55,mrZizik,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/134,https://github.com/hyperledger/iroha-android/pull/134,BulatMukhutdinov,Registration tests,Ui and integration tests are added for registration flow,[],3,2018-05-11 18:47:11,2018-05-13 17:56:33,2018-05-13 17:56:36,True,2018-05-13 17:56:33,BulatMukhutdinov,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/133,https://github.com/hyperledger/iroha-android/pull/133,mrZizik,getting iroha-android master to iroha master state,Signed-off-by: mrZizik <mrfreezzzer@mail.ru>,[],1,2018-05-10 17:35:38,2018-05-10 17:35:44,2018-05-10 17:35:49,True,2018-05-10 17:35:44,mrZizik,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/132,https://github.com/hyperledger/iroha-android/pull/132,mrZizik,getting iroha-android master to iroha master state,Signed-off-by: mrZizik <mrfreezzzer@mail.ru>,[],1,2018-05-10 17:33:09,2018-05-10 17:33:30,2018-05-10 17:33:40,True,2018-05-10 17:33:30,mrZizik,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/131,https://github.com/hyperledger/iroha-android/pull/131,BulatMukhutdinov,Update README.md,,[],1,2018-05-08 07:10:48,2018-05-08 07:11:02,2018-05-11 18:42:40,False,,,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/130,https://github.com/hyperledger/iroha-android/pull/130,mrZizik,fixed crash when server is not reached,Signed-off-by: mrZizik <mrfreezzzer@mail.ru>,[],15,2018-05-07 07:55:53,2018-05-13 17:55:26,2018-05-13 17:56:58,True,2018-05-13 17:55:26,BulatMukhutdinov,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/128,https://github.com/hyperledger/iroha-android/pull/128,mrZizik,bug_fixes_2,Signed-off-by: mrZizik <mrfreezzzer@mail.ru>,[],15,2018-04-25 13:37:38,2018-04-30 09:15:08,2018-04-30 15:21:50,True,2018-04-30 09:15:08,bakhtin,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/127,https://github.com/hyperledger/iroha-android/pull/127,mrZizik,qr scanner fix,Signed-off-by: mrZizik <mrfreezzzer@mail.ru>,[],50,2018-04-24 22:18:08,2018-04-25 13:37:50,2018-04-25 13:38:01,False,,,dirty,False,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/126,https://github.com/hyperledger/iroha-android/pull/126,BulatMukhutdinov,update readme,Signed-off-by: bulatmukhutdinov <Bulatmm@yandex.ru>,[],1,2018-04-24 13:54:33,2018-04-24 17:17:04,2018-04-24 18:51:08,True,2018-04-24 17:17:04,bakhtin,unknown,,closed
iroha-android,https://api.github.com/repos/hyperledger/iroha-android/pulls/125,https://github.com/hyperledger/iroha-android/pull/125,BulatMukhutdinov,Update README.md,Update README.md,[],1,2018-04-24 08:15:35,2018-04-24 13:55:38,2018-04-24 13:57:47,False,,,unknown,,closed
