name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/91,https://github.com/hyperledger/iroha-ios/pull/91,ERussel,Serialisation factory ,"- serialisation/deserialisation of transactions add
- serialisation of query requests add
- deserialisation of query response add",[],3,2019-03-26 18:40:37,2019-03-26 19:12:23,2019-03-26 19:12:23,True,2019-03-26 19:12:23,ERussel,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/90,https://github.com/hyperledger/iroha-ios/pull/90,ERussel,Serialization factory,"Implementation of serialisation factory which includes:
- serialization/deserialization of transactions;
- serialization of query requests;
- deserialization of query responses;",[],2,2019-03-26 12:49:46,2019-03-26 17:20:33,2019-03-26 17:20:38,True,2019-03-26 17:20:33,ERussel,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/89,https://github.com/hyperledger/iroha-ios/pull/89,ERussel,Error pointers initialization,,[],2,2019-03-05 08:09:26,2019-03-05 08:10:32,2019-03-05 08:10:33,True,2019-03-05 08:10:32,ERussel,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/88,https://github.com/hyperledger/iroha-ios/pull/88,ERussel,Error pointers initialization,"When passing error object by reference it should be initialized as nil

Signed-off-by: Russel <emkil.russel@gmail.com>",[],1,2019-03-05 07:31:51,2019-03-05 07:45:49,2019-03-05 07:45:49,True,2019-03-05 07:45:49,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/87,https://github.com/hyperledger/iroha-ios/pull/87,Stayer,Feature/pipeline,"This PR allows to automate CI for this library:
1. prepare (check libraries, download iroha)
2. geneate Schema using protoc
3. (optional) If there is `master` tree and it was tagged, automatically push cocoa pod to https://cocoapods.org/pods/IrohaCommunication 

```
brew install protobuf c-ares
git clone --depth 1 https://github.com/grpc/grpc/
cd grpc
make grpc_objective_c_plugin
cp bins/opt/grpc_objective_c_plugin /usr/local/bin/protoc-gen-objcgrpc
```",['Stayer'],7,2019-02-22 09:16:43,2019-04-03 06:21:49,2019-04-03 06:21:49,True,2019-04-03 06:21:49,Stayer,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/86,https://github.com/hyperledger/iroha-ios/pull/86,unklayman,Get protobuf encoded transaction data,,[],2,2019-02-11 21:07:20,2019-02-11 21:08:39,2019-02-11 21:08:39,True,2019-02-11 21:08:39,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/85,https://github.com/hyperledger/iroha-ios/pull/85,unklayman,Get protobuf encoded transaction data,,[],1,2019-02-11 20:44:56,2019-02-11 21:06:49,2019-02-11 21:06:49,True,2019-02-11 21:06:49,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/84,https://github.com/hyperledger/iroha-ios/pull/84,ERussel,Develop,- contacts info add readme,[],2,2019-01-24 16:19:53,2019-01-24 16:20:41,2019-01-24 16:20:41,True,2019-01-24 16:20:41,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/83,https://github.com/hyperledger/iroha-ios/pull/83,ERussel,contacts info add to readme,Signed-off-by: Russel <emkil.russel@gmail.com>,[],1,2019-01-24 15:50:07,2019-01-24 16:07:31,2019-01-24 16:07:39,True,2019-01-24 16:07:31,ERussel,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/82,https://github.com/hyperledger/iroha-ios/pull/82,unklayman,Release 3.0.0,,[],2,2019-01-24 14:21:34,2019-01-24 14:21:54,2019-01-24 14:21:54,True,2019-01-24 14:21:54,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/81,https://github.com/hyperledger/iroha-ios/pull/81,unklayman,Release 3.0.0,,[],1,2019-01-24 14:20:21,2019-01-24 14:20:41,2019-01-24 14:20:45,True,2019-01-24 14:20:41,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/80,https://github.com/hyperledger/iroha-ios/pull/80,unklayman,Podspec,,[],2,2019-01-24 13:46:06,2019-01-24 13:46:25,2019-01-24 13:46:25,True,2019-01-24 13:46:25,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/79,https://github.com/hyperledger/iroha-ios/pull/79,unklayman,Podspec,This reverts commit de7fcc164b26fac6a7a2b4b4039a2d25f89b2434.,[],1,2019-01-24 13:45:19,2019-01-24 13:45:42,2019-01-24 13:59:58,True,2019-01-24 13:45:42,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/78,https://github.com/hyperledger/iroha-ios/pull/78,unklayman,New library implementation,,[],6,2019-01-24 12:13:20,2019-01-24 12:16:42,2019-01-24 12:16:42,True,2019-01-24 12:16:42,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/77,https://github.com/hyperledger/iroha-ios/pull/77,unklayman,Rebasing master branch with develop for further develop->master merge,,[],29,2019-01-24 12:06:54,2019-01-24 12:07:53,2019-01-24 12:07:57,True,2019-01-24 12:07:53,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/76,https://github.com/hyperledger/iroha-ios/pull/76,unklayman,New library implementation,,[],4,2019-01-24 11:16:58,2019-01-24 11:28:54,2019-01-24 11:28:54,False,,,dirty,False,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/75,https://github.com/hyperledger/iroha-ios/pull/75,ERussel,New library implementation,"- Full Iroha API support implementation add
- Cocoapods support add",[],3,2019-01-19 12:40:53,2019-01-24 11:12:56,2019-01-24 15:18:56,True,2019-01-24 11:12:56,unklayman,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/73,https://github.com/hyperledger/iroha-ios/pull/73,MukhinAlexey,Change repository link in README.md,Signed-off-by: MukhinAlexey <mukhinalexeym@gmail.com>,[],1,2018-06-16 11:11:24,2018-06-16 11:11:32,2018-06-18 21:52:43,True,2018-06-16 11:11:32,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/72,https://github.com/hyperledger/iroha-ios/pull/72,MukhinAlexey,Fix get asset info command,Signed-off-by: MukhinAlexey <mukhinalexeym@gmail.com>,[],1,2018-06-13 16:44:11,2018-06-13 16:44:34,2018-06-18 21:52:44,True,2018-06-13 16:44:34,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/71,https://github.com/hyperledger/iroha-ios/pull/71,MukhinAlexey,Update transport layer,Signed-off-by: MukhinAlexey <mukhinalexeym@gmail.com>,[],1,2018-06-12 19:55:36,2018-06-12 19:55:48,2018-06-18 21:52:46,True,2018-06-12 19:55:47,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/70,https://github.com/hyperledger/iroha-ios/pull/70,MukhinAlexey,Add use insecure connection flag to GRPC generated service,Signed-off-by: MukhinAlexey <mukhinalexeym@gmail.com>,[],1,2018-06-10 22:37:32,2018-06-10 22:38:03,2018-06-18 21:52:45,True,2018-06-10 22:38:03,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/69,https://github.com/hyperledger/iroha-ios/pull/69,MukhinAlexey,Update dependencies versions and add new generated service,,[],1,2018-06-10 21:54:08,2018-06-10 21:55:20,2018-06-18 21:52:46,True,2018-06-10 21:55:20,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/68,https://github.com/hyperledger/iroha-ios/pull/68,MukhinAlexey,Add ios device compiled c++ libs,,[],1,2018-06-10 13:56:55,2018-06-10 13:57:18,2018-06-10 13:57:18,True,2018-06-10 13:57:18,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/67,https://github.com/hyperledger/iroha-ios/pull/67,MukhinAlexey,Update README.md,Signed-off-by: MukhinAlexey <mukhinalexeym@gmail.com>,[],1,2018-06-10 12:50:35,2018-06-10 12:51:18,2018-06-10 12:51:18,True,2018-06-10 12:51:18,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/66,https://github.com/hyperledger/iroha-ios/pull/66,MukhinAlexey,Update readme.md,,[],1,2018-06-05 22:39:36,2018-06-10 12:34:33,2018-06-10 12:34:33,True,2018-06-10 12:34:33,MukhinAlexey,unknown,,closed
iroha-ios,https://api.github.com/repos/hyperledger/iroha-ios/pulls/64,https://github.com/hyperledger/iroha-ios/pull/64,MukhinAlexey,Fix wrong pointer logic in keypair obj-c,Signed-off-by: MukhinAlexey <mukhinalexeym@gmail.com>,[],1,2018-05-12 20:51:14,2018-05-12 20:51:30,2018-06-05 22:38:21,True,2018-05-12 20:51:30,MukhinAlexey,unknown,,closed
