name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/20,https://github.com/hyperledger/iroha-scala/pull/20,mitsutaka-takeda,(+): Support SubtractAssetQuantity,"# What is this pull request?

Support SubtractAssetQuantity of iroha's CommandService.

# Why do you implement it? Why do we need this pull request?

In order to invoke the iroha's SubtractAssetQuantity command.

# How to use the features provided in the pull request?

Create a command with `Iroha.CommandService.subtractAssetQuantity' method, and send the transaction containing the command.",[],2,2018-02-08 06:49:07,2018-02-10 12:12:33,2018-02-10 12:12:33,True,2018-02-10 12:12:33,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/19,https://github.com/hyperledger/iroha-scala/pull/19,mitsutaka-takeda,Feature/support SubtractAssetQuantity,"# What is this pull request?

Support SubtractAssetQuantity of iroha's CommandService.

# Why do you implement it? Why do we need this pull request?

In order to invoke the iroha's SubtractAssetQuantity command.

# How to use the features provided in the pull request?

Create a command with `Iroha.CommandService.subtractAssetQuantity' method, and send the transaction containing the command.",[],1,2018-02-08 06:36:20,2018-02-08 06:46:47,2018-02-08 06:46:47,False,,,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/18,https://github.com/hyperledger/iroha-scala/pull/18,mitsutaka-takeda,Hotfix/upgrade sbt-pgp,Failed to fetch the old version of sbt-pgp in our build pipeline.,[],28,2018-02-08 06:14:55,2018-02-08 06:21:38,2018-02-08 06:21:38,False,,,behind,True,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/17,https://github.com/hyperledger/iroha-scala/pull/17,cimadai,(+) Update domain validator as RFC1305.,"# What is this pull request?
Add a validator to validate domain name as RFC1305.

# Why do you implement it? Why do we need this pull request?
Old implementation that regex validator was insufficient.
",[],1,2018-02-02 08:59:22,2018-02-02 08:59:33,2018-02-02 08:59:36,True,2018-02-02 08:59:33,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/16,https://github.com/hyperledger/iroha-scala/pull/16,mitsutaka-takeda,(+)Add a learning test for the behavior of tx_counter,"# What is this pull request?

Add a test to learn the behavior of tx_counter. We wanted to make sure we can submit a transaction with the same tx_counter.

# Why do you implement it? Why do we need this pull request?

A test case for checking the behavior of  iroha node when it receives transactions with the same tx_counter.
",[],4,2018-02-02 06:08:48,2018-02-02 08:26:48,2018-02-02 08:26:48,True,2018-02-02 08:26:48,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/15,https://github.com/hyperledger/iroha-scala/pull/15,cimadai,(~) Fix issue with account name validation.,"If account name start with number, the createAccount command will fail.

Signed-off-by: SHIMADA, Daisuke <dice.k1984@gmail.com>",[],1,2018-02-02 03:56:30,2018-02-02 03:56:37,2018-02-02 03:56:41,True,2018-02-02 03:56:37,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/14,https://github.com/hyperledger/iroha-scala/pull/14,cimadai,(~) Refactoring test code.,"Separate generation of command and transaction.

Signed-off-by: SHIMADA, Daisuke <dice.k1984@gmail.com>",[],1,2018-02-02 03:34:27,2018-02-02 03:34:58,2018-02-02 03:35:02,True,2018-02-02 03:34:58,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/13,https://github.com/hyperledger/iroha-scala/pull/13,cimadai,(+) Update Ed25519 usage for iroha v1.,"1. Changed ed25519 hash algorithm to SHA3-512.

SHA3EdDSAPrivateKeySpec is override class to use SHA3-512 as hash algorithm in Java8.

iroha v1 is change from SHA-512 to SHA3-512.

But it cannot get SHA3 instance by MessageDigest.getInstance in Java8.

And I didn't want to use Java9 because several dependencies.

So I created SHA3EdDSAPrivateKeySpec.

2. Updated proto files for iroha v1.

3. Updated validations for iroha v1.

Signed-off-by: SHIMADA, Daisuke <dice.k1984@gmail.com>",[],1,2018-02-01 09:05:31,2018-02-01 09:06:15,2018-02-02 03:35:13,True,2018-02-01 09:06:15,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/12,https://github.com/hyperledger/iroha-scala/pull/12,mitsutaka-takeda,Feature/get transaction status,"# What is this pull request?

Support asking transaction's status to Iroha's CommandService.

# Why do you implement it? Why do we need this pull request?

Iroha clients need to know the status of their transaction request.

# How to use the features provided in the pull request?

Compute the hash of a transaction with `Iroha.CommandService.txHash`.  Ask Iroha's CommandService with the hash.",[],2,2018-02-01 08:59:49,2018-02-01 09:06:37,2018-02-01 09:06:37,True,2018-02-01 09:06:36,cimadai,unknown,,closed
iroha-scala,https://api.github.com/repos/hyperledger/iroha-scala/pulls/11,https://github.com/hyperledger/iroha-scala/pull/11,mitsutaka-takeda,Feature/get transaction status,"# What is this pull request?

Support asking transaction's status to Iroha's CommandService.

# Why do you implement it? Why do we need this pull request?

Iroha clients need to know the status of their transaction request.

# How to use the features provided in the pull request?

Compute the hash of a transaction with `Iroha.CommandService.txHash`.  Ask Iroha's CommandService with the hash.",[],14,2018-02-01 08:31:50,2018-02-01 08:57:42,2018-02-01 08:57:42,False,,,clean,True,closed
