name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sawtooth-marketplace,rbuysse,https://github.com/hyperledger/sawtooth-marketplace/pull/84,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/84,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-02-07 16:32:46,2019-02-09 04:42:02
sawtooth-marketplace,rbuysse,https://github.com/hyperledger/sawtooth-marketplace/pull/83,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/83,Add MAINTAINERS.md and CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-01-22 22:10:09,2019-01-22 22:41:09
sawtooth-marketplace,ryjones,https://github.com/hyperledger/sawtooth-marketplace/pull/82,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/82,Add Apache 2.0 LICENSE file,Signed-off-by: Ry Jones <ry@linux.com>,closed,True,2018-08-17 23:41:27,2018-08-21 16:14:14
sawtooth-marketplace,varasudha194,https://github.com/hyperledger/sawtooth-marketplace/pull/81,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/81,"Added UI for View Offers, modified README","

Signed-off-by: test <varalakshmi.ka@intel.com>",closed,True,2018-05-24 04:58:37,2019-03-22 19:54:21
sawtooth-marketplace,askmish,https://github.com/hyperledger/sawtooth-marketplace/pull/80,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/80,Add proxy support for default docker compose file,"Add proxy variables args for market-shell container dockerfile

Signed-off-by: Ashish Kumar Mishra <ashish.k.mishra@intel.com>",closed,True,2018-04-09 06:10:52,2018-04-26 03:15:47
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/79,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/79,Changes based on feedback from demo + change to .example tld,,closed,True,2017-12-28 15:46:08,2017-12-28 16:02:31
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/78,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/78,Fix lint errors,"Based on #74 

The update to pylint 1.8.1 caused some new lint errors to be detected.",closed,True,2017-12-27 19:14:49,2017-12-27 21:12:56
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/77,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/77,Implement SawbuckManager fixes raised at demo,"Fixes Implemented:
- Remove references to USD
- default AcceptOffers to count of 1
- add 1 line of instructions to modals
- truncate labels at 10 char (""New Holding"" needs to be shorter)
- validate that you don't go over the Offer owner's quantities
- find a way to make sure data has updated before redirecting on modal close

In addition, one bug was noted during the demo which was actually already implemented:
- don't allow non-owners to offer non-transferable assets",closed,True,2017-12-26 20:54:02,2017-12-28 15:47:22
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/76,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/76,Fix UI count calculation bug,,closed,True,2017-12-26 18:09:51,2017-12-27 15:28:12
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/75,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/75,Add Design Docs to Repo,Also includes a small update to the numbering of the PayloadType enum to better allow for future expansion.,closed,True,2017-12-26 18:00:22,2017-12-27 21:42:40
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/74,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/74,EXCHANGE_LIMITED_TO_ACCOUNTS functionality,~~This is based on #69 and #71. Only the last commit is of this PR. If there are multiple EXCHANGE_LIMITED_TO_ACCOUNTS rules -- if one is from an asset and one is from the offer -- the rule is that it is limited to the union of the accounts.~~   If there are multiple EXCHANGE_LIMITED_TO_ACCOUNTS rules the intersection of the values is taken.,closed,True,2017-12-22 18:16:57,2017-12-27 21:10:49
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/73,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/73,Add error handing to Sawbuck app,"Errors on background API requests will be logged, but otherwise ignored, and API requests triggered by user actions (i.e. form submissions) will trigger an alert, and then clear the form.

A common example would be to attempting to login with bad credentials, or trying to load any page when the api is down. You can kill the API with:

```bash
docker container stop sawtoothmarketplace_market-rest-api_1
```",closed,True,2017-12-21 17:50:29,2017-12-21 19:55:03
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/72,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/72,Cleanup and streamline deployment,"This PR cleans up a number of loose threads with deployment, especially:
- Creating a `market-shell` container from which all commands can be run
- Using the market-shell to generate protobufs and client files as part of `docker-compose up`
- Update the README to reflect current practices

On any machine, with any OS, running Docker, you should be able to clone a 100% fresh copy of this branch, follow the instructions in the README, and get a running web app. If any command described in the README does not work as described in any environment, that is a bug.",closed,True,2017-12-21 07:08:06,2017-12-21 19:55:21
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/71,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/71,Implement API Not Transferable rule functionality,Based on #68 ,closed,True,2017-12-21 01:56:54,2017-12-22 21:58:24
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/70,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/70,Validate offer and request buttons,"Offer button will now be disabled if:
- user is logged out
- user has no quantity of the asset
- asset is not transferable and user is not the owner

Request button is disabled if user is not logged in.",closed,True,2017-12-21 01:55:40,2017-12-21 17:40:52
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/69,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/69,EXCHANGE_ONCE and EXCHANGE_ONCE_PER_ACCOUNT Offer Rules,This PR is built off of PR #68 and will be rebased once that PR goes in to master. Only the last 4 commits are part of this PR.,closed,True,2017-12-21 00:13:49,2017-12-22 22:03:28
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/68,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/68,Implement API and TP holdings infinite rules,,closed,True,2017-12-20 23:59:23,2017-12-21 19:51:55
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/67,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/67,Add Accept Offer modal to Offer pages,"Adds an Accept Offer Modal, which also allows for Holding creation. Also reverse the direction of the bifold arrow in most contexts. The direction of the arrow no reflects the direction of the flow of assets, relative to the user.

_Screenshots:_
![screen shot 2017-12-20 at 1 17 32 pm](https://user-images.githubusercontent.com/8889580/34222138-8a028dca-e588-11e7-9bbc-c28c31f4fce4.png)

",closed,True,2017-12-20 18:12:13,2017-12-20 22:12:08
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/66,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/66,Fix holding and race condition bugs,,closed,True,2017-12-20 17:47:13,2017-12-20 18:39:17
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/65,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/65,Implement API Rule value parsing,Signed-off-by: Darian Plumb <dplumb@bitwise.io>,closed,True,2017-12-19 22:10:45,2017-12-21 15:54:08
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/64,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/64,Add automatic daily offers to admin CLI,"Adds two commands to the admin cli:

**Command:** `mktadm renew`

Similar to `seed` (formerly known as `submit`), `renew` takes a url and a data file and submits data to the REST API. Specifically, it will submit any `RENEWABLE` Offers, after first closing any open offers that match. This effectively resets rules like `EXCHANGE_ONCE_PER_ACCOUNT`.

**Usage:**

```
bin/mktadm renew -u localhost:8040 -d sawbuck_app/app_data.yaml
```

**Command:** `mktadm schedule`

Uses `cron` to execute other `mktadm` commands on a regular schedule. Can be run hourly, daily, weekly, or monthly. Resubmitting the same command (with the same parameters), will reschedule it. Can also use the `--remove`flag to unschedule a command.

**Usage**
```
bin/mktadm schedule -H ""renew -u localhost:8040 -d sawbuck_app/app_data.yaml""
bin/mktadm schedule -D ""renew -u localhost:8040 -d sawbuck_app/app_data.yaml""
bin/mktadm schedule --remove ""renew -u localhost:8040 -d sawbuck_app/app_data.yaml""
```

You can check your existing cron jobs using:
```
crontab -l
```

Or remove them with:
```
crontab -r
```",closed,True,2017-12-19 04:25:32,2017-12-20 20:01:09
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/63,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/63,Add CloseOffer TP functionality,Only the last 2 commits are this PR. The prior 2 will be rebased when #62 goes into master.,closed,True,2017-12-18 19:19:05,2017-12-19 22:05:34
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/62,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/62,Implement AcceptOffer TP functionality,,closed,True,2017-12-18 18:40:57,2017-12-19 22:03:58
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/61,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/61,Add Create Offer Modal,"Adds a modal which can be accessed from the Asset list and detail pages. Allows you to create an Offer as well as a new Holding if desired. Should be mostly complete, including a section for rules.

Built on #59 

_Screenshots:_
![screen shot 2017-12-18 at 1 07 41 am](https://user-images.githubusercontent.com/8889580/34093848-2ab4c9e0-e390-11e7-8b51-ae587ac49d76.png)
",closed,True,2017-12-18 07:10:38,2017-12-18 22:31:13
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/60,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/60,Implement API accept and close Offers,"This PR adds functionality for the `POST /offers/<offer_id>/accept` and `POST /offers/<offer_id>/close` routes.

To test the API responses without TP functionality, comment out lines 109-114 and 141-146 in `offers.py`.",closed,True,2017-12-15 23:19:58,2017-12-18 22:32:05
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/59,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/59,Add Offer Detail Page,"Does not yet have a working Accept button.

_Screenshots:_
![screen shot 2017-12-15 at 2 47 54 pm](https://user-images.githubusercontent.com/8889580/34059938-07990592-e1a7-11e7-8496-ea73af969a9f.png)
",closed,True,2017-12-15 20:49:20,2017-12-18 22:12:12
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/58,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/58,"AcceptOffer, CloseOffer txn encoding",,closed,True,2017-12-15 18:58:42,2017-12-15 21:48:13
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/57,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/57,Add Offer List Page,"Accept button will be implemented when modals are complete. Currently logs to console.

_Screenshots:_
![screen shot 2017-12-15 at 12 13 22 am](https://user-images.githubusercontent.com/8889580/34029237-0da60022-e12d-11e7-959a-41b63be0a0c8.png)
![screen shot 2017-12-15 at 12 14 07 am](https://user-images.githubusercontent.com/8889580/34029241-1292868c-e12d-11e7-8a96-198559dcce54.png)
",closed,True,2017-12-15 06:15:45,2017-12-15 21:44:52
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/56,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/56,Refactor Account and Asset creation,This PR refactors Account and Asset POST routes so that all resource creation methods follow a similar pattern. It also fixes a bug where some resource properties would be displayed with the wrong casing.,closed,True,2017-12-14 23:53:19,2017-12-15 18:23:06
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/55,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/55,Add Offers to Sawbuck data submission,Also includes an implementation of a simple reference language which can be used to fetch data from previously submitted resources. In this case it is used to get ids from Holdings.,closed,True,2017-12-14 20:19:27,2017-12-15 18:05:21
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/54,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/54,Implement API Fetch Offers,,closed,True,2017-12-13 22:53:26,2017-12-15 15:56:30
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/53,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/53,Remove unused import,Signed-off-by: Darian Plumb <dplumb@bitwise.io>,closed,True,2017-12-13 18:26:40,2017-12-14 18:45:49
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/52,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/52,Remove stack trace for errors handled by API,Signed-off-by: Darian Plumb <dplumb@bitwise.io>,closed,True,2017-12-12 22:38:31,2017-12-13 18:09:45
sawtooth-marketplace,boydjohnson,https://github.com/hyperledger/sawtooth-marketplace/pull/51,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/51,CreateOffer TP functionality,This PR is based on #50 and will be rebased once that PR goes into master.,closed,True,2017-12-12 21:45:17,2017-12-13 21:21:16
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/50,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/50,Implement API Create Offer,,closed,True,2017-12-12 19:42:15,2017-12-13 17:57:03
sawtooth-marketplace,delventhalz,https://github.com/hyperledger/sawtooth-marketplace/pull/49,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/49,Improve mktadm HTTP requests,`mktadm` will now default to http and recover from bad requests. Also includes an improvement to API error messages.,closed,True,2017-12-12 19:07:16,2017-12-12 22:20:57
sawtooth-marketplace,dplumb94,https://github.com/hyperledger/sawtooth-marketplace/pull/48,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/48,Include holding objects on account resource,Signed-off-by: Darian Plumb <dplumb@bitwise.io>,closed,True,2017-12-12 17:38:58,2017-12-12 22:17:00
