name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/126,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/126,Rename on-chain peers list,"Rename the on-chain list of PBFT nodes from
`sawtooth.conensus.pbft.peers` to `sawtooth.consensus.pbft.members`.
This is to reduce confusion when using the term ""peer"" to refer to nodes
that may not be an accepted PBFT member based on the on-chain setting.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",open,True,2019-04-02 15:26:02,2019-04-02 15:28:47
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/125,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/125,Enable restarting whole network with existing chain,"When the whole network is starting ""fresh"" from a non-genesis block,
none of the nodes will have the `Commit` messages necessary to build the
consensus seal for the last committed block (the chain head). To
bootstrap the network in this scenario, all nodes will send a `Commit`
message for their chain head whenever one of the PBFT members connects;
when > 2f + 1 nodes have connected and received these `Commit` messages,
the nodes will be able to build a seal using the messages.

This commit includes a shell script to verify the ability to restart a
network with an existing chain using the adhoc docker compose files.
Also adds this test to CI.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",open,True,2019-03-28 19:46:12,2019-04-02 19:33:44
sawtooth-pbft,chenette,https://github.com/hyperledger/sawtooth-pbft/pull/124,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/124,Fix terminology for PBFT member nodes (was peers),"Sawtooth already uses the term ""peer"" for static/dynamic peering, so the
PBFT doc was overloading this term. This PR changes ""peer"" to ""(PBFT) member node""
and adds a glossary definition for ""member node"".

Note: The Sawtooth documentation will be fixed in a related-but-separate PR for
the hyperledger/sawtooth repo.

Signed-off-by: Anne Chenette <chenette@bitwise.io>",open,True,2019-03-28 18:27:15,2019-04-02 19:26:10
sawtooth-pbft,rberg2,https://github.com/hyperledger/sawtooth-pbft/pull/123,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/123,Update Cargo.toml to version 0.1.2,"This should match the VERSION file, and be incremented after release.

Signed-off-by: Richard Berg <rberg@bitwise.io>",closed,True,2019-03-26 21:47:00,2019-03-26 21:48:16
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/122,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/122,Fix from_self value of ParsedMessages from peers,"Previously, when a PeerMessage was parsed, it was assumed that the
message came from another node. However, it is possible for a node to
send a message back to the node that created the message, in which case
the ParsedMessage.from_self field should actually be true.

This commit fixes that assumption by explicitly checking if the
message's signer ID matches the node's own ID.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",closed,True,2019-03-21 20:34:11,2019-03-28 20:26:56
sawtooth-pbft,rberg2,https://github.com/hyperledger/sawtooth-pbft/pull/121,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/121,Make aborted and failed builds more obvious,"The devmode Jenkinsfile does this already.

Signed-off-by: Richard Berg <rberg@bitwise.io>",closed,True,2019-03-21 18:53:50,2019-03-22 20:06:35
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/120,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/120,Implement node unit tests,"This commit adds a large number of unit tests for the PbftNode and its
various functions. It also includes some added test-only methods for
other structs to aid this testing, as well as some minor alterations to
test helper functions.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",closed,True,2019-03-19 16:00:18,2019-03-28 20:26:54
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/119,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/119,Fix ParsedMessage type vulnerability,"This commit fixes a vulnerability that would allow a malicious node to
arbitrarily crash another node's PBFT engine.

When parsing messages from peers, nodes use the type indicated in the
header of the PeerMessage; however, this type field can be set
arbitrarily and could be set to a different value than the contained
PBFT message's type. Some of the accessors for ParsedMessages panic if
called on the wrong type of ParsedMessage (e.g. calling get_seal on a
ParsedMessage containing a NewView), so there must be a mechanism to
guard against a bad message triggering a panic.

This is fixed by simply checking and ensuring that the ParsedMessage's
type matches the type of the PeerMessage. An alternative would be to
remove the panics in the accessors, but those are useful for ensuring
that no programmer error occurs; we should be able to guarantee proper
parsing of messages, and once those messages are parsed they should only
be handled as the appropriate type.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",closed,True,2019-03-18 20:22:53,2019-03-28 20:26:57
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/118,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/118,Update algorithm name and version,"Updates the name and version that the PBFT consensus engine reports to
the validator match the conventions used in other Sawtooth projects.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",closed,True,2019-03-18 16:48:18,2019-03-28 20:26:58
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/117,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/117,Fix bug with view change while waiting for commit,"This fixes a bug where while a node is waiting for a BlockCommit update
from the validator, it switches views and resets the phase to
`PrePreparing`. Even after a view change is completed, the node should
still wait for the BlockCommit notification before attempting to process
other blocks.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",closed,True,2019-03-07 19:54:32,2019-03-28 20:26:59
sawtooth-pbft,ltseeley,https://github.com/hyperledger/sawtooth-pbft/pull/116,https://api.github.com/repos/hyperledger/sawtooth-pbft/issues/116, Replace MockService for PbftNode unit tests,"Replaces the existing `MockService` with a new one that, instead of just
doing nothing or returning hard-coded values, logs calls to its methods
and allows for greater flexibility of return values. Currently, it only
allows for configuration of the return values for the `get_settings` and
`summarize_block` methods, since these are the only methods where this
functionality is needed for the planned tests.

Also updates the existing node unit tests to use the `src/test_helpers.rs`.",closed,True,2019-03-06 14:43:25,2019-03-28 20:27:00
