name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/126,https://github.com/hyperledger/sawtooth-pbft/pull/126,ltseeley,Rename on-chain peers list,"Rename the on-chain list of PBFT nodes from
`sawtooth.conensus.pbft.peers` to `sawtooth.consensus.pbft.members`.
This is to reduce confusion when using the term ""peer"" to refer to nodes
that may not be an accepted PBFT member based on the on-chain setting.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-04-02 15:26:02,,2019-04-02 15:28:47,False,,,blocked,True,open
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/125,https://github.com/hyperledger/sawtooth-pbft/pull/125,ltseeley,Enable restarting whole network with existing chain,"When the whole network is starting ""fresh"" from a non-genesis block,
none of the nodes will have the `Commit` messages necessary to build the
consensus seal for the last committed block (the chain head). To
bootstrap the network in this scenario, all nodes will send a `Commit`
message for their chain head whenever one of the PBFT members connects;
when > 2f + 1 nodes have connected and received these `Commit` messages,
the nodes will be able to build a seal using the messages.

This commit includes a shell script to verify the ability to restart a
network with an existing chain using the adhoc docker compose files.
Also adds this test to CI.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],3,2019-03-28 19:46:12,,2019-04-02 19:33:44,False,,,blocked,True,open
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/124,https://github.com/hyperledger/sawtooth-pbft/pull/124,chenette,Fix terminology for PBFT member nodes (was peers),"Sawtooth already uses the term ""peer"" for static/dynamic peering, so the
PBFT doc was overloading this term. This PR changes ""peer"" to ""(PBFT) member node""
and adds a glossary definition for ""member node"".

Note: The Sawtooth documentation will be fixed in a related-but-separate PR for
the hyperledger/sawtooth repo.

Signed-off-by: Anne Chenette <chenette@bitwise.io>",['ltseeley'],1,2019-03-28 18:27:15,,2019-04-02 19:26:10,False,,,clean,True,open
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/123,https://github.com/hyperledger/sawtooth-pbft/pull/123,rberg2,Update Cargo.toml to version 0.1.2,"This should match the VERSION file, and be incremented after release.

Signed-off-by: Richard Berg <rberg@bitwise.io>",['vaporos'],1,2019-03-26 21:47:00,2019-03-26 21:48:16,2019-03-26 21:48:16,True,2019-03-26 21:48:16,vaporos,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/122,https://github.com/hyperledger/sawtooth-pbft/pull/122,ltseeley,Fix from_self value of ParsedMessages from peers,"Previously, when a PeerMessage was parsed, it was assumed that the
message came from another node. However, it is possible for a node to
send a message back to the node that created the message, in which case
the ParsedMessage.from_self field should actually be true.

This commit fixes that assumption by explicitly checking if the
message's signer ID matches the node's own ID.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-03-21 20:34:11,2019-03-22 20:12:52,2019-03-28 20:26:56,True,2019-03-22 20:12:52,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/121,https://github.com/hyperledger/sawtooth-pbft/pull/121,rberg2,Make aborted and failed builds more obvious,"The devmode Jenkinsfile does this already.

Signed-off-by: Richard Berg <rberg@bitwise.io>",['rberg2'],1,2019-03-21 18:53:50,2019-03-22 20:06:35,2019-03-22 20:06:35,True,2019-03-22 20:06:35,vaporos,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/120,https://github.com/hyperledger/sawtooth-pbft/pull/120,ltseeley,Implement node unit tests,"This commit adds a large number of unit tests for the PbftNode and its
various functions. It also includes some added test-only methods for
other structs to aid this testing, as well as some minor alterations to
test helper functions.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],2,2019-03-19 16:00:18,2019-03-22 23:54:51,2019-03-28 20:26:54,True,2019-03-22 23:54:51,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/119,https://github.com/hyperledger/sawtooth-pbft/pull/119,ltseeley,Fix ParsedMessage type vulnerability,"This commit fixes a vulnerability that would allow a malicious node to
arbitrarily crash another node's PBFT engine.

When parsing messages from peers, nodes use the type indicated in the
header of the PeerMessage; however, this type field can be set
arbitrarily and could be set to a different value than the contained
PBFT message's type. Some of the accessors for ParsedMessages panic if
called on the wrong type of ParsedMessage (e.g. calling get_seal on a
ParsedMessage containing a NewView), so there must be a mechanism to
guard against a bad message triggering a panic.

This is fixed by simply checking and ensuring that the ParsedMessage's
type matches the type of the PeerMessage. An alternative would be to
remove the panics in the accessors, but those are useful for ensuring
that no programmer error occurs; we should be able to guarantee proper
parsing of messages, and once those messages are parsed they should only
be handled as the appropriate type.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-03-18 20:22:53,2019-03-19 14:55:33,2019-03-28 20:26:57,True,2019-03-19 14:55:33,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/118,https://github.com/hyperledger/sawtooth-pbft/pull/118,ltseeley,Update algorithm name and version,"Updates the name and version that the PBFT consensus engine reports to
the validator match the conventions used in other Sawtooth projects.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-03-18 16:48:18,2019-03-19 14:55:20,2019-03-28 20:26:58,True,2019-03-19 14:55:20,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/117,https://github.com/hyperledger/sawtooth-pbft/pull/117,ltseeley,Fix bug with view change while waiting for commit,"This fixes a bug where while a node is waiting for a BlockCommit update
from the validator, it switches views and resets the phase to
`PrePreparing`. Even after a view change is completed, the node should
still wait for the BlockCommit notification before attempting to process
other blocks.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],2,2019-03-07 19:54:32,2019-03-07 21:22:45,2019-03-28 20:26:59,True,2019-03-07 21:22:45,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/116,https://github.com/hyperledger/sawtooth-pbft/pull/116,ltseeley, Replace MockService for PbftNode unit tests,"Replaces the existing `MockService` with a new one that, instead of just
doing nothing or returning hard-coded values, logs calls to its methods
and allows for greater flexibility of return values. Currently, it only
allows for configuration of the return values for the `get_settings` and
`summarize_block` methods, since these are the only methods where this
functionality is needed for the planned tests.

Also updates the existing node unit tests to use the `src/test_helpers.rs`.",['ltseeley'],2,2019-03-06 14:43:25,2019-03-19 15:57:59,2019-03-28 20:27:00,True,2019-03-19 15:57:59,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/115,https://github.com/hyperledger/sawtooth-pbft/pull/115,ltseeley,Fix signer verification bug,"This bug fixes a serious security issue caused by a bug in the way the
signers of messages and votes are verified.

Previously, when messages were received, the PbftMessage's signer_id was
compared with the ID of the node that sent the message; however, the
node that sent the message may not be the node that signed it, so this
is the wrong thing to compare it to; instead, it should be comparing the
PbftMessage's signer_id with the PeerMessageHeader's signer_id (this is
the ID that is used by the validator to verify the proper signing of the
consensus message).

Furthermore, when votes are verified for the consensus seal and view
changes, the IDs used to check membership and uniqueness are the IDs in
the PbftMessages themselves, and they were previously not compared with
the IDs that are used to actually sign the messages (again, indicated by
the signer_id of the ConsensusPeerMessageHeader). They should be
compared with the actual signing ID to be sure they match.

These changes break existing unit tests, since signing of messages in
these tests was just done with a random public public key that did not
match IDs in the or the IDs of the actual messages. Since these unit
tests are being replaced, they are not fixed but instead removed.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-03-04 19:21:05,2019-03-06 14:39:10,2019-03-28 20:27:01,True,2019-03-06 14:39:10,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/114,https://github.com/hyperledger/sawtooth-pbft/pull/114,rbuysse,Add nightly dockerfile,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-03-01 21:49:31,2019-03-04 15:19:38,2019-03-04 15:19:39,True,2019-03-04 15:19:38,rbuysse,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/113,https://github.com/hyperledger/sawtooth-pbft/pull/113,ltseeley,Allow updating view backwards on catchup commit,"When a node starts up and needs to catch-up from a long way back, it may
trigger view changes such that it is on a later view than the one the
blocks it commits were committed at. In this case, the node should be
able to correct itself and adopt the views in which the blocks were
committed.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-03-01 14:39:33,2019-03-01 15:31:40,2019-03-28 20:27:02,True,2019-03-01 15:31:40,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/112,https://github.com/hyperledger/sawtooth-pbft/pull/112,ltseeley,Add auxiliary tests,"Add message parsing, log, state, and initialization tests",['ltseeley'],7,2019-02-28 16:20:24,2019-03-06 14:12:17,2019-03-28 20:27:00,True,2019-03-06 14:12:16,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/111,https://github.com/hyperledger/sawtooth-pbft/pull/111,ltseeley,Fix primary prepare voting,"Fixes the Prepare voting by not allowing the primary to broadcast a
Prepare message; the primary's PrePrepare message counts as its ""vote""
for the Preparing phase. If the primary were allowed to broadcast a
Prepare, it could cause nodes to diverge on the blocks they commit for a
given sequence number when the network is a certain size.

Now, a non-faulty primary will not broadcast a Prepare message, and
non-faulty secondaries will not accept Prepare messages from the
primary. This reflects the behavior of the original PBFT definition.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],3,2019-02-27 17:40:19,2019-03-01 21:58:39,2019-03-28 20:27:03,True,2019-03-01 21:58:39,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/110,https://github.com/hyperledger/sawtooth-pbft/pull/110,ltseeley,Generalize membership changes,"Generalizes membership updates to account for ordering of the on-chain
list (`sawtooth.consensus.pbft.peers`). Previously, if the order
changed, the local list would not be updated.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-02-27 16:47:23,2019-02-27 17:23:03,2019-03-28 20:27:04,True,2019-02-27 17:23:03,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/109,https://github.com/hyperledger/sawtooth-pbft/pull/109,ltseeley,Update msg log methods,,['ltseeley'],2,2019-02-26 20:22:02,2019-02-27 17:36:19,2019-03-28 20:27:04,True,2019-02-27 17:36:19,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/108,https://github.com/hyperledger/sawtooth-pbft/pull/108,ltseeley,Remove PbftState::switch_phase,"Remove guarded phase switching from the state struct; this is
unnecessary since phase switches are already checked by the node
itself.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-02-26 18:12:38,2019-02-26 19:52:06,2019-03-28 20:27:06,False,,,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/107,https://github.com/hyperledger/sawtooth-pbft/pull/107,ltseeley,Update message parsing,,['ltseeley'],3,2019-02-26 18:11:06,2019-02-26 20:18:53,2019-03-28 20:27:07,True,2019-02-26 20:18:53,ltseeley,unknown,,closed
sawtooth-pbft,https://api.github.com/repos/hyperledger/sawtooth-pbft/pulls/106,https://github.com/hyperledger/sawtooth-pbft/pull/106,ltseeley,Rename faulty_primary_timeout to idle_timeout,"The timeout was originally called the `idle_timeout`, but was changed in
commit 65466d when the timeouts were changed; the timeouts have
essentially been reverted to their previous behavior however (with only
minor changes), so the name should be updated to more accurately reflect
its behavior again.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-02-26 17:14:32,2019-02-26 18:37:39,2019-03-28 20:27:08,True,2019-02-26 18:37:39,ltseeley,unknown,,closed
