name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/66,https://github.com/hyperledger/sawtooth-raft/pull/66,rberg2, Add COMPOSE_PROJECT_NAME to Jenkinsfile,"This variable prevents naming collisions in containers created by
docker-compose. This variable was missing from the Jenkinsfile rewrite.

Signed-off-by: Richard Berg <rberg@bitwise.io>","['peterschwarz', 'vaporos']",1,2019-03-28 19:09:55,2019-04-02 17:39:15,2019-04-02 17:39:15,True,2019-04-02 17:39:15,peterschwarz,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/65,https://github.com/hyperledger/sawtooth-raft/pull/65,pankajgoyal2,Added compose file to setup multinode Raft network on different physi…,"…cal machines.

Signed-off-by: Pankaj Goyal <pankaj.goyal@intel.com>",[],1,2019-03-28 00:51:08,,2019-04-02 05:22:07,False,,,blocked,True,open
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/64,https://github.com/hyperledger/sawtooth-raft/pull/64,pankajgoyal2,Disable Debug Symbols when raft library is build in release mode,Signed-off-by: Pankaj Goyal <pankaj.goyal@intel.com>,[],1,2019-03-28 00:50:16,,2019-04-02 05:17:50,False,,,blocked,True,open
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/63,https://github.com/hyperledger/sawtooth-raft/pull/63,manojgop,Bugfix: Check raft state before adding new block to block queue,"Add new block to block queue only if
1) Raft node is in leader publishing state and this is a block which leader published
2) or if raft node is a follower

Signed-off-by: Manoj Gopalakrishnan <manoj.gopalakrishnan@intel.com>",[],1,2019-03-26 09:08:10,,2019-03-26 16:18:19,False,,,blocked,True,open
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/62,https://github.com/hyperledger/sawtooth-raft/pull/62,rberg2,Declarative Jenkinsfile rewrite.,Signed-off-by: Richard Berg <rberg@bitwise.io>,['vaporos'],1,2019-03-21 18:46:23,2019-03-26 15:58:21,2019-03-26 15:58:21,True,2019-03-26 15:58:21,ltseeley,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/61,https://github.com/hyperledger/sawtooth-raft/pull/61,manojgop,Fix issue during follower to leader transition in block committing state,"When follower becomes leader while it was in block committing state,
the leader has to continue in committing state until block is
fully committed

Signed-off-by: Manoj Gopalakrishnan <manoj.gopalakrishnan@intel.com>",[],1,2019-03-20 11:35:20,2019-03-22 19:45:52,2019-03-22 19:45:52,True,2019-03-22 19:45:52,jsmitchell,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/60,https://github.com/hyperledger/sawtooth-raft/pull/60,arsulegai,State machine correction for sawtooth-raft,"A leader node in sawtooth-raft asks validator to commit a block
when majority of the follower nodes replicated the log entry.
However follower nodes may lose the log commit confirmation
from the leader node. Majority of the follower nodes form a
group and elect a new leader.

A log entry is safe committed as per raft if majority of the
nodes have the log stored and at least one entry from the
leaders term is also majority stored.

If majority of the nodes continue adding blocks, the old
leader has to replace the log entry. This is taken care by raft.
However block already added to the blockchain shall also get
replaced with the new one.

Order of the nodes added to blockchain is controlled by deque.

Signed-off-by: S m, Aruna <aruna.s.m@intel.com>",[],1,2019-03-18 18:02:53,2019-03-22 19:43:41,2019-03-22 19:43:41,True,2019-03-22 19:43:41,jsmitchell,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/59,https://github.com/hyperledger/sawtooth-raft/pull/59,ltseeley,Update algorithm name and version,"Updates the name and version that the Raft consensus engine reports to
the validator match the conventions used in other Sawtooth projects.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",['ltseeley'],1,2019-03-18 16:57:16,2019-03-18 18:52:37,2019-03-28 20:29:55,True,2019-03-18 18:52:37,ltseeley,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/58,https://github.com/hyperledger/sawtooth-raft/pull/58,arsulegai,Enable lint checks on sawtooth-raft,"1. Follow default warning level check for clippy.
2. Added lint checks as part of Jenkinsfile.
3. Fix clippy warnings and fmt issues in sawtooth-raft.",[],3,2019-03-17 06:17:09,,2019-03-28 09:51:51,False,,,blocked,True,open
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/57,https://github.com/hyperledger/sawtooth-raft/pull/57,pankajgoyal2,Disable debug log messages,,[],1,2019-03-14 15:38:11,2019-03-18 10:29:27,2019-03-18 10:34:14,False,,,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/56,https://github.com/hyperledger/sawtooth-raft/pull/56,rbuysse,Add nightly dockerfile,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-03-01 22:04:32,2019-03-22 19:42:33,2019-03-22 19:42:33,True,2019-03-22 19:42:33,jsmitchell,unknown,,closed
sawtooth-raft,https://api.github.com/repos/hyperledger/sawtooth-raft/pulls/55,https://github.com/hyperledger/sawtooth-raft/pull/55,agunde406,Update Raft to use Sawtooth Rust SDK 0.2,Signed-off-by: Andrea Gunderson <agunde@bitwise.io>,[],1,2019-02-20 20:26:31,2019-02-21 16:14:58,2019-02-21 16:14:58,True,2019-02-21 16:14:58,ltseeley,unknown,,closed
