name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sawtooth-rfcs,agunde406,https://github.com/hyperledger/sawtooth-rfcs/pull/43,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/43,Update PBFT RFC numbers,Signed-off-by: Andrea Gunderson <agunde@bitwise.io>,closed,True,2019-04-01 17:55:03,2019-04-01 18:19:26
sawtooth-rfcs,agunde406,https://github.com/hyperledger/sawtooth-rfcs/pull/42,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/42,Remove Adam Ludvik from core and root team,"Adam has indicated that he no longer wishes to be
a maintainer of Sawtooth core and will not
participate in Sawtooth Governance. As such he needs
to be removed from the core team and the root team.

Also removed him from code owners of this repo.

See #41 for his resignation ",closed,True,2019-03-28 13:14:05,2019-03-28 20:01:14
sawtooth-rfcs,aludvik,https://github.com/hyperledger/sawtooth-rfcs/pull/41,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/41,Step down as Maintainer,"Due to a number of personal reasons, I am no longer able to contribute to the
Hyperledger Sawtooth project and hereby step down as a maintainer. I wish the
best for the future of the project and all the amazing people who have put so
much work into building, supporting, and extending it.

Signed-off-by: Adam M Ludvik <adam.m.ludvik@gmail.com>",closed,True,2019-03-25 14:47:12,2019-03-28 13:07:14
sawtooth-rfcs,aludvik,https://github.com/hyperledger/sawtooth-rfcs/pull/40,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/40,Root team and Sub team resignation,"Due to a number of personal reasons, I am no longer able to contribute to the Hyperledger Sawtooth project and hereby step down as a maintainer. It has been a great opportunity and learning experience, and I wish the best for the future of the project and all the amazing people who have put so much work into building, supporting, and extending it.

Signed-off-by: Adam Ludvik <adam.m.ludvik@gmail.com>",closed,True,2019-03-23 00:11:38,2019-03-25 14:43:31
sawtooth-rfcs,yoni-wolf,https://github.com/hyperledger/sawtooth-rfcs/pull/39,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/39,delete by prefix rfc,Signed-off-by: Yoni <yoni.wolf@intel.com>,open,True,2019-02-21 14:58:43,2019-04-03 13:46:48
sawtooth-rfcs,agunde406,https://github.com/hyperledger/sawtooth-rfcs/pull/38,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/38,Update raw-txn-header pr number,Signed-off-by: Andrea Gunderson <agunde@bitwise.io>,closed,True,2019-02-18 16:25:55,2019-03-01 21:05:29
sawtooth-rfcs,dplumb94,https://github.com/hyperledger/sawtooth-rfcs/pull/37,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/37,Sawtooth Swift SDK,Signed-off-by: Darian Plumb <dplumb@bitwise.io>,open,True,2019-02-14 22:57:49,2019-03-28 15:44:32
sawtooth-rfcs,rbuysse,https://github.com/hyperledger/sawtooth-rfcs/pull/36,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/36,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-02-07 16:33:30,2019-02-09 04:41:45
sawtooth-rfcs,rbuysse,https://github.com/hyperledger/sawtooth-rfcs/pull/35,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/35,Add MAINTAINERS.md and CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-01-22 22:15:08,2019-01-22 22:41:20
sawtooth-rfcs,yoni-wolf,https://github.com/hyperledger/sawtooth-rfcs/pull/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,Allow TP to read by address prefix,RFC to support read by address prefix from transaction processor,open,True,2018-12-20 11:02:48,2019-04-01 19:08:31
