name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/48,https://github.com/hyperledger/sawtooth-sabre/pull/48,rberg2,Jenkinsfile 0-1 branch updates.,,['agunde406'],2,2019-04-03 14:18:38,2019-04-03 15:39:21,2019-04-03 15:39:21,True,2019-04-03 15:39:21,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/47,https://github.com/hyperledger/sawtooth-sabre/pull/47,agunde406,BACKPORT: Add Missing Isolation ID to docker compose files,"This will fix an issue with colliding images when
running the build in Jenkins.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",['agunde406'],1,2019-04-03 14:04:44,2019-04-03 16:49:38,2019-04-03 16:49:38,True,2019-04-03 16:49:37,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/46,https://github.com/hyperledger/sawtooth-sabre/pull/46,agunde406,Add Missing Isolation ID to docker compose files,"This will fix an issue with colliding images when
running the build in Jenkins.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",['agunde406'],1,2019-04-03 13:27:00,2019-04-03 14:02:23,2019-04-03 14:02:23,True,2019-04-03 14:02:23,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/45,https://github.com/hyperledger/sawtooth-sabre/pull/45,agunde406,Increase Sabre version to 0.2,"Sabre is going to be updated to work with the
newer version of the Sawtooth Rust SDK. As such
the version needs to be increased because it will
no longer be compatible with 0.1 version of Sabre.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",['agunde406'],1,2019-04-02 19:53:02,2019-04-03 17:16:45,2019-04-03 17:16:45,True,2019-04-03 17:16:45,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/44,https://github.com/hyperledger/sawtooth-sabre/pull/44,agunde406,Run cargo fmt on sabre sdk,,['agunde406'],5,2019-04-02 18:21:44,2019-04-02 18:59:05,2019-04-02 19:06:04,True,2019-04-02 18:59:05,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/43,https://github.com/hyperledger/sawtooth-sabre/pull/43,rberg2,add COMPOSE_PROJECT_NAME to Jenkinsfile,"This variable prevents naming collisions in containers created by
docker-compose. This variable was missing from the Jenkinsfile rewrite.

Signed-off-by: Richard Berg <rberg@bitwise.io>","['peterschwarz', 'vaporos']",1,2019-03-28 19:08:37,2019-04-02 19:30:53,2019-04-02 19:30:53,True,2019-04-02 19:30:53,peterschwarz,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/42,https://github.com/hyperledger/sawtooth-sabre/pull/42,rberg2,Declarative Jenkinsfile rewrite.,Signed-off-by: Richard Berg <rberg@bitwise.io>,"['vaporos', 'rberg2']",1,2019-03-21 16:36:09,2019-03-27 05:05:38,2019-03-27 05:05:39,True,2019-03-27 05:05:38,vaporos,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/41,https://github.com/hyperledger/sawtooth-sabre/pull/41,scealiontach,Add an apt-get upgrade to address a series of High risk CVE's discovered.,"Running Anchore scans versus the installed docker images turned up some high risk vulnerabilities.  This will usually prevent the images being deployed in any highly locked down environments. 

Signed-off-by: Kevin O'Donnell <kodonnel@gmail.com>",[],1,2019-02-26 14:06:01,,2019-02-27 15:15:00,False,,,dirty,False,open
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/40,https://github.com/hyperledger/sawtooth-sabre/pull/40,agunde406,Update Sabre to use Sawtooth Rust SDK 0.2,,['agunde406'],3,2019-02-20 16:35:46,2019-02-21 21:26:05,2019-02-21 21:26:05,True,2019-02-21 21:26:04,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/39,https://github.com/hyperledger/sawtooth-sabre/pull/39,rbuysse,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-02-07 16:33:46,2019-02-11 17:45:32,2019-02-11 17:45:32,True,2019-02-11 17:45:32,rbuysse,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/38,https://github.com/hyperledger/sawtooth-sabre/pull/38,rberg2,Update Jenkinsfile to schedule a build at 3AM CST,Signed-off-by: Richard Berg <rberg@bitwise.io>,['rberg2'],1,2019-01-23 21:53:04,2019-01-24 19:59:48,2019-01-24 19:59:48,False,,,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/37,https://github.com/hyperledger/sawtooth-sabre/pull/37,rranjan3,Documentation typo fix,"1) Minor typo fix in Sabre Transaction Family
2) Sphinx warnings fix

Signed-off-by: Rajeev Ranjan <rajeev2.ranjan@intel.com>",['agunde406'],1,2019-01-23 08:48:58,2019-01-30 20:16:16,2019-01-30 20:16:16,True,2019-01-30 20:16:16,agunde406,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/36,https://github.com/hyperledger/sawtooth-sabre/pull/36,rbuysse,Add MAINTAINERS.md and CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-01-22 22:19:07,2019-02-04 18:30:43,2019-02-04 18:30:43,True,2019-02-04 18:30:43,rbuysse,unknown,,closed
sawtooth-sabre,https://api.github.com/repos/hyperledger/sawtooth-sabre/pulls/35,https://github.com/hyperledger/sawtooth-sabre/pull/35,rbuysse,Unpin Sphinx version,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-01-21 20:19:25,2019-01-22 22:37:29,2019-01-22 22:37:29,True,2019-01-22 22:37:29,rbuysse,unknown,,closed
