name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
apiextensions-apiserver,ahmetb,https://github.com/kubernetes/apiextensions-apiserver/issues/1,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/1,Add cleanup steps,"To be consistent with other client-go tutorials, we need https://github.com/kubernetes/apiextensions-apiserver/tree/master/examples/client-go example to have a `## Cleanup` section where the instructions to remove artifacts created by the example program can be removed.",closed,False,2017-06-26 18:14:37,2017-07-03 10:07:04
apiextensions-apiserver,resouer,https://github.com/kubernetes/apiextensions-apiserver/pull/2,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/2,Fix is existing error when nil,"When error is `IsAlreadyExists`, crd will be nil, then `defer` statement will `nil pointer`.",closed,True,2017-07-28 03:03:38,2017-07-28 08:58:29
apiextensions-apiserver,ash2k,https://github.com/kubernetes/apiextensions-apiserver/issues/3,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/3,Kubernetes 1.7 compatible branch?,"How can I use CRD client from this repo with client-go release-4.0 (kubernetes 1.7) branch? They rely on different versions of apimachinery.

Related: https://github.com/kubernetes/client-go/issues/247",closed,False,2017-07-28 04:45:03,2018-01-23 10:57:39
apiextensions-apiserver,yaronha,https://github.com/kubernetes/apiextensions-apiserver/issues/4,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/4,ListOptions with CRD,"I tried to implement CRD List client function and specify ListOptions, followed the same pattern used by standard objects and it didn’t seem to work, is there a documented/working way to do this?
Im specifically interested in the LabelSelector option 

The following code didn’t work, and resulted in an error: 
     v1.ListOptions is not suitable for converting to ""myorg.io/v1""

```golang
func (c *Client) List(namespace string, opts meta_v1.ListOptions) (*FunctionList, error) { 
       var result FunctionList
       err := c.restClient.Get().
              Namespace(namespace).Resource(c.getNamePlural()).
              VersionedParams(&opts, scheme.ParameterCodec).
              Do().Into(&result)
       return &result, err
}
```
it failed in the ParameterCodec.EncodeParameters() function  (called by VersionedParams() )

Yaron
",closed,False,2017-07-28 12:26:26,2018-01-02 07:41:58
apiextensions-apiserver,gouthamve,https://github.com/kubernetes/apiextensions-apiserver/issues/5,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/5,Waiting for CRD establishment might not always work,"We are waiting for the CRD to be ready here: https://github.com/kubernetes/apiextensions-apiserver/blob/master/examples/client-go/client/cr.go#L58-L77

But even with both the conditions satisfying, the endpoint might not be ready. See:
```bash
➜  prometheus-operator git:(v1-move) ✗ kc get crd -oyaml
apiVersion: v1
items:
- apiVersion: apiextensions.k8s.io/v1beta1
  kind: CustomResourceDefinition
  metadata:
    creationTimestamp: 2017-08-08T11:37:07Z
    name: prometheuses.monitoring.coreos.com
    namespace: """"
    resourceVersion: ""528""
    selfLink: /apis/apiextensions.k8s.io/v1beta1/customresourcedefinitions/prometheuses.monitoring.coreos.com
    uid: e8cc861e-7c2d-11e7-874c-080027e7de4b
  spec:
    group: monitoring.coreos.com
    names:
      kind: Prometheus
      listKind: PrometheusList
      plural: prometheuses
      singular: prometheus
    scope: Namespaced
    version: v1
  status:
    acceptedNames:
      kind: Prometheus
      listKind: PrometheusList
      plural: prometheuses
      singular: prometheus
    conditions:
    - lastTransitionTime: null
      message: no conflicts found
      reason: NoConflicts
      status: ""True""
      type: NamesAccepted
    - lastTransitionTime: 2017-08-08T11:37:07Z
      message: the initial names have been accepted
      reason: InitialNamesAccepted
      status: ""True""
      type: Established
kind: List
metadata:
  resourceVersion: """"
  selfLink: """"
➜  prometheus-operator git:(v1-move) ✗ kc get prometheus
Error from server (NotFound): Unable to list ""prometheuses"": the server could not find the requested resource (get prometheuses.monitoring.coreos.com)
➜  prometheus-operator git:(v1-move) ✗ kc create -f prom-v1.yaml
Error from server (NotFound): error when creating ""prom-v1.yaml"": the server could not find the requested resource (post prometheuses.monitoring.coreos.com)
.
.
.
# Several mins later:
➜  prometheus-operator git:(v1-move) ✗ kc get prometheus
No resources found.
➜  prometheus-operator git:(v1-move) ✗ kc create -f prom-v1.yaml
prometheus ""main"" created
```

Running `1.7.0` on minikube:
```
➜  prometheus-operator git:(v1-move) ✗ kc version
Client Version: version.Info{Major:""1"", Minor:""7"", GitVersion:""v1.7.2"", GitCommit:""922a86cfcd65915a9b2f69f3f193b8907d741d9c"", GitTreeState:""clean"", BuildDate:""2017-07-21T19:06:19Z"", GoVersion:""go1.8.3"", Compiler:""gc"", Platform:""darwin/amd64""}
Server Version: version.Info{Major:""1"", Minor:""7"", GitVersion:""v1.7.0"", GitCommit:""d3ada0119e776222f11ec7945e6d860061339aad"", GitTreeState:""clean"", BuildDate:""2017-07-26T00:12:31Z"", GoVersion:""go1.8.3"", Compiler:""gc"", Platform:""linux/amd64""}
```

Is this a bug or just a bad way to wait for ready?

Thanks,
Goutham.",closed,False,2017-08-08 11:49:30,2018-03-09 17:17:44
apiextensions-apiserver,gouthamve,https://github.com/kubernetes/apiextensions-apiserver/issues/6,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/6,"Consistency issues with CRDs: `get crd` doesn't work, full name works.","`kubectl get crd` fails, but `kubectl get customresourcedefinition` succeeds.

```
➜  ~ kc get customresourcedefinition; kc get crd
NAME                                 KIND
prometheuses.monitoring.coreos.com   CustomResourceDefinition.v1beta1.apiextensions.k8s.io
the server doesn't have a resource type ""crd""
```

And:
```
➜  ~ kc get customresourcedefinition -oyaml
apiVersion: v1
items:
- apiVersion: apiextensions.k8s.io/v1beta1
  kind: CustomResourceDefinition
  metadata:
    creationTimestamp: 2017-08-08T12:17:39Z
    name: prometheuses.monitoring.coreos.com
    namespace: """"
    resourceVersion: ""3420""
    selfLink: /apis/apiextensions.k8s.io/v1beta1/customresourcedefinitions/prometheuses.monitoring.coreos.com
    uid: 91d678e5-7c33-11e7-874c-080027e7de4b
  spec:
    group: monitoring.coreos.com
    names:
      kind: Prometheus
      listKind: PrometheusList
      plural: prometheuses
      shortNames:
      - prom
      singular: prometheus
    scope: Namespaced
    version: v1
  status:
    acceptedNames:
      kind: Prometheus
      listKind: PrometheusList
      plural: prometheuses
      shortNames:
      - prom
      singular: prometheus
    conditions:
    - lastTransitionTime: null
      message: no conflicts found
      reason: NoConflicts
      status: ""True""
      type: NamesAccepted
    - lastTransitionTime: 2017-08-08T12:17:39Z
      message: the initial names have been accepted
      reason: InitialNamesAccepted
      status: ""True""
      type: Established
kind: List
metadata:
  resourceVersion: """"
  selfLink: """"
```

```
➜  ~ kc version
Client Version: version.Info{Major:""1"", Minor:""7"", GitVersion:""v1.7.2"", GitCommit:""922a86cfcd65915a9b2f69f3f193b8907d741d9c"", GitTreeState:""clean"", BuildDate:""2017-07-21T19:06:19Z"", GoVersion:""go1.8.3"", Compiler:""gc"", Platform:""darwin/amd64""}
Server Version: version.Info{Major:""1"", Minor:""7"", GitVersion:""v1.7.0"", GitCommit:""d3ada0119e776222f11ec7945e6d860061339aad"", GitTreeState:""clean"", BuildDate:""2017-07-26T00:12:31Z"", GoVersion:""go1.8.3"", Compiler:""gc"", Platform:""linux/amd64""}
```",closed,False,2017-08-08 12:21:27,2018-01-31 13:48:42
apiextensions-apiserver,gouthamve,https://github.com/kubernetes/apiextensions-apiserver/issues/7,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/7,Long name registers but shortname doesn't,"Related to #5 #6 

Here there are TPRs with version `v1alpha1` and a CRD with the same group but version `v1`. There used to be a prometheus TPR with `v1alpha1` but that was deleted and a CRD was created in its place. 

Are there chances that we are somehow still routing requests to the TPR?

```
➜  prometheus-operator git:(v1-move) ✗ kc get customresourcedefinition -oyaml
apiVersion: v1
items:
- apiVersion: apiextensions.k8s.io/v1beta1
  kind: CustomResourceDefinition
  metadata:
    creationTimestamp: 2017-08-10T03:37:14Z
    name: prometheuses.monitoring.coreos.com
    namespace: """"
    resourceVersion: ""35219""
    selfLink: /apis/apiextensions.k8s.io/v1beta1/customresourcedefinitions/prometheuses.monitoring.coreos.com
    uid: 3379b97d-7d7d-11e7-9b87-080027e7de4b
  spec:
    group: monitoring.coreos.com
    names:
      kind: Prometheus
      listKind: PrometheusList
      plural: prometheuses
      shortNames:
      - prom
      singular: prometheus
    scope: Namespaced
    version: v1
  status:
    acceptedNames:
      kind: Prometheus
      listKind: PrometheusList
      plural: prometheuses
      shortNames:
      - prom
      singular: prometheus
    conditions:
    - lastTransitionTime: null
      message: no conflicts found
      reason: NoConflicts
      status: ""True""
      type: NamesAccepted
    - lastTransitionTime: 2017-08-10T03:37:14Z
      message: the initial names have been accepted
      reason: InitialNamesAccepted
      status: ""True""
      type: Established
kind: List
metadata:
  resourceVersion: """"
  selfLink: """"
```
```
➜  prometheus-operator git:(v1-move) ✗ kc get prometheus; kc get prom
No resources found.
the server doesn't have a resource type ""prom""
➜  prometheus-operator git:(v1-move) ✗ kc get crd
the server doesn't have a resource type ""crd""
```
```
➜  prometheus-operator git:(v1-move) ✗ kc get thirdpartyresources -oyaml
apiVersion: v1
items:
- apiVersion: extensions/v1beta1
  description: Managed Alertmanager cluster
  kind: ThirdPartyResource
  metadata:
    creationTimestamp: 2017-08-10T03:34:30Z
    name: alertmanager.monitoring.coreos.com
    namespace: """"
    resourceVersion: ""35020""
    selfLink: /apis/extensions/v1beta1/thirdpartyresources/alertmanager.monitoring.coreos.com
    uid: d1bcf01b-7d7c-11e7-9b87-080027e7de4b
  versions:
  - name: v1alpha1
- apiVersion: extensions/v1beta1
  description: Prometheus monitoring for a service
  kind: ThirdPartyResource
  metadata:
    creationTimestamp: 2017-08-10T03:34:30Z
    name: service-monitor.monitoring.coreos.com
    namespace: """"
    resourceVersion: ""35026""
    selfLink: /apis/extensions/v1beta1/thirdpartyresources/service-monitor.monitoring.coreos.com
    uid: d1f053d2-7d7c-11e7-9b87-080027e7de4b
  versions:
  - name: v1alpha1
kind: List
metadata:
  resourceVersion: """"
  selfLink: """"
```",closed,False,2017-08-10 03:47:29,2018-03-09 21:21:33
apiextensions-apiserver,mad01,https://github.com/kubernetes/apiextensions-apiserver/issues/8,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/8,client-go example does not build if moved out from this repo,"if you are tracking head of the k8s.io dependencies it's not building. if moved out form project dir 
```
$ go build 
./main.go:50: cannot use config (type *""k8s.io/client-go/rest"".Config) as type *""k8s.io/apiextensions-apiserver/vendor/k8s.io/client-go/rest"".Config in argument to clientset.NewForConfig
./main.go:66: cannot use config (type *""k8s.io/client-go/rest"".Config) as type *""k8s.io/apiextensions-apiserver/vendor/k8s.io/client-go/rest"".Config in argument to client.NewClient
./main.go:85: cannot use ""k8s.io/apimachinery/pkg/apis/meta/v1"".ObjectMeta literal (type ""k8s.io/apimachinery/pkg/apis/meta/v1"".ObjectMeta) as type ""k8s.io/apiextensions-apiserver/vendor/k8s.io/apimachinery/pkg/apis/meta/v1"".ObjectMeta in field value
```",closed,False,2017-08-10 12:02:07,2018-01-16 14:54:30
apiextensions-apiserver,ash2k,https://github.com/kubernetes/apiextensions-apiserver/issues/9,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/9,Ensure CRD exists helper,"There is a helper method in the example that creates a CRD and waits for it to be established. I have a similar method but a bit more sophisticated (uses a lister instead of a rest client, handles a number of edge cases like conflicts, can update CRD if it does not match). If there is interest I can submit a PR with it. Perhaps will need to make it more flexible first.

Existing code: https://github.com/kubernetes/apiextensions-apiserver/blob/master/examples/client-go/client/cr.go#L38

My version: https://github.com/atlassian/smith/blob/master/pkg/resources/crd_helpers.go#L38",closed,False,2017-08-10 13:13:25,2018-07-07 20:55:12
apiextensions-apiserver,fabiand,https://github.com/kubernetes/apiextensions-apiserver/issues/10,https://api.github.com/repos/kubernetes/apiextensions-apiserver/issues/10,CRDs can not be created with `apply`,"The following `apply` call fails for me, but `creat`ing the same file works.

```
$ k apply -f /var/tmp/kubevirt-demo/kubevirt/manifests/vm-resource.yaml
error: unable to decode ""/var/tmp/kubevirt-demo/kubevirt/manifests/vm-resource.yaml"": no kind ""CustomResourceDefinition"" is registered for version ""apiextensions.k8s.io/v1beta1""
```

on a minikube:
```
$ minikube start --vm-driver kvm --network-plugin cni --iso-url https://storage.googleapis.com/minikube-builds/1846/minikube-testing.iso
Starting local Kubernetes v1.7.0 cluster...
Starting VM...
Getting VM IP address...
Moving files into cluster...
Setting up certs...
Starting cluster components...
Connecting to cluster...
Setting up kubeconfig...
Kubectl is now configured to use the cluster.

$ k api-versions
admissionregistration.k8s.io/v1alpha1
apiextensions.k8s.io/v1beta1
apiregistration.k8s.io/v1beta1
apps/v1beta1
authentication.k8s.io/v1
authentication.k8s.io/v1beta1
authorization.k8s.io/v1
authorization.k8s.io/v1beta1
autoscaling/v1
autoscaling/v2alpha1
batch/v1
batch/v2alpha1
certificates.k8s.io/v1beta1
extensions/v1beta1
networking.k8s.io/v1
policy/v1beta1
rbac.authorization.k8s.io/v1alpha1
rbac.authorization.k8s.io/v1beta1
settings.k8s.io/v1alpha1
storage.k8s.io/v1
storage.k8s.io/v1beta1
v1
```",closed,False,2017-08-21 09:53:52,2017-08-23 18:53:14
