name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
cloud-provider-vsphere,jessfraz,https://github.com/kubernetes/cloud-provider-vsphere/issues/1,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/1,Create a SECURITY_CONTACTS file.,"As per the email sent to kubernetes-dev[1], please create a SECURITY_CONTACTS
file.

The template for the file can be found in the kubernetes-template repository[2].
A description for the file is in the steering-committee docs[3], you might need
to search that page for ""Security Contacts"".

Please feel free to ping me on the PR when you make it, otherwise I will see when
you close this issue. :)

Thanks so much, let me know if you have any questions.

(This issue was generated from a tool, apologies for any weirdness.)

[1] https://groups.google.com/forum/#!topic/kubernetes-dev/codeiIoQ6QE
[2] https://github.com/kubernetes/kubernetes-template-project/blob/master/SECURITY_CONTACTS
[3] https://github.com/kubernetes/community/blob/master/committee-steering/governance/sig-governance-template-short.md
",closed,False,2018-05-24 14:43:19,2018-06-04 16:00:14
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/2,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/2,Enable Prow automation in the repo,"As subject says, Prow automation needs to be enabled for this repo before starting accepting PRs and such.",closed,False,2018-05-25 13:31:20,2018-06-04 16:44:57
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/pull/3,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/3,Add Fabio and Doug as approvers,Fixes: #1 ,closed,True,2018-06-04 13:02:14,2018-06-04 16:00:15
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/pull/4,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/4,Add initial repo layout with CCM prototype,"Create scaffolding for repo, with initial CCM prototype (thanks to cloud-provider-openstack)",closed,True,2018-06-06 11:47:10,2018-06-07 18:34:25
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/5,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/5,Create manifests to deploy CCM as pod or daemonset,For reference: https://github.com/kubernetes/cloud-provider-openstack/tree/master/manifests/controller-manager,closed,False,2018-06-12 16:33:42,2018-07-24 16:29:56
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/6,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/6,Enable the use of Kubernetes secrets to store passwords for CCM,"We should allow users to store infrastructure secrets in the right place.

/kind feature",closed,False,2018-06-19 13:14:18,2018-08-06 15:10:45
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/7,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/7,Import in-tree cloud provider code in codebase,"As opposed to vendoring the code from k/k.

/kind feature
",closed,False,2018-06-19 14:24:58,2018-07-24 09:11:36
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/8,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/8,Setup a CI job to push latest images to dockerhub,"Makefile has a `make images` target that builds a CCM container based on `photon:2.0`.

It would be great to get the ball rolling with CI creating a job that runs a build and pushes the resulting image to dockerhub.

/kind feature
",closed,False,2018-06-20 19:29:00,2018-09-26 15:53:30
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/9,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/9,Create CCM documentation as specified in KEP 0002,"ref: https://github.com/kubernetes/community/blob/master/keps/sig-cloud-provider/0002-cloud-controller-manager.md#implementation-detailsnotesconstraints

/kind feature",closed,False,2018-06-20 20:50:43,2019-03-06 17:33:37
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/10,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/10,Set up unit testing for CCM code,"This would ideally run a `make test` on the tide testing infrastructure, this issue is for the creation of the hook, `make test` can be a noop for now.

/kind feature
/help",closed,False,2018-06-20 20:54:24,2018-08-06 15:06:59
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/11,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/11,Refactor NodeManager to use PropertyCollector,"Currently state changes within vCenter are discovered by discovering/manually fetching the Moref and then polling the object for changes, we should refactor this code to use the `PropertyCollector` service offered in vCenter >4.1

/kind feature
",closed,False,2018-07-09 13:37:06,2018-08-23 00:04:05
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/pull/12,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/12,Add refactoring design doc,Add documentation for the refactoring work,closed,True,2018-07-10 13:35:37,2018-07-16 20:43:52
cloud-provider-vsphere,aojea,https://github.com/kubernetes/cloud-provider-vsphere/issues/13,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/13,Missing CONTRIBUTING.md file,"All K8s subrepositories should have a CONTRIBUTING.md file, which at the minimum should point to https://github.com/kubernetes/community/blob/master/contributors/guide/README.md. Care should be taken that all information is in sync with the contributor guide.

Subrepositories may also have contributing guidelines specific to that repository. They should be explicitly documented and explained in the CONTRIBUTING.md

Ref:  https://github.com/kubernetes/community/issues/1832",closed,False,2018-07-16 09:23:24,2018-07-19 07:55:43
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/pull/14,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/14,Initial working CCM prototype,"This is an initial stab at code refactoring, the provider is registering nodes successfully but code requires a lot of cleanup. It also imports code from in-tree as #7 requires.",closed,True,2018-07-16 20:53:48,2018-07-23 20:22:47
cloud-provider-vsphere,fanzhangio,https://github.com/kubernetes/cloud-provider-vsphere/issues/15,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/15,Create vcpctl tool to facilitate CCM provisioning,"**FEATURE REQUEST**:

>
> /kind feature

Deploying a cloud provider on vSphere is a task that has many prerequisites, from creating a user with correct roles on vCenter, to creating a correct configuration for the service. When migrating users from the in-tree version there's also a need to convert configuration files and to make sure sensitive credentials are stored safely.

The tool should fulfill these needs:

- [x] Perform vSphere configuration health check:
  - disk.uuid set on esx

- [x] Create vSphere role with minimal set of permissions
- [x] Create vSphere solution user (generate keypair), to be used with CCM

",closed,False,2018-07-17 23:24:26,2018-09-11 10:15:56
cloud-provider-vsphere,nikhita,https://github.com/kubernetes/cloud-provider-vsphere/pull/16,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/16,Add CONTRIBUTING.md,"Fixes https://github.com/kubernetes/cloud-provider-vsphere/issues/13
xref https://github.com/kubernetes/community/issues/1832

/assign frapposelli 

**Release note**:
<!--  Steps to write your release note:
1. Use the release-note-* labels to set the release note state (if you have access)
2. Enter your extended release note in the below block; leaving it blank means using the PR title as the release note. If no release note is required, just write `NONE`.
-->
```release-note
NONE
```
",closed,True,2018-07-19 05:21:20,2018-07-19 08:00:45
cloud-provider-vsphere,dvonthenen,https://github.com/kubernetes/cloud-provider-vsphere/issues/17,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/17,Allow Pushing Images with Latest Tag,"**Is this a BUG REPORT or FEATURE REQUEST?**:
 /kind feature

**What happened**:
When running `make upload-images`, docker images are pushed and tags based on the build hash.

**What you expected to happen**:
Having a tag on the build hash is fine, but I would also like to push with the tag `latest`. By default, I would be nice to push both the build tag and latest tag. Not ideal but acceptable would be optionally pushing a `latest` tag.

The reason why this is needed is because by not pushing with the `latest` tag means for each build I need to update my YAML to append the build tag (example `12a86808`) to the image name (ie `dvonthenen/vsphere-cloud-controller-manager:12a86808`).

**How to reproduce it (as minimally and precisely as possible)**:
Run `make upload-images`

**Anything else we need to know?**:
Nope

**Environment**:
- vsphere-cloud-controller-manager version: Based on https://github.com/kubernetes/cloud-provider-vsphere/pull/14/files
- OS (e.g. from /etc/os-release): CentOS 7.X
- Kernel (e.g. `uname -a`): meh
- Install tools:
- Others: Kubernetes 1.11.1
",closed,False,2018-07-20 17:10:43,2018-07-24 16:51:56
cloud-provider-vsphere,dvonthenen,https://github.com/kubernetes/cloud-provider-vsphere/pull/18,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/18,RBAC for DS and Pod Deployment of CCM,"**What this PR does / why we need it**:
Adds a simple pod-based deployment instead of using a DaemonSet.
Provider roles and bindings for RBAC that support both the DS and POD deployment.

**Which issue this PR fixes**: fixes https://github.com/kubernetes/cloud-provider-vsphere/issues/5

**Special notes for your reviewer**: None",closed,True,2018-07-23 18:56:09,2018-07-23 19:49:22
cloud-provider-vsphere,dvonthenen,https://github.com/kubernetes/cloud-provider-vsphere/pull/19,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/19,RBAC for DS and Pod Deployment of CCM,"**What this PR does / why we need it**:
Adds a simple pod-based deployment instead of using a DaemonSet.
Provider roles and bindings for RBAC that support both the DS and POD deployment.

**Which issue this PR fixes**: fixes https://github.com/kubernetes/cloud-provider-vsphere/issues/5

**Special notes for your reviewer**: None
",closed,True,2018-07-23 19:54:23,2018-07-23 19:54:40
cloud-provider-vsphere,dvonthenen,https://github.com/kubernetes/cloud-provider-vsphere/pull/20,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/20,RBAC for DS and Pod Deployment of CCM,"**What this PR does / why we need it**:
Adds a simple pod-based deployment instead of using a DaemonSet.
Provider roles and bindings for RBAC that support both the DS and POD deployment.

**Which issue this PR fixes**: fixes https://github.com/kubernetes/cloud-provider-vsphere/issues/5

**Special notes for your reviewer**: None
",closed,True,2018-07-23 19:55:10,2018-07-24 16:34:05
cloud-provider-vsphere,dvonthenen,https://github.com/kubernetes/cloud-provider-vsphere/pull/21,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/21,Allow Pushing Images with Latest Tag,"**What this PR does / why we need it**:
The reason why this is needed is because by not pushing with the latest tag means for each build I need to update my YAML to append the build tag (example 12a86808) to the image name (ie dvonthenen/vsphere-cloud-controller-manager:12a86808). Having latest allows users to deploy the latest cloud provider without having to modify the YAML file in the manifest directory every single time.

**Which issue this PR fixes**: fixes https://github.com/kubernetes/cloud-provider-vsphere/issues/17

**Special notes for your reviewer**: None
",closed,True,2018-07-24 15:22:00,2018-07-24 15:26:57
cloud-provider-vsphere,dvonthenen,https://github.com/kubernetes/cloud-provider-vsphere/pull/22,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/22,Allow using latest tag for docker push,"**What this PR does / why we need it**:
The reason why this is needed is by not pushing with the latest tag means for each build I need to update my YAML to append the build tag (example 12a86808) to the image name (ie dvonthenen/vsphere-cloud-controller-manager:12a86808). Having latest allows users to deploy the latest cloud provider without having to modify the YAML file in the manifest directory every single time.

**Which issue this PR fixes**: fixes https://github.com/kubernetes/cloud-provider-vsphere/issues/17

**Special notes for your reviewer**: None
",closed,True,2018-07-24 15:27:54,2018-07-24 17:00:19
cloud-provider-vsphere,frapposelli,https://github.com/kubernetes/cloud-provider-vsphere/issues/23,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/23,Code cleanup,"**Is this a BUG REPORT or FEATURE REQUEST?**:

/kind feature

**What happened**:

The packages under `pkg/` have some dead code in them and are in general bad shape.

**What you expected to happen**:

A clean up to be perfomed: removal of dead code, code optimization, removal of redundant code paths.

**Anything else we need to know?**:

/cc @akutz",closed,False,2018-07-25 16:34:39,2018-07-27 23:00:58
cloud-provider-vsphere,akutz,https://github.com/kubernetes/cloud-provider-vsphere/issues/24,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/24,Committing vendor,"/kind feature

Have the project maintainers considered committing vendor? It tends to make project management much easier.",closed,False,2018-07-25 18:24:42,2018-07-28 17:07:01
cloud-provider-vsphere,akutz,https://github.com/kubernetes/cloud-provider-vsphere/pull/25,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/25,docs: Update README with build tips,"**What this PR does / why we need it**: This patch updates the README file with a section about building the project locally. The new section outlines the correct location to which to clone the repository and the preferred method to build the provider.

**Which issue this PR fixes** *(optional, in `fixes #<issue number>(, fixes #<issue_number>, ...)` format, will close that issue when PR gets merged)*: NA

**Special notes for your reviewer**:

**Release note**:
```release-note
NONE
```",closed,True,2018-07-26 15:15:12,2018-07-26 15:17:15
cloud-provider-vsphere,akutz,https://github.com/kubernetes/cloud-provider-vsphere/pull/26,https://api.github.com/repos/kubernetes/cloud-provider-vsphere/issues/26,"fix: Sets Makefile default target to ""all: build""","**What this PR does / why we need it**: This patch updates the default target in the Makefile to be ""all"" which depends on ""build"". This is a standard target graph in Makefiles.

Currently the `Makefile`'s default target is `$(GOBIN)` which is a directory path. For many reasons directory targets do not make the best Makefile targets *or* dependencies (unless order-only), but this is also not a user-friendly choice for the default target. Executing `make` should not yield `nothing to be done` on a clean system with an existing `$GOPATH/bin` directory.

**Which issue this PR fixes** *(optional, in `fixes #<issue number>(, fixes #<issue_number>, ...)` format, will close that issue when PR gets merged)*: NA

**Special notes for your reviewer**:

**Release note**:
```release-note
NONE
```",closed,True,2018-07-27 20:53:45,2018-08-09 16:52:00
