name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
community,mattfarina,https://github.com/kubernetes/community/pull/1,https://api.github.com/repos/kubernetes/community/issues/1,Added base structure with example,"- Add contribution guidelines
- Updates readme with slack and SIG list
- Migrates available SIG missions
- Adds community meeting as basic example

Ping @sarahnovotny @spiffxp 
",closed,True,2016-05-11 16:10:28,2016-05-11 16:47:57
community,mattfarina,https://github.com/kubernetes/community/pull/2,https://api.github.com/repos/kubernetes/community/issues/2,Adding SIG Apps,"/cc @sarahnovotny @technosophos @michelleN

When SIG Apps is approved (if now already).
",closed,True,2016-05-11 18:39:14,2016-05-13 15:12:05
community,spiffxp,https://github.com/kubernetes/community/pull/3,https://api.github.com/repos/kubernetes/community/issues/3,Port over SIG table/docs from kubernetes.wiki,"See individual commits for details
",closed,True,2016-05-12 22:47:12,2016-05-12 23:08:37
community,spiffxp,https://github.com/kubernetes/community/pull/4,https://api.github.com/repos/kubernetes/community/issues/4,sig-testing meets on tuesdays,"whoops, missed this in all the commotion with #3
",closed,True,2016-05-13 17:56:35,2016-05-16 16:57:48
community,mattfarina,https://github.com/kubernetes/community/pull/5,https://api.github.com/repos/kubernetes/community/issues/5,Updated sig-apps group and slack,,closed,True,2016-05-16 11:34:03,2016-05-29 22:03:51
community,mattfarina,https://github.com/kubernetes/community/pull/6,https://api.github.com/repos/kubernetes/community/issues/6,Adding minutes for past 2 meetings,"@michelleN any additions or changes?
",closed,True,2016-05-26 01:13:59,2016-05-31 17:26:41
community,michelleN,https://github.com/kubernetes/community/pull/7,https://api.github.com/repos/kubernetes/community/issues/7,add agenda and recording for may 25th,,closed,True,2016-05-31 20:12:24,2016-06-01 15:50:43
community,idvoretskyi,https://github.com/kubernetes/community/pull/8,https://api.github.com/repos/kubernetes/community/issues/8,Created list of the OpenStack SIG team members.,"As GitHub doesn't allow to view the list of team members within an organization for the users, who are not the members of the organization, this list has been created to be viewable by everyone.
",closed,True,2016-06-02 07:07:26,2016-06-09 12:56:30
community,michelleN,https://github.com/kubernetes/community/pull/9,https://api.github.com/repos/kubernetes/community/issues/9,add minutes for 06-08-16,"- \+ update agenda
",closed,True,2016-06-09 23:21:01,2016-06-10 15:37:19
community,michelleN,https://github.com/kubernetes/community/pull/10,https://api.github.com/repos/kubernetes/community/issues/10,update Agenda for 1st 1/2 of july,,closed,True,2016-06-10 15:36:10,2016-06-14 14:05:40
community,tmrts,https://github.com/kubernetes/community/pull/11,https://api.github.com/repos/kubernetes/community/issues/11,Add sig-rktnetes to the list of SIGs,,closed,True,2016-06-17 15:57:58,2016-06-17 21:31:52
community,xsgordon,https://github.com/kubernetes/community/pull/12,https://api.github.com/repos/kubernetes/community/issues/12,Update OpenStack SIG meeting times,,closed,True,2016-06-23 14:52:56,2016-06-23 14:54:33
community,michelleN,https://github.com/kubernetes/community/pull/13,https://api.github.com/repos/kubernetes/community/issues/13,"add minutes for 6/15, 6/22","- update agenda

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/kubernetes/community/13)

<!-- Reviewable:end -->
",closed,True,2016-06-23 17:50:03,2016-06-24 13:35:55
community,michelleN,https://github.com/kubernetes/community/pull/14,https://api.github.com/repos/kubernetes/community/issues/14,update agenda for 7/13,,closed,True,2016-06-28 20:00:03,2016-06-28 20:32:55
community,rothgar,https://github.com/kubernetes/community/issues/15,https://api.github.com/repos/kubernetes/community/issues/15,Community office hours should be added to calendar,"I randomly found The [community office hours](https://www.youtube.com/watch?v=nKHYnvTr7LE) video from [@sarahnovotny's retweet](https://twitter.com/surajd_/status/748091857071026176)

They should be added to the [shared calendar](https://calendar.google.com/calendar/embed?src=cgnt364vd8s86hr2phapfjc6uk%40group.calendar.google.com&ctz=America/Los_Angeles) so people can get involved, ask questions, etc.
",closed,False,2016-06-29 14:54:11,2016-06-30 21:35:11
community,rothgar,https://github.com/kubernetes/community/issues/16,https://api.github.com/repos/kubernetes/community/issues/16,time.is site reliance,"I found [links to time.is](https://github.com/kubernetes/community/tree/master/community) for checking timezones in localtime. The site is currently down.

It's not a big deal but maybe we could move to something more reliable. [Google search perhaps](https://www.google.com/search?q=1000+am+in+pst)? :clock10: 
",closed,False,2016-06-29 14:57:42,2016-09-17 22:04:43
community,michelleN,https://github.com/kubernetes/community/pull/17,https://api.github.com/repos/kubernetes/community/issues/17,add minutes for 6/29/16,"- update agenda
",closed,True,2016-06-29 19:48:05,2016-06-29 20:36:16
community,michelleN,https://github.com/kubernetes/community/pull/18,https://api.github.com/repos/kubernetes/community/issues/18,update agenda for 7/6/16,"- add another agenda link to README

cc/ @mattfarina 
",closed,True,2016-06-30 00:38:15,2016-06-30 15:15:53
community,MHBauer,https://github.com/kubernetes/community/pull/19,https://api.github.com/repos/kubernetes/community/issues/19,replace calendar link with zoom link,"I think the last link is supposed to be to the zoom community meeting directly.

Also formatted the paragraph so it's not a giant blob. 
",closed,True,2016-06-30 18:49:19,2016-06-30 21:33:35
community,bryk,https://github.com/kubernetes/community/pull/20,https://api.github.com/repos/kubernetes/community/issues/20,Update meeting schedule for SIG-UI,,closed,True,2016-07-01 06:26:19,2016-07-01 07:55:06
community,roberthbailey,https://github.com/kubernetes/community/pull/21,https://api.github.com/repos/kubernetes/community/issues/21,Add the cluster lifecycle SIG to the Kubernetes community documentation.,,closed,True,2016-07-01 22:04:51,2016-07-11 12:35:02
community,michelleN,https://github.com/kubernetes/community/pull/22,https://api.github.com/repos/kubernetes/community/issues/22,add minutes for 7/6/16 sig-apps,"cc/ @mattfarina 
",closed,True,2016-07-06 17:14:03,2016-07-06 19:44:35
community,lukemarsden,https://github.com/kubernetes/community/pull/23,https://api.github.com/repos/kubernetes/community/issues/23,"Update ""How to start a SIG"" to include proposing it first","As discussed with @sarahnovotny 
",closed,True,2016-07-11 16:11:27,2016-07-11 17:41:25
community,philips,https://github.com/kubernetes/community/pull/24,https://api.github.com/repos/kubernetes/community/issues/24,community: sig-cluster-lifecycle: add weekly meeting,,closed,True,2016-07-12 15:46:12,2016-07-12 16:09:58
community,sarahnovotny,https://github.com/kubernetes/community/pull/25,https://api.github.com/repos/kubernetes/community/issues/25,update SIG-cluster-lifecycle and SIG-cluster-ops,,closed,True,2016-07-12 16:02:37,2016-07-12 17:18:42
community,sarahnovotny,https://github.com/kubernetes/community/pull/26,https://api.github.com/repos/kubernetes/community/issues/26,updated leads,,closed,True,2016-07-12 16:05:48,2016-07-12 17:18:33
community,simonswine,https://github.com/kubernetes/community/pull/27,https://api.github.com/repos/kubernetes/community/issues/27,Adds meeting links for SIG-CLUSTER-LIFECYCLE,,closed,True,2016-07-12 16:07:31,2016-07-12 17:18:20
community,sarahnovotny,https://github.com/kubernetes/community/issues/28,https://api.github.com/repos/kubernetes/community/issues/28,Kubernetes Elders Council - proposal,"**Problem**:  As the Kubernetes project has pivoted from a Company run open source project to a Foundation owned and community inclusive project, there have been growing pains.  The perceptions of Googler who have more structure and visibility into most of the operational aspects of the projects differ greatly from the perspectives of most of the community members - particularly new project contributors and interested project contributors.  Google intentionally chose not to have a BDFL for all the down sides that has, but a confused “power vacuum” has evolved.  The organic structure appears to a newcomer to be opaque, relationship based and full of cronyism.  There is no clear starting point progression in the project or escalation for conflict resolution etc.  Long standing (primarily Google employed) contributors feel that newcomers are all focused on specific features and aren’t stepping up to contribute to the more material and growing backlog of housekeeping, management, and organizational health tasks.

**Goals** :  Establish clear cultural, technical, and team leadership as well as act as an escalation point with a “last say” on any contentious issues.   

**Requirements**: This group should have a long standing history with the project,  good people management skills, strong technical vision for the project and empathy for the user and FOSS developer perspective.  

**Instantiation**:   The first seed incarnation of the Elders will be voted in as a slate of 3 Elders with a 2 year term (ending August 2018) through the Community Meeting and on the mailing list kubernetes-dev@.  During the first year, the Elders will add 2 members (with a term ending August 2017) to their group for a total of 5 members.

**Refreshes**:  In August each year subsequent the community will vote on the seats which term out.  All positions voted on will have a 2 year term.  The voting will be handled using Condorcet voting and a service such as [CIVS](http://civs.cs.cornell.edu/).  Voter eligibility must be defined, and will require registration during a public registration period.  Nominations for candidates will be accepted for one week prior to the voting period.   

**Resignations**:  In the event that an elder resigns, the remaining elders will appoint a successor to serve until the next scheduled vote.

**Known Issues**:  Elder nomination process. Voter eligibility.
",closed,False,2016-07-14 14:58:12,2017-05-25 17:58:22
community,michelleN,https://github.com/kubernetes/community/pull/29,https://api.github.com/repos/kubernetes/community/issues/29,sig-apps: add 7/13 mins,"- update agenda
",closed,True,2016-07-18 23:02:09,2016-07-20 15:17:26
community,yifan-gu,https://github.com/kubernetes/community/pull/30,https://api.github.com/repos/kubernetes/community/issues/30,README.md: Add google group and mailing list,,closed,True,2016-07-19 00:07:29,2017-08-18 18:59:43
community,michelleN,https://github.com/kubernetes/community/pull/31,https://api.github.com/repos/kubernetes/community/issues/31,"sig-apps: add minutes from july 20, 2016","- update agenda
",closed,True,2016-07-26 19:54:31,2016-07-26 20:12:14
community,mattfarina,https://github.com/kubernetes/community/pull/32,https://api.github.com/repos/kubernetes/community/issues/32,"SIG Apps: minutes from July 27, 2016",,closed,True,2016-07-27 20:33:54,2016-07-27 21:01:02
community,michelleN,https://github.com/kubernetes/community/pull/33,https://api.github.com/repos/kubernetes/community/issues/33,sig-apps: update agenda for aug 3,,closed,True,2016-07-28 15:41:16,2016-07-29 13:37:11
community,sarahnovotny,https://github.com/kubernetes/community/pull/34,https://api.github.com/repos/kubernetes/community/issues/34,Update README.md,"added @deads2k to the sig-api-machinery leads
",closed,True,2016-08-03 18:49:36,2016-08-03 20:02:59
community,xsgordon,https://github.com/kubernetes/community/pull/35,https://api.github.com/repos/kubernetes/community/issues/35,Correct OpenStack SIG Meeting time on Index page,,closed,True,2016-08-03 19:05:07,2016-08-03 19:18:09
community,rootfs,https://github.com/kubernetes/community/pull/36,https://api.github.com/repos/kubernetes/community/issues/36,create sig-azure,"Creating sig-azure to focus on Microsoft Azure issues.

@colemickens @brendandburns 
",closed,True,2016-08-04 20:28:10,2017-01-23 22:15:18
community,DFFlanders,https://github.com/kubernetes/community/pull/37,https://api.github.com/repos/kubernetes/community/issues/37,Update SIG-members.md,"added myself
",closed,True,2016-08-09 10:15:49,2016-09-02 12:26:35
