name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
dns,bowei,https://github.com/kubernetes/dns/pull/1,https://api.github.com/repos/kubernetes/dns/issues/1,Move dnsmasq-metrics from contrib; rename to `sidecar`,,closed,True,2016-12-19 19:57:10,2016-12-19 21:16:29
dns,bowei,https://github.com/kubernetes/dns/pull/2,https://api.github.com/repos/kubernetes/dns/issues/2,Add README.md from dnsmasq-metrics,,closed,True,2016-12-19 21:28:13,2016-12-19 21:36:20
dns,bowei,https://github.com/kubernetes/dns/pull/3,https://api.github.com/repos/kubernetes/dns/issues/3,Small tweaks,"* add VERSION to the build stamps
* add travis build badge to the README",closed,True,2016-12-19 21:49:25,2016-12-19 21:55:25
dns,bowei,https://github.com/kubernetes/dns/pull/4,https://api.github.com/repos/kubernetes/dns/issues/4,Add record type option to --probe,"This allows for the query to be customized. kube-dns currently does
not handle ANY queries properly.",closed,True,2016-12-19 23:39:15,2016-12-19 23:42:23
dns,chentao1596,https://github.com/kubernetes/dns/pull/5,https://api.github.com/repos/kubernetes/dns/issues/5,Use formatting mode,"I think we should use formatting mode rather than plus, do you think so? thank you!",closed,True,2016-12-20 02:10:49,2016-12-21 18:19:10
dns,bowei,https://github.com/kubernetes/dns/pull/6,https://api.github.com/repos/kubernetes/dns/issues/6,Move dnsmasq image build from kubernetes/contrib to kubernetes/dns,,closed,True,2016-12-21 00:10:05,2016-12-23 00:04:01
dns,bowei,https://github.com/kubernetes/dns/pull/7,https://api.github.com/repos/kubernetes/dns/issues/7,Move dnsmasq image build from kubernetes/contrib to kubernetes/dns,This integrates the dnsmasq build process with the rest of the repo.,closed,True,2016-12-23 00:05:11,2016-12-23 00:29:53
dns,bowei,https://github.com/kubernetes/dns/pull/8,https://api.github.com/repos/kubernetes/dns/issues/8,Move dnsmasq image build from kubernetes/contrib to kubernetes/dns,This integrates the dnsmasq build process with the rest of the repo.,closed,True,2016-12-23 00:30:29,2016-12-23 00:42:58
dns,bowei,https://github.com/kubernetes/dns/issues/9,https://api.github.com/repos/kubernetes/dns/issues/9,Use glide instead of GoDep,Glide seems to be a better dependency management mechanism.,closed,False,2016-12-23 00:57:58,2017-01-04 19:45:36
dns,bowei,https://github.com/kubernetes/dns/issues/10,https://api.github.com/repos/kubernetes/dns/issues/10,Move kube-dns code over from kubernetes main repo,"Need to move the kube-dns files here. See the community proposal:

https://github.com/kubernetes/community/issues/172",closed,False,2016-12-23 00:58:53,2017-01-04 19:45:13
dns,bowei,https://github.com/kubernetes/dns/pull/11,https://api.github.com/repos/kubernetes/dns/issues/11,"Port over sidecar e2e to go, make more robust to flakes",,closed,True,2016-12-28 23:32:38,2016-12-29 01:22:19
dns,bowei,https://github.com/kubernetes/dns/pull/12,https://api.github.com/repos/kubernetes/dns/issues/12,WIP: try out gcloud,,closed,True,2016-12-29 00:39:19,2017-02-21 18:21:17
dns,bowei,https://github.com/kubernetes/dns/pull/13,https://api.github.com/repos/kubernetes/dns/issues/13,Ports sidecar e2e harness to go,,closed,True,2016-12-29 21:32:56,2016-12-29 22:24:13
dns,bowei,https://github.com/kubernetes/dns/pull/14,https://api.github.com/repos/kubernetes/dns/issues/14,Missing check for error after ReadAll,Caught by ineffassign,closed,True,2016-12-30 00:23:58,2016-12-30 00:28:21
dns,bowei,https://github.com/kubernetes/dns/pull/15,https://api.github.com/repos/kubernetes/dns/issues/15,Fix golint issue,Uneccessary `else`,closed,True,2016-12-30 00:31:01,2016-12-30 01:44:11
dns,chentao1596,https://github.com/kubernetes/dns/pull/16,https://api.github.com/repos/kubernetes/dns/issues/16,Fix some go style mistakes about fmt.Errorf,"I think we should follow this request: https://github.com/golang/go/wiki/CodeReviewComments#error-strings, thank you!",closed,True,2016-12-31 16:04:17,2017-01-04 06:35:39
dns,bowei,https://github.com/kubernetes/dns/pull/17,https://api.github.com/repos/kubernetes/dns/issues/17,Move kube-dns code to this repository,"This takes all of the git history from kubernetes repository and applies the patches to this repository.

",closed,True,2017-01-04 00:22:32,2017-01-04 00:37:02
dns,bowei,https://github.com/kubernetes/dns/pull/18,https://api.github.com/repos/kubernetes/dns/issues/18,Fix dnsmasq build (now links -static),"Also adds validation in `make test` that checks that dnsmasq can
be executed.",closed,True,2017-01-05 01:15:27,2017-01-05 01:29:57
dns,bowei,https://github.com/kubernetes/dns/pull/19,https://api.github.com/repos/kubernetes/dns/issues/19,update readme,,closed,True,2017-01-05 19:29:49,2017-01-05 19:35:09
dns,bowei,https://github.com/kubernetes/dns/pull/20,https://api.github.com/repos/kubernetes/dns/issues/20,Remove static linking -- build with alpine instead,"This really ensures that there are no issues with the build env vs
runtime environment.",closed,True,2017-01-05 21:38:00,2017-01-05 22:11:50
dns,xialonglee,https://github.com/kubernetes/dns/pull/21,https://api.github.com/repos/kubernetes/dns/issues/21,fix typo,"fix typo function comments
cc @brendandburns 

**ps:**
this pr is same with pr https://github.com/kubernetes/kubernetes/pull/38621 that not merged yet before moving codes of kube-dns to this repo.
i close the original one and open a new here",closed,True,2017-01-07 04:58:10,2017-01-07 06:05:38
dns,xialonglee,https://github.com/kubernetes/dns/pull/22,https://api.github.com/repos/kubernetes/dns/issues/22,fix kubecfg-file flag description of kube-dns,"this pr is same with https://github.com/kubernetes/kubernetes/pull/39314 that was not merged yet before moving codes of kube-dns to here.
so i open new one.",closed,True,2017-01-07 05:25:40,2017-01-09 22:36:44
dns,xialonglee,https://github.com/kubernetes/dns/pull/23,https://api.github.com/repos/kubernetes/dns/issues/23,Use const value,"same with https://github.com/kubernetes/kubernetes/pull/38955 that not merged yet.
open a new pr here.",closed,True,2017-01-07 05:40:40,2017-01-07 06:17:18
dns,bowei,https://github.com/kubernetes/dns/pull/24,https://api.github.com/repos/kubernetes/dns/issues/24,Adds DNS-schema specification,"Original patch: https://github.com/kubernetes/kubernetes/pull/38408

Add a DNS-schema spec to create a baseline for any DNS-based
service discovery component to follow.

Rewrite describing records that must exist

Re-wrote the specification to indicate the records that must exist.
This change the behavior of a few queries that were acting something
like wildcards. For example, querying for an SRV record with the
service name and no _port._proto prefix is no longer required to
return any records.

Other minor updates to link to external references and correct typos.

Fix formatting of headless SRV answer example.

Add reference to rcode

Add numbering, cleanup non-ASCII characters, address deprecation warning",closed,True,2017-01-10 06:33:47,2017-01-10 18:13:01
dns,sadlil,https://github.com/kubernetes/dns/pull/25,https://api.github.com/repos/kubernetes/dns/issues/25,Reverse DNS records for named headless services,"Add reverse DNS records for pods' IPs to named headless services' with Pod Hosts FQDN (`<podHostName>.<serviceName>.<namespace>.svc.cluster.local`).

Original PR: kubernetes/kubernetes#38376

Resolves Issues
 - kubernetes/kubernetes#26752
 - kubernetes/kubernetes#33470

Spec:
**Records for a Named Headless Service**
Type: PTR
f a ready endpoint exists with IP equal to the IP of exists, and the endpoint has a non-empty hostname with value <hostname>, then a PTR record with <hostname>.<service>.<ns>.svc.<zone> will be returned.

@thockin @bowei @smarterclayton @harryge00",closed,True,2017-01-11 06:33:01,2017-09-11 05:31:20
