name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
dns,https://api.github.com/repos/kubernetes/dns/pulls/1,https://github.com/kubernetes/dns/pull/1,bowei,Move dnsmasq-metrics from contrib; rename to `sidecar`,,"['bowei', 'MrHohn']",8,2016-12-19 19:57:10,2016-12-19 21:16:29,2016-12-23 00:55:07,True,2016-12-19 21:16:29,MrHohn,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/2,https://github.com/kubernetes/dns/pull/2,bowei,Add README.md from dnsmasq-metrics,,['MrHohn'],1,2016-12-19 21:28:13,2016-12-19 21:36:20,2016-12-19 21:36:20,True,2016-12-19 21:36:20,MrHohn,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/3,https://github.com/kubernetes/dns/pull/3,bowei,Small tweaks,"* add VERSION to the build stamps
* add travis build badge to the README",['MrHohn'],2,2016-12-19 21:49:25,2016-12-19 21:55:25,2016-12-19 21:55:25,True,2016-12-19 21:55:25,MrHohn,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/4,https://github.com/kubernetes/dns/pull/4,bowei,Add record type option to --probe,"This allows for the query to be customized. kube-dns currently does
not handle ANY queries properly.",['MrHohn'],1,2016-12-19 23:39:15,2016-12-19 23:42:23,2016-12-19 23:42:23,True,2016-12-19 23:42:23,MrHohn,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/5,https://github.com/kubernetes/dns/pull/5,chentao1596,Use formatting mode,"I think we should use formatting mode rather than plus, do you think so? thank you!",[],1,2016-12-20 02:10:49,2016-12-21 18:19:10,2016-12-22 13:18:24,True,2016-12-21 18:19:10,bowei,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/6,https://github.com/kubernetes/dns/pull/6,bowei,Move dnsmasq image build from kubernetes/contrib to kubernetes/dns,,[],0,2016-12-21 00:10:05,2016-12-23 00:04:01,2016-12-23 00:04:01,False,,,dirty,False,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/7,https://github.com/kubernetes/dns/pull/7,bowei,Move dnsmasq image build from kubernetes/contrib to kubernetes/dns,This integrates the dnsmasq build process with the rest of the repo.,['MrHohn'],2,2016-12-23 00:05:11,2016-12-23 00:29:53,2016-12-23 00:29:53,False,,,dirty,False,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/8,https://github.com/kubernetes/dns/pull/8,bowei,Move dnsmasq image build from kubernetes/contrib to kubernetes/dns,This integrates the dnsmasq build process with the rest of the repo.,['MrHohn'],2,2016-12-23 00:30:29,2016-12-23 00:42:58,2016-12-23 00:54:44,True,2016-12-23 00:42:58,MrHohn,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/11,https://github.com/kubernetes/dns/pull/11,bowei,"Port over sidecar e2e to go, make more robust to flakes",,['MrHohn'],1,2016-12-28 23:32:38,2016-12-29 01:22:19,2016-12-29 01:22:19,True,2016-12-29 01:22:19,MrHohn,unknown,,closed
dns,https://api.github.com/repos/kubernetes/dns/pulls/12,https://github.com/kubernetes/dns/pull/12,bowei,WIP: try out gcloud,,[],7,2016-12-29 00:39:19,2017-02-19 04:00:11,2017-02-21 18:21:17,False,,,dirty,False,closed
