name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
frakti,feiskyer,https://github.com/kubernetes/frakti/pull/1,https://api.github.com/repos/kubernetes/frakti/issues/1,"Add CONTRIBUTING, code-of-conduct and gitignore","Contributing COC and gitignore
",closed,True,2016-06-27 23:06:34,2016-06-28 08:40:07
frakti,resouer,https://github.com/kubernetes/frakti/pull/2,https://api.github.com/repos/kubernetes/frakti/issues/2,Update links in readme to WIP,"Fix a typo, and add a WIP label to api link.
",closed,True,2016-06-28 02:39:14,2016-06-28 08:35:55
frakti,resouer,https://github.com/kubernetes/frakti/pull/3,https://api.github.com/repos/kubernetes/frakti/issues/3,Fix wrong license title,"license title is broken by previous commit
",closed,True,2016-06-28 08:41:56,2016-06-28 08:48:20
frakti,resouer,https://github.com/kubernetes/frakti/pull/4,https://api.github.com/repos/kubernetes/frakti/issues/4,Refactor to new repo template,"Refactored to follow new repo template

Signed-off-by: Harry Zhang harryz@hyper.sh
",closed,True,2016-07-01 10:00:15,2016-07-04 03:13:44
frakti,resouer,https://github.com/kubernetes/frakti/pull/5,https://api.github.com/repos/kubernetes/frakti/issues/5,Add graph and todo,"Added a graph to show ""what is frakti""
",closed,True,2016-07-04 07:06:25,2016-07-04 08:22:19
frakti,feiskyer,https://github.com/kubernetes/frakti/pull/6,https://api.github.com/repos/kubernetes/frakti/issues/6,Remove WIP for Kubelet container runtime API,,closed,True,2016-07-20 06:59:10,2016-07-20 09:56:07
frakti,feiskyer,https://github.com/kubernetes/frakti/pull/7,https://api.github.com/repos/kubernetes/frakti/issues/7,Initial implementation of frakti,"Initial impl of frakti. This PR
- Listen frakti at local socket /var/run/frakti.sock
- Plugin framework of frakti
- Hyper as a plugin of frakti
",closed,True,2016-07-20 07:43:19,2016-08-02 08:22:02
frakti,feiskyer,https://github.com/kubernetes/frakti/issues/8,https://api.github.com/repos/kubernetes/frakti/issues/8,Container Runtime Interface integration with Hyper,"This document tracks the process of the container runtime interface integration with Hyper.
## Frakti core features
- [x] Manage pods/containers/images according to kubelet [new runtime API](https://github.com/kubernetes/kubernetes/tree/master/docs/proposals/runtime-client-server.md)
  - pod sandboxes
    - [x] create pod sandbox
    - [x] list pod sandbox
    - [x] delete pod sandbox #11 
    - [x] get pod sandbox’s status
  - containers
    - [x] create container
    - [x] start container
    - [x] stop container
    - [x] delete container
    - [x] list containers
    - [x] get container status
    - [x] exec in container
    - [x] port forwarding
    - [x] container logging
  - images
    - [x] list images
    - [x] pull image
    - [x] delete image
    - [x] get image status
- [ ] Hack scripts for easily setup a local enviroment
  - [x] hack/local-up-cluster.sh
  - [ ] Vagrant or minikube
- [x] testing
  - [x] Unit tests
  - [x] End-to-end tests
  - [x] Kubernetes node e2e tests
- [x] Cluster deployment
  - [x] Cluster deploy frakti for kubernetes clusters
- [x] Documentation
  - [x] Admin and user guide
  - [x] Frakti specific features which are different from Docker

## Requirements for Hyper
- [x] Container-level APIs: StartContainer/StopContainer https://github.com/hyperhq/hyperd/pull/445

## References
- [Container runtime interface planning](https://github.com/kubernetes/kubernetes/issues/28789)
- [Network plugin for client/server container runtimes](https://github.com/kubernetes/kubernetes/issues/28667)
- [Client/server container runtime proposal](https://github.com/kubernetes/kubernetes/tree/master/docs/proposals/runtime-client-server.md)
",closed,False,2016-07-28 06:47:06,2017-04-13 01:42:25
frakti,feiskyer,https://github.com/kubernetes/frakti/pull/9,https://api.github.com/repos/kubernetes/frakti/issues/9,Orgnize packages to pkg,"CC @resouer 
",closed,True,2016-08-03 06:33:41,2016-08-04 03:10:04
frakti,feiskyer,https://github.com/kubernetes/frakti/pull/10,https://api.github.com/repos/kubernetes/frakti/issues/10,Fix travis CI,"This PR enables CI for frakti and 
- add hack/verify-govet.sh
- add hack/test-go.sh

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/kubernetes/frakti/10)

<!-- Reviewable:end -->
",closed,True,2016-08-09 04:21:16,2016-08-13 01:58:35
frakti,xlgao-zju,https://github.com/kubernetes/frakti/pull/11,https://api.github.com/repos/kubernetes/frakti/issues/11,add delete pod,"A part of #8 

Signed-off-by: Xianglin Gao xlgao@zju.edu.cn

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/frakti/11)

<!-- Reviewable:end -->
",closed,True,2016-08-17 09:56:38,2016-08-22 06:23:43
