name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/1,https://github.com/kubernetes/gengo/pull/1,lavalamp,add .travis.yml,,[],1,2016-08-30 02:59:02,2016-08-30 03:04:40,2016-08-30 03:04:40,True,2016-08-30 03:04:40,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/2,https://github.com/kubernetes/gengo/pull/2,lavalamp,set import path in .travis.yml; fix import-boss,,[],4,2016-08-30 03:08:46,2016-08-30 03:57:33,2016-08-30 03:57:33,True,2016-08-30 03:57:33,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/3,https://github.com/kubernetes/gengo/pull/3,lavalamp,Travis,,[],2,2016-08-30 04:24:02,2016-08-30 04:25:39,2016-08-30 04:25:39,True,2016-08-30 04:25:39,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/4,https://github.com/kubernetes/gengo/pull/4,mbohlool,Add Finalize method to Generator interface.,,[],1,2016-09-02 22:31:14,2016-09-03 21:42:48,2016-09-03 21:42:48,True,2016-09-03 21:42:48,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/5,https://github.com/kubernetes/gengo/pull/5,lavalamp,"Channels deserve names, too",,['thockin'],1,2016-09-03 21:07:58,2016-09-06 05:58:52,2016-09-06 05:59:14,True,2016-09-06 05:58:52,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/6,https://github.com/kubernetes/gengo/pull/6,lavalamp,Only add to tracker if it's non-local,"Import tracker was supposed to handle this case, but it seems local package was never plumbed through. Maybe lost in the protobuf addition?
",['smarterclayton'],1,2016-09-06 05:57:53,,2018-02-26 05:12:15,False,,,unstable,True,open
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/7,https://github.com/kubernetes/gengo/pull/7,sttts,generated DeepCopy without a function on a struct pointer is wrong,"Cherry pick of https://github.com/kubernetes/kubernetes/pull/32049.
",['lavalamp'],1,2016-09-07 07:31:29,2016-09-07 16:48:49,2016-09-07 16:48:50,True,2016-09-07 16:48:49,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/8,https://github.com/kubernetes/gengo/pull/8,lavalamp,Cherrypick Unsorted List,"From https://github.com/kubernetes/kubernetes/pull/31112
",[],1,2016-09-07 23:21:40,2016-09-07 23:26:56,2016-09-07 23:26:56,True,2016-09-07 23:26:56,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/9,https://github.com/kubernetes/gengo/pull/9,lavalamp,make test happy for the moment,"We should probably move this directory in, but for now make the test green.
",[],1,2016-09-07 23:30:07,2016-09-07 23:40:44,2016-09-07 23:40:44,True,2016-09-07 23:40:44,lavalamp,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/10,https://github.com/kubernetes/gengo/pull/10,smarterclayton,Add a defaulter-gen that coalesces individual defaulters,"Creates top level SetObjectDefaults_ methods for specific types using
individual type defaulter functions (named `SetDefaults_TYPE`).

xref kubernetes/kubernetes#33352
","['lavalamp', 'mbohlool']",1,2016-09-25 03:50:50,2016-09-29 16:53:17,2016-09-29 16:53:17,True,2016-09-29 16:53:17,smarterclayton,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/12,https://github.com/kubernetes/gengo/pull/12,smarterclayton,Extract function comments,"Allows generators like defaulters and conversions to use information
about generated conversions.

@wojtek-t extracted from the unsafe conversions work
",[],1,2016-10-19 04:04:15,2016-10-24 06:54:39,2016-10-24 06:54:39,True,2016-10-24 06:54:39,wojtek-t,unknown,,closed
gengo,https://api.github.com/repos/kubernetes/gengo/pulls/13,https://github.com/kubernetes/gengo/pull/13,thockin,Fix go vet warning,"

<!-- Reviewable:start -->
This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/gengo/13)
<!-- Reviewable:end -->
",[],1,2016-10-24 06:58:14,2017-11-27 23:41:27,2017-11-27 23:41:27,False,,,unknown,,closed
