name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/1,https://github.com/kubernetes/git-sync/pull/1,thockin,Move git-sync to a new repo of its very own,"This just imports the existing state of contrib/git-sync into this new repo and scrubs paths for ""contrib"".  I have some further work I want to do on this sidecar, so I thought it was time to break it out.
",['mikedanese'],2,2016-08-20 23:23:47,2016-08-22 16:27:38,2016-08-22 22:56:56,True,2016-08-22 16:27:38,mikedanese,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/2,https://github.com/kubernetes/git-sync/pull/2,thockin,Overhaul git-sync,"This is a series of cleanups, bugfixes, and enhancements to git-sync.  I will be cleaning up the demo docs and adding some tests soon.  I'd like to get this to a 1.0 tagged release and never touch it again.

This can be reviewed commit-by-commit.  The git logic was tested (manually) extensively, but that doesn't mean I didn't miss something.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/2)

<!-- Reviewable:end -->
",['mikedanese'],14,2016-08-25 05:04:41,2016-09-16 16:06:01,2016-09-16 16:06:01,True,2016-09-16 16:06:01,mikedanese,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/5,https://github.com/kubernetes/git-sync/pull/5,thockin,bump to 2.0.0,"pushed to GCR

Fixes #3 

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/5)

<!-- Reviewable:end -->
",['mikedanese'],1,2016-10-02 03:25:39,2016-10-02 03:27:30,2016-10-02 03:27:30,True,2016-10-02 03:27:30,thockin,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/9,https://github.com/kubernetes/git-sync/pull/9,thockin,"Better flag help, error on bad --dest, v2.0.1","<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/9)

<!-- Reviewable:end -->
",['mikedanese'],1,2016-10-08 00:21:40,2016-10-08 00:21:59,2016-10-08 00:22:00,True,2016-10-08 00:21:59,thockin,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/12,https://github.com/kubernetes/git-sync/pull/12,thockin,Fix when a tag/rev moves,"I know this used to work.  I must have broken it at some point. Manually
verified for HEAD and a real tag.

Also fix some logging so it is less chatty by default.

Fixes #11

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/12)

<!-- Reviewable:end -->
",['mikedanese'],1,2016-10-13 04:48:08,2016-10-14 03:39:14,2016-10-14 03:39:14,True,2016-10-14 03:39:14,mikedanese,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/16,https://github.com/kubernetes/git-sync/pull/16,ursuad,Fixed updating from a specific branch,"This fixes #14 by fetching the revision from the correct branch.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/16)

<!-- Reviewable:end -->
",[],3,2016-10-27 10:53:23,2016-10-27 11:30:45,2016-10-27 11:30:45,False,,,dirty,False,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/17,https://github.com/kubernetes/git-sync/pull/17,ursuad,Fixed updating from a specific branch,"This fixes #14 by fetching the revision from the correct branch.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/17)

<!-- Reviewable:end -->
",[],2,2016-10-27 11:30:14,2016-10-28 14:54:35,2016-10-28 14:54:35,False,,,dirty,False,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/18,https://github.com/kubernetes/git-sync/pull/18,thockin,add a test,"@stp-ip can you say what part of this test doesn't work for you?  It passes for me.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/18)

<!-- Reviewable:end -->
",['mikedanese'],1,2016-10-27 17:21:31,2016-10-28 15:04:33,2016-10-28 16:41:11,True,2016-10-28 15:04:33,thockin,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/19,https://github.com/kubernetes/git-sync/pull/19,thockin,Fix non-master branches and tags,"This plus the test should ensure no regressions.  Git makes it tricky to do
some things on a remote that you would think to do on a local repo.
`ls-remote` gives me the info I need with only one test for ""HEAD"" vs anything
else.

Fixes #14 

@stp-ip
@ursuad

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/19)

<!-- Reviewable:end -->
",['mikedanese'],1,2016-10-28 15:06:48,2016-10-28 16:01:09,2016-10-28 16:01:09,True,2016-10-28 16:01:09,thockin,unknown,,closed
git-sync,https://api.github.com/repos/kubernetes/git-sync/pulls/20,https://github.com/kubernetes/git-sync/pull/20,thockin,Use build template,"Faster builds and versions from tags.  Also use alpine as a base image.  We  need alpine for other architectures...

Fixes #10 

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/20)

<!-- Reviewable:end -->
",['bowei'],1,2016-10-28 15:56:24,2016-10-31 08:39:34,2016-11-02 06:23:06,True,2016-10-31 08:39:34,stp-ip,unknown,,closed
