name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/1,https://api.github.com/repos/kubernetes/ingress-gce/issues/1,Handle forbiddenError for XPN clusters by raising event,,closed,True,2017-10-06 16:58:19,2018-04-18 19:33:16
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/2,https://api.github.com/repos/kubernetes/ingress-gce/issues/2,Update repo to be GCE specific,"Please review commit-by-commit.

FYI: viewing the history of a moved file requires using `git log --follow [file]`. From what I've googled, Github does not use `follow` when showing commit history.

Todo in separate PR:
 - Migrate to dep instead of godep, remove unnecessary vendored dependencies at the same time.
 - Move main.go into a `cmds/glbc` dir.",closed,True,2017-10-06 18:06:39,2018-04-18 19:33:15
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/3,https://api.github.com/repos/kubernetes/ingress-gce/issues/3,Fix issue when setting instance group named ports,"Found an issue regarding the recent change to setting named ports. The wrong list was used when being appended to the instance group's existing list of ports. If you run the added test case, the unit test shows that ports get duplicated. ",closed,True,2017-10-06 23:05:09,2018-04-18 19:33:18
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/4,https://api.github.com/repos/kubernetes/ingress-gce/issues/4,Migrate to dep,"Ran:
```
dep init
dep ensure
dep prune
```

Dep does not do a great job at pruning, yet. Some dep users are depending on .gitignore to remove unneeded files, especially `_test.go`
```text
https://github.com/golang/dep/issues/944
https://github.com/golang/dep/issues/1113
https://github.com/golang/dep/issues/120#issuecomment-306518546
```



Resulting dep status:
```
➜  dep status
PROJECT                                           CONSTRAINT          VERSION             REVISION  LATEST   PKGS USED
cloud.google.com/go                               *                                       3b1ae45            2   
github.com/PuerkitoBio/purell                     *                   v1.0.0              8a29053   0bcb03f  1   
github.com/PuerkitoBio/urlesc                     *                                       5bd2802            1   
github.com/beorn7/perks                           *                                       3ac7bf7            1   
github.com/davecgh/go-spew                        *                                       782f496            1   
github.com/dgrijalva/jwt-go                       *                                       01aeca5            1   
github.com/docker/distribution                    *                                       edc3ab2            2   
github.com/emicklei/go-restful                    *                                       ff4f55a            2   
github.com/emicklei/go-restful-swagger12          *                   1.0.1               dcef7f5   dcef7f5  1   
github.com/ghodss/yaml                            *                                       73d445a            1   
github.com/go-openapi/jsonpointer                 *                                       46af16f            1   
github.com/go-openapi/jsonreference               *                                       13c6e35            1   
github.com/go-openapi/spec                        *                                       6aced65            1   
github.com/go-openapi/swag                        *                                       1d0bd11            1   
github.com/gogo/protobuf                          *                                       c0656ed            2   
github.com/golang/glog                            *                                       44145f0            1   
github.com/golang/groupcache                      *                                       02826c3            1   
github.com/golang/protobuf                        *                                       4bd1920            5   
github.com/google/btree                           *                                       7d79101            1   
github.com/google/gofuzz                          *                                       44d8105            1   
github.com/googleapis/gnostic                     *                                       0c51083            3   
github.com/gorilla/websocket                      *                                       6eb6ad4            1   
github.com/gregjones/httpcache                    *                                       787624d            2   
github.com/hashicorp/golang-lru                   *                                       a0d98a5            2   
github.com/howeyc/gopass                          *                   branch master       bf9dde6   bf9dde6  1   
github.com/imdario/mergo                          *                                       6633656            1   
github.com/json-iterator/go                       *                   1.0.0               36b1496   6ed2715  1   
github.com/juju/ratelimit                         *                   branch master       5b9ff86   5b9ff86  1   
github.com/mailru/easyjson                        *                                       d5b7844            3   
github.com/matttproud/golang_protobuf_extensions  *                                       fc2b8d3            1   
github.com/opencontainers/go-digest               *                                       a6d0ee4            1   
github.com/pborman/uuid                           *                                       ca53cad            1   
github.com/petar/GoLLRB                           *                   branch master       53be0d3   53be0d3  1   
github.com/peterbourgon/diskv                     *                   v2.0.1              5f041e8   5f041e8  1   
github.com/prometheus/client_golang               *                                       e7e9030            2   
github.com/prometheus/client_model                *                                       fa8ad6f            1   
github.com/prometheus/common                      *                                       13ba4dd            3   
github.com/prometheus/procfs                      *                                       65c1f6f            2   
github.com/spf13/pflag                            *                                       9ff6c69            1   
golang.org/x/crypto                               *                                       81e9090            4   
golang.org/x/net                                  *                                       1c05540            6   
golang.org/x/oauth2                               *                                       a6bd8ce            5   
golang.org/x/sys                                  *                                       7ddbeae            2   
golang.org/x/text                                 *                                       b19bf47            16  
google.golang.org/api                             *                                       98825bb            8   
google.golang.org/appengine                       *                   v1.0.0              150dc57   150dc57  10  
gopkg.in/gcfg.v1                                  *                   v1.2.0              27e4946   27e4946  4   
gopkg.in/inf.v0                                   *                   v0.9.0              3887ee9   3887ee9  1   
gopkg.in/warnings.v0                              *                   v0.1.1              8a33156   8a33156  1   
gopkg.in/yaml.v2                                  *                                       53feefa            1   
k8s.io/api                                        branch release-1.8  branch release-1.8  fe29995   fe29995  24  
k8s.io/apiextensions-apiserver                    *                                       e15e93d            1   
k8s.io/apimachinery                               branch release-1.8  branch release-1.8  9d38e20   9d38e20  50  
k8s.io/apiserver                                  *                   branch release-1.8  f9b476d   c1e53d7  11  
k8s.io/client-go                                  *                   branch master       82aa063   d92e849  79  
k8s.io/kube-openapi                               *                                       868f2f2            1   
k8s.io/kubernetes                                 ^1.8.0              v1.8.0              0b9efae   0b9efae  33  
k8s.io/utils                                      *                                       9fdc871            1   
```

Note: I'm purposely preventing github auto-linking so we're not spamming the golang/dep repo. 
",closed,True,2017-10-06 23:31:18,2017-10-09 18:08:44
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/5,https://api.github.com/repos/kubernetes/ingress-gce/issues/5,Move main.go to cmd/glbc,"The makefile should be thrown away and remade at some point, but it's a non-goal for this PR. ",closed,True,2017-10-07 00:41:18,2017-10-09 18:08:42
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/6,https://api.github.com/repos/kubernetes/ingress-gce/issues/6,Minor cleanup to instance group management,"Changes
- Fixed log line which was previously printing a slice of memory addresses instead of port numbers.
https://github.com/kubernetes/ingress-gce/blob/ef0e824a0250c97298b65b87fbf573898d456642/instances/instances.go#L119
- Renamed ""AddInstanceGroup"" to ""EnsureInstanceGroupsAndPorts"" to actually reflect the actions of the func
- Split ""EnsureInstanceGroups"" and created ""EnsureInstanceGroupAndPorts"" for the actions on a single instance group.
- Removed unused return variable of nodeports from ""EnsureInstanceGroupsAndPorts""",closed,True,2017-10-07 01:42:43,2018-04-18 19:33:19
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/7,https://api.github.com/repos/kubernetes/ingress-gce/issues/7,Stop ignoring test files and non-go files in vendor,,closed,True,2017-10-09 17:59:43,2017-10-09 18:08:39
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/8,https://api.github.com/repos/kubernetes/ingress-gce/issues/8,Release 0.9.7,"Test Cases
 - [x] Basic ingress creation and deletion
 - [x] Existing ingress & add and removing 2 nodes
 - [x] Apply static IP annotation to ingress
 - [x] Ingress creation/deletion with existing ILB service.
    - @nikhiljindal Found an issue with interop between service controller and MC but it's not a release blocker.
 - [x] Existing ingress and add/remove paths
 - [x] Ingress with TLS secret creation & deletion
 - [x] Ingress with HTTPS backend
 - [x] Multi-zone cluster with multiple concurrent ingresses

Test Clusters
- [x] 1.8
- [x] 1.7 (basic ingress test should be sufficient)
- [ ] 1.6 (basic ingress test should be sufficient)

Areas to check
- Named ports of instance groups
- Instances in instance groups
- URL Map matches ingress rules
- Backend health
- Firewall rule update
- GLBC Log for errors


Temporary image for testing
*nicksardo/glbc:0.9.7*",closed,True,2017-10-09 18:25:13,2018-04-18 19:33:19
ingress-gce,nicksardo,https://github.com/kubernetes/ingress-gce/pull/9,https://api.github.com/repos/kubernetes/ingress-gce/issues/9,Get value of string pointer for log message,,closed,True,2017-10-09 23:36:32,2017-10-09 23:43:16
ingress-gce,G-Harmon,https://github.com/kubernetes/ingress-gce/pull/10,https://api.github.com/repos/kubernetes/ingress-gce/issues/10,Fix the glbc build by removing 'godeps' from command.,We no longer should invoke 'godeps' after the recent shuffling of repos (ingress -> ingress-gce/ingress-nginx split) and Makefiles.,closed,True,2017-10-09 23:50:12,2017-10-09 23:54:26
