name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
klog,dims,https://github.com/kubernetes/klog/pull/1,https://api.github.com/repos/kubernetes/klog/issues/1,Switch package names after initial import,"Added a .travis.yml as well for testing

Change-Id: Idf891e1bc4333e69da9535113702d802efd7993d",closed,True,2018-10-25 22:28:11,2018-10-25 22:36:37
klog,dims,https://github.com/kubernetes/klog/pull/2,https://api.github.com/repos/kubernetes/klog/issues/2,Switch package names after initial import,Change-Id: Idf891e1bc4333e69da9535113702d802efd7993d,closed,True,2018-10-25 22:38:07,2018-11-20 20:29:06
klog,dims,https://github.com/kubernetes/klog/pull/3,https://api.github.com/repos/kubernetes/klog/issues/3,Add .travis.yml,Change-Id: I56aee7ef85509e0336b1b1fc239cfd1003e5b2ee,closed,True,2018-10-25 22:40:45,2018-11-20 20:29:05
klog,dims,https://github.com/kubernetes/klog/pull/4,https://api.github.com/repos/kubernetes/klog/issues/4,Add option log-file,"- Move all flag initialization to a single init() block
- add a new option `log-file`
- Avoid creating directories when `log-file` is specified

Change-Id: I76a79dcbcec0587f8056637577bf53ece370896a",closed,True,2018-10-25 23:24:04,2018-11-20 20:29:04
klog,dims,https://github.com/kubernetes/klog/pull/5,https://api.github.com/repos/kubernetes/klog/issues/5,Ability to redirect glog output to an alternate destination,Change-Id: Ic1ab5beaaf65db686078add4fb71948ce1e8b638,closed,True,2018-10-25 23:38:03,2018-11-20 20:29:05
klog,dims,https://github.com/kubernetes/klog/pull/6,https://api.github.com/repos/kubernetes/klog/issues/6,Do not check flag parsing,"Undo the change from:
https://github.com/golang/glog/commit/65d674618f712aa808a7d0104131b9206fc3d5ad

As this change is NOT present in the vendored glog in k/k:
https://github.com/golang/glog/compare/44145f04b68cf362d9c4df2182967c2275eaefed...HEAD

Also, it just breaks stuff (see comments in url above)

Change-Id: I90774b10929064c241d2a41c2b30d8bb9be833ca",closed,True,2018-10-26 00:01:55,2018-11-20 20:29:03
klog,dims,https://github.com/kubernetes/klog/pull/7,https://api.github.com/repos/kubernetes/klog/issues/7,Add examples,"- Added example for the `SetOutput` API
- Added example for the `log_file` command line option

Change-Id: I8e34a3d3a3667975e56056859314e098d5a370e9",closed,True,2018-10-26 00:47:51,2018-11-20 20:29:03
klog,dims,https://github.com/kubernetes/klog/pull/8,https://api.github.com/repos/kubernetes/klog/issues/8,Avoid initializing flags in init(),"- Require explicit `InitFlags` to initialize the flags

Change-Id: Iebb46ae1a9baa8e05cc38ca501dc17221f2a1cb0",closed,True,2018-10-26 16:33:11,2018-11-20 20:29:02
klog,dims,https://github.com/kubernetes/klog/pull/9,https://api.github.com/repos/kubernetes/klog/issues/9,Update README,Change-Id: I27f5780b39622496c744112b76b236af879417a2,closed,True,2018-10-26 16:59:32,2018-11-20 20:29:02
klog,dims,https://github.com/kubernetes/klog/pull/10,https://api.github.com/repos/kubernetes/klog/issues/10,Example on coexisting with older glog,Change-Id: I08060ea81a1b53c5001447af9a602b5d42b3516c,closed,True,2018-10-26 21:08:00,2018-11-20 20:29:02
klog,monotek,https://github.com/kubernetes/klog/pull/11,https://api.github.com/repos/kubernetes/klog/issues/11,Removed doubled wording from README.md ,,closed,True,2018-10-31 02:59:24,2018-11-02 13:42:12
klog,dims,https://github.com/kubernetes/klog/pull/12,https://api.github.com/repos/kubernetes/klog/issues/12,Add OWNERS and other template files,Change-Id: Iaccfe8a93c29808737c44edf09b6281c168b3b1a,closed,True,2018-11-02 01:57:49,2018-11-02 11:28:18
klog,dims,https://github.com/kubernetes/klog/pull/13,https://api.github.com/repos/kubernetes/klog/issues/13,glog wrapper that redirects to klog,"implements the glog API, but redirects to klog implementation.

Makes it easy to use `dep` overrides to quickly switch/try the klog
implementation.

Change-Id: Ibdf4b25ed3b17e761c3fdea449f80add76a9070f",closed,True,2018-11-02 02:07:25,2018-11-08 23:46:04
klog,dims,https://github.com/kubernetes/klog/pull/14,https://api.github.com/repos/kubernetes/klog/issues/14,Oops! missed a couple of spots for imports,"Fix up the example directory, imports point to an older repo used for proof-of-concept",closed,True,2018-11-13 18:05:37,2018-11-13 19:59:59
klog,BenTheElder,https://github.com/kubernetes/klog/issues/15,https://api.github.com/repos/kubernetes/klog/issues/15,document differences vs glog,"Can we put a TLDR somewhere of things we've fixed or improved vs glog? I think it would be helpful for other ecosystem projects.

cc @dims",closed,False,2018-11-14 02:33:35,2018-11-14 18:20:58
klog,dims,https://github.com/kubernetes/klog/pull/16,https://api.github.com/repos/kubernetes/klog/issues/16,Add a short HOWTO,Change-Id: I35a59bebd603ac84a480c977e29a97bc7b8d643c,closed,True,2018-11-14 03:13:17,2018-11-14 18:15:55
klog,vincepri,https://github.com/kubernetes/klog/pull/17,https://api.github.com/repos/kubernetes/klog/issues/17,Add common PR/Issues templates,Signed-off-by: Vince Prignano <vince@vincepri.com>,closed,True,2018-11-14 23:15:00,2018-11-15 03:02:20
