name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
kubectl,pwittrock,https://github.com/kubernetes/kubectl/pull/1,https://api.github.com/repos/kubernetes/kubectl/issues/1,Initial repo boilerplate,,closed,True,2017-03-30 20:27:45,2017-03-30 20:53:30
kubectl,jeremyjjbrown,https://github.com/kubernetes/kubectl/issues/2,https://api.github.com/repos/kubernetes/kubectl/issues/2,Kubectl errors when it needs to be updated instead of notifying.,"It would be nice if kubectl would provide a hint when it just needs an update.

Using a slightly older version of kubectl against Api server 1.6 and I got

```bash
kubectl get pods
error: group map[autoscaling:0xc8203c7110 batch:0xc8203c72d0 policy:0xc8203c6070 rbac.authorization.k8s.io:0xc8203c60e0 storage.k8s.io:0xc8203c6150 componentconfig:0xc8203c73b0 extensions:0xc8203c6000 federation:0xc8203c69a0 :0xc8203c6e70 apps:0xc8203c6ee0 authentication.k8s.io:0xc8203c6f50 authorization.k8s.io:0xc8203c70a0 certificates.k8s.io:0xc8203c7340] is already registered
```

Needless to say the user likely is going to waste a lot of time troubleshooting this before replacing kubectrl that was working just fine minutes before.",closed,False,2017-04-12 15:29:30,2017-05-31 02:37:28
kubectl,lihan,https://github.com/kubernetes/kubectl/issues/3,https://api.github.com/repos/kubernetes/kubectl/issues/3,kubectl get po columns aren't aligned when using watch mode,"`kubectl version`

`Client Version: version.Info{Major:""1"", Minor:""6"", GitVersion:""v1.6.0"", GitCommit:""fff5156092b56e6bd60fff75aad4dc9de6b6ef37"", GitTreeState:""clean"", BuildDate:""2017-03-28T16:36:33Z"", GoVersion:""go1.7.5"", Compiler:""gc"", Platform:""darwin/amd64""}`

`Server Version: version.Info{Major:""1"", Minor:""6"", GitVersion:""v1.6.1"", GitCommit:""b0b7a323cc5a4a2019b2e9520c21c7830b7f708e"", GitTreeState:""clean"", BuildDate:""2017-04-03T20:33:27Z"", GoVersion:""go1.7.5"", Compiler:""gc"", Platform:""linux/amd64""}`

See the below screenshot, when executing `kubectl get po -o wide -w`, the columns aren't aligned

![untitled-1](https://cloud.githubusercontent.com/assets/655051/25209031/a819c39c-25bb-11e7-89fc-611a796295d9.jpg)
",closed,False,2017-04-20 01:23:25,2019-01-02 05:53:57
kubectl,owenmorgan,https://github.com/kubernetes/kubectl/issues/4,https://api.github.com/repos/kubernetes/kubectl/issues/4,Cant set context,"When using kubectl 

`kubectl version                                                                                                                                                            (jd-uat/default)
Client Version: version.Info{Major:""1"", Minor:""6"", GitVersion:""v1.6.2"", GitCommit:""477efc3cbe6a7effca06bd1452fa356e2201e1ee"", GitTreeState:""clean"", BuildDate:""2017-04-19T22:51:55Z"", GoVersion:""go1.8.1"", Compiler:""gc"", Platform:""darwin/amd64""}
Server Version: version.Info{Major:""1"", Minor:""5"", GitVersion:""v1.5.2"", GitCommit:""08e099554f3c31f6e6f07b448ab3ed78d0520507"", GitTreeState:""clean"", BuildDate:""2017-01-12T04:52:34Z"", GoVersion:""go1.7.4"", Compiler:""gc"", Platform:""linux/amd64""}`

i have 2 different contexts set in config trying to set context from one to another doesn't switch.

`▶ kubectl config current-context                                                                                           
od-uat

~
▶ kubectl config set-context oi-uat
Context ""oi-uat"" set.

~
▶ kubectl config current-context
od-uat`

And the config file still shows as 

`current-context: od-uat`
",closed,False,2017-04-20 09:21:17,2017-04-21 06:38:14
kubectl,dictvm,https://github.com/kubernetes/kubectl/issues/5,https://api.github.com/repos/kubernetes/kubectl/issues/5,kubectl cp doesn't feature tab completion,"```
kubectl version
Client Version: version.Info{Major:""1"", Minor:""6"", GitVersion:""v1.6.0"", GitCommit:""fff5156092b56e6bd60fff75aad4dc9de6b6ef37"", GitTreeState:""clean"", BuildDate:""2017-03-28T19:15:41Z"", GoVersion:""go1.8"", Compiler:""gc"", Platform:""darwin/amd64""}
Server Version: version.Info{Major:""1"", Minor:""5"", GitVersion:""v1.5.2"", GitCommit:""08e099554f3c31f6e6f07b448ab3ed78d0520507"", GitTreeState:""clean"", BuildDate:""2017-01-12T04:52:34Z"", GoVersion:""go1.7.4"", Compiler:""gc"", Platform:""linux/amd64""}
```

It would be helpful if `kubectl cp` completed pod-names, like most other `kubectl` parameters do. This way, you wouldn't have to issue `kubectl get pod` and copy/paste the pod name before copying a file from or to a pod.",closed,False,2017-04-21 12:36:54,2018-05-08 22:24:08
kubectl,liggitt,https://github.com/kubernetes/kubectl/issues/6,https://api.github.com/repos/kubernetes/kubectl/issues/6,kubectl proxy --reject-methods flag is non-functional,"The flag is registered, but the specified value is never read or used

This means all http methods are allowed by default (despite the help saying PUT/POST/PATCH being disallowed), and users have no way to control which methods are accepted",closed,False,2017-04-25 20:41:54,2017-05-16 21:47:49
kubectl,Vrtak-CZ,https://github.com/kubernetes/kubectl/issues/7,https://api.github.com/repos/kubernetes/kubectl/issues/7,kubectl delete all -l foo=bar - does not delete ingress,"```
kubectl delete all -l foo=bar
```

does not delete ingress with label `foo=bar`.",open,False,2017-04-26 13:27:43,2019-03-26 09:04:01
kubectl,kendallarm,https://github.com/kubernetes/kubectl/issues/8,https://api.github.com/repos/kubernetes/kubectl/issues/8,l --help,,closed,False,2017-04-27 12:29:52,2017-04-27 12:30:18
kubectl,gyliu513,https://github.com/kubernetes/kubectl/issues/9,https://api.github.com/repos/kubernetes/kubectl/issues/9,"Adding ""PodPreset"" to ""kubectl get help""","@gyliu513 commented on [Wed May 10 2017](https://github.com/kubernetes/kubernetes/issues/45597)

<!-- Thanks for filing an issue! Before hitting the button, please answer these questions.-->

**Is this a request for help?** (If yes, you should use our troubleshooting guide and community support channels, see http://kubernetes.io/docs/troubleshooting/.):


**What keywords did you search in Kubernetes issues before filing this one?** (If you have found any duplicates, you should instead reply there.):

---

**Is this a BUG REPORT or FEATURE REQUEST?** (choose one):

<!--
If this is a BUG REPORT, please:
  - Fill in as much of the template below as you can.  If you leave out
    information, we can't help you as well.

If this is a FEATURE REQUEST, please:
  - Describe *in detail* the feature/behavior/change you'd like to see.

In both cases, be ready for followup questions, and please respond in a timely
manner.  If we can't reproduce a bug or think a feature already exists, we
might close your issue.  If we're wrong, PLEASE feel free to reopen it and
explain why.
-->

**Kubernetes version** (use `kubectl version`):


**Environment**:
- **Cloud provider or hardware configuration**:
- **OS** (e.g. from /etc/os-release):
- **Kernel** (e.g. `uname -a`):
- **Install tools**:
- **Others**:


**What happened**:
The PodPreset was available in Kubernetes 1.6, so we should expose this in the kubectl CLI.

**What you expected to happen**:


**How to reproduce it** (as minimally and precisely as possible):


**Anything else we need to know**:



",closed,False,2017-05-10 15:52:34,2018-09-25 18:58:46
kubectl,gyliu513,https://github.com/kubernetes/kubectl/issues/10,https://api.github.com/repos/kubernetes/kubectl/issues/10,"Adding ""PodPreset"" to ""kubectl get help""","@gyliu513 commented on [Wed May 10 2017](https://github.com/kubernetes/kubernetes/issues/45597)

<!-- Thanks for filing an issue! Before hitting the button, please answer these questions.-->

**Is this a request for help?** (If yes, you should use our troubleshooting guide and community support channels, see http://kubernetes.io/docs/troubleshooting/.):


**What keywords did you search in Kubernetes issues before filing this one?** (If you have found any duplicates, you should instead reply there.):

---

**Is this a BUG REPORT or FEATURE REQUEST?** (choose one):

<!--
If this is a BUG REPORT, please:
  - Fill in as much of the template below as you can.  If you leave out
    information, we can't help you as well.

If this is a FEATURE REQUEST, please:
  - Describe *in detail* the feature/behavior/change you'd like to see.

In both cases, be ready for followup questions, and please respond in a timely
manner.  If we can't reproduce a bug or think a feature already exists, we
might close your issue.  If we're wrong, PLEASE feel free to reopen it and
explain why.
-->

**Kubernetes version** (use `kubectl version`):


**Environment**:
- **Cloud provider or hardware configuration**:
- **OS** (e.g. from /etc/os-release):
- **Kernel** (e.g. `uname -a`):
- **Install tools**:
- **Others**:


**What happened**:
The PodPreset was available in Kubernetes 1.6, so we should expose this in the kubectl CLI.

**What you expected to happen**:


**How to reproduce it** (as minimally and precisely as possible):


**Anything else we need to know**:



---

@gyliu513 commented on [Wed May 10 2017](https://github.com/kubernetes/kubernetes/issues/45597#issuecomment-300527307)

Issue moved to [kubernetes/kubectl #9](https://github.com/kubernetes/kubectl/issues/9) via [**ZenHub**](https://www.zenhub.com/)


",closed,False,2017-05-10 15:52:38,2017-05-10 15:54:50
