name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/1,https://github.com/kubernetes/metrics/pull/1,DirectXMan12,Initial Structure,"This commit updates the README and adds some boilerplate
files (code of conduct, contributing guidelines, owners, .gitignore).",['DirectXMan12'],1,2017-02-15 21:25:28,2017-02-15 21:28:26,2017-02-15 21:28:29,True,2017-02-15 21:28:26,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/2,https://github.com/kubernetes/metrics/pull/2,DirectXMan12,Introduce types and clients for Metrics APIs,"This PR introduces types and clients for both the custom metrics API and the resource metrics API.

The resource metrics API uses autogenerated clients, while the custom metrics API, due the nature of it's URLs, uses a custom client.",['piosz'],5,2017-02-20 06:56:41,2017-02-22 21:53:17,2017-02-22 21:53:19,True,2017-02-22 21:53:17,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/3,https://github.com/kubernetes/metrics/pull/3,luxas,The custom metrics client should expect a MetricValue instead of a MetricValueList in single-value contexts,"ref: https://github.com/kubernetes/kubernetes/pull/43354

I noticed this is a standalone repo, not a staging one... so updating here first
@DirectXMan12 @piosz ",['DirectXMan12'],1,2017-03-19 11:39:31,2017-03-25 21:51:58,2017-03-25 21:51:58,False,,,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/4,https://github.com/kubernetes/metrics/pull/4,mwielgus,Update repo - from kuberntes/kubernetes/staging,"The current version doesn't compile with new client-go - some api elements were moved.

cc: @DirectXMan12 @piosz ",['piosz'],1,2017-07-03 16:05:18,2017-07-03 18:04:40,2017-07-05 14:46:42,True,2017-07-03 18:04:40,piosz,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/6,https://github.com/kubernetes/metrics/pull/6,mbssaiakhil,Fix typo in Events Code of Conduct,,[],1,2017-08-13 11:28:46,2017-08-15 18:47:51,2017-08-15 18:47:51,True,2017-08-15 18:47:51,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/7,https://github.com/kubernetes/metrics/pull/7,DirectXMan12,[docs] Add implementation links,"This PR cleans up the README a bit and adds links to known implementations of the APIs in this repository, as well as a link to the custom-metrics-apiserver boilerplate.",[],2,2017-08-15 19:57:04,2017-08-23 18:28:58,2017-08-23 18:29:01,True,2017-08-23 18:28:58,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/8,https://github.com/kubernetes/metrics/pull/8,DirectXMan12,Restore README and docs,"The README and other associated docs got removed during the initial
resync, when the old branch was renamed to ""legacy"".  This restores
them from that branch.",[],1,2017-09-08 19:03:15,2017-09-08 19:04:39,2017-09-08 19:04:41,True,2017-09-08 19:04:39,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/9,https://github.com/kubernetes/metrics/pull/9,mindprince,Fix link to metrics-server.,,[],1,2017-10-03 00:26:27,2017-10-03 20:31:29,2017-10-03 20:31:29,True,2017-10-03 20:31:29,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/10,https://github.com/kubernetes/metrics/pull/10,nikhita,Remove LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

The `README.md` is already present in staging and is not authoritative here.

/cc @sttts ",[],1,2017-10-23 11:39:22,2017-10-25 14:28:55,2017-12-18 12:22:33,True,2017-10-25 14:28:55,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/11,https://github.com/kubernetes/metrics/pull/11,derekperkins,fix typo in IMPLEMENTATIONS.md,"This fixes a misspelling of ""convenience"" in the IMPLEMENTATIONS.md file.",['DirectXMan12'],1,2017-11-17 09:05:15,2017-11-28 18:12:13,2017-11-28 18:12:13,True,2017-11-28 18:12:13,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/12,https://github.com/kubernetes/metrics/pull/12,spiffxp,Update code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",['cblecker'],1,2017-12-20 18:39:34,2017-12-20 20:14:49,2017-12-20 20:28:14,False,,,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/13,https://github.com/kubernetes/metrics/pull/13,sttts,Create LICENSE,"This file was missing, but exists in staging/. The bot would have been broken whenever the file is changed in staging/.","['spiffxp', 'DirectXMan12']",1,2017-12-20 20:43:02,2018-01-03 16:47:28,2018-01-04 09:10:32,True,2018-01-03 16:47:28,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/14,https://github.com/kubernetes/metrics/pull/14,sttts,Delete code-of-conduct.md,In preparation of https://github.com/kubernetes/kubernetes/pull/57473.,"['spiffxp', 'DirectXMan12']",1,2017-12-20 20:44:16,2017-12-22 22:22:38,2018-01-04 09:10:33,True,2017-12-22 22:22:38,k8s-publishing-bot,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/15,https://github.com/kubernetes/metrics/pull/15,sttts,Make IMPLEMENTATIONS.md and CONTRIBUTING.md authorative in k/k,"Part of https://github.com/kubernetes/kubernetes/issues/57559..

Counterpart of https://github.com/kubernetes/kubernetes/pull/57572.","['spiffxp', 'DirectXMan12']",1,2017-12-22 22:42:35,2018-01-03 16:49:31,2018-01-04 09:10:33,True,2018-01-03 16:49:31,DirectXMan12,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/16,https://github.com/kubernetes/metrics/pull/16,zioproto,fix typo,"Sorry, we do not accept changes directly against this repository. Please see 
CONTRIBUTING.md for information on where and how to contribute instead.
",[],1,2018-05-02 16:14:51,2018-05-07 19:22:42,2018-05-07 19:22:42,False,,,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/18,https://github.com/kubernetes/metrics/pull/18,astefanutti,Add FieldSelector member to MetricListOptions,"This enables to restrict the list of returned objects by their fields
when using the wildcard filter, similarly to the generic ListOptions.
",[],1,2018-10-04 13:38:41,2018-10-04 13:40:24,2018-10-04 14:01:04,False,,,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/23,https://github.com/kubernetes/metrics/pull/23,joelsmith,Update embargo doc link in SECURITY_CONTACTS and change PST to PSC,See https://github.com/kubernetes/security/issues/8 for more information,[],1,2019-03-08 18:11:28,2019-03-09 01:22:54,2019-03-09 01:22:55,False,,,unknown,,closed
metrics,https://api.github.com/repos/kubernetes/metrics/pulls/24,https://github.com/kubernetes/metrics/pull/24,misterikkit,Fix fake clientsets in metrics.k8s.io.,"The generated fake clientsets were using the API group ""metrics"" instead
of ""metrics.k8s.io"". The `+groupName` annotation needed to be copied to
these packages to fix it.

As a result, tests using this fake clientset work as expected.

Sorry, we do not accept changes directly against this repository. Please see
CONTRIBUTING.md for information on where and how to contribute instead.
",['DirectXMan12'],1,2019-03-19 21:02:35,2019-03-19 21:09:20,2019-03-19 21:09:20,False,,,unknown,,closed
