name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
org,https://api.github.com/repos/kubernetes/org/pulls/1,https://github.com/kubernetes/org/pull/1,cblecker,Commit initial copy of members list,,['fejta'],1,2018-06-21 03:44:30,2018-06-21 22:29:51,2018-06-21 22:33:13,True,2018-06-21 22:29:51,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/2,https://github.com/kubernetes/org/pull/2,cblecker,Update meta org,"This updates the meta org as follows:
- Pull a copy of the OWNERS_ALIASES from k/community
- Updates membership as of 7/16
- Adds a folder of team members for sig-contributor-experience. Example of what it would look like to have sig-responsible teams.",['fejta'],1,2018-07-06 22:06:52,2018-07-07 19:49:18,2018-07-07 19:49:22,True,2018-07-07 19:49:18,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/3,https://github.com/kubernetes/org/pull/3,cblecker,Add issue templates,This adds issue templates to allow users to submit common kinds of requests.,['idvoretskyi'],1,2018-08-07 23:25:27,2018-08-08 17:40:30,2018-08-08 17:49:46,True,2018-08-08 17:40:30,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/5,https://github.com/kubernetes/org/pull/5,cblecker,"Update org configurations - Aug 8, 2018","- Update OWNERS files
- Add org configs for all active orgs
- Dump current org membership for all active orgs.",['fejta'],2,2018-08-08 19:17:53,2018-08-09 03:23:40,2018-08-09 03:33:19,True,2018-08-09 03:23:40,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/8,https://github.com/kubernetes/org/pull/8,fejta,Script to apply declared config,"Plus other initial infrastructure

/assign @spiffxp @cblecker 

Primarily supporting the following:
```shell
bazel test //config:all  # Test all the various config/kubernetes-foo orgs
bazel run //admin:update # Run peribolos on all the files
```

Docs at https://github.com/fejta/org/blob/infra/admin/README.md","['spiffxp', 'calebamiles', 'cblecker']",2,2018-08-11 01:13:10,2018-08-23 04:11:40,2018-08-23 04:11:44,True,2018-08-23 04:11:40,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/11,https://github.com/kubernetes/org/pull/11,nikhita,ISSUE_TEMPLATE/membership: fix markdown rendering,"In the current issue template for membership, the last few points are not displayed in ""List of contributions"": https://github.com/kubernetes/org/blob/master/.github/ISSUE_TEMPLATE/membership.md#list-of-contributions-to-the-kubernetes-project. I think it's because the points are listed in angle brackets (`<Issues responded to>`), which markdown treats as html.

/assign cblecker ","['cblecker', 'spzala']",1,2018-08-14 08:39:48,2018-08-14 18:09:05,2018-08-14 18:09:05,True,2018-08-14 18:09:05,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/27,https://github.com/kubernetes/org/pull/27,fejta,Vendor ability to read prow configs,"First commit is some `.gitignore` entries

Second commit is `hack/update-deps.sh` (see the [test-infra](https://github.com/kubernetes/test-infra/blob/master/hack/update-deps.sh) version of this script) on #8.

Once we get this and `0c141977c30f2b684db1a1fdd8e5a1f320badea9` in we can add presubmits to validate all the `hack/verify-*` scripts pass before merge (let me know if you want me to add the hack scripts into this PR or the next one).

/assign @calebamiles @spiffxp @cblecker  ","['spiffxp', 'calebamiles', 'cblecker']",2,2018-08-21 22:51:56,2018-08-21 23:25:30,2018-08-21 23:25:54,True,2018-08-21 23:25:30,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/28,https://github.com/kubernetes/org/pull/28,fejta,Add some bazel and hack rules,"Once these are checked in I can add presubmit jobs for this repo


/assign @calebamiles @spiffxp @cblecker ","['spiffxp', 'calebamiles', 'cblecker']",1,2018-08-21 23:30:52,2018-08-21 23:59:28,2019-01-17 07:26:55,True,2018-08-21 23:59:28,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/41,https://github.com/kubernetes/org/pull/41,fejta,Allow hack/*-gofmt.sh to work without installing gosdk,"Also ensures the correct version of gofmt is used

/hold
Want this PR to pass presubmits after https://github.com/kubernetes/test-infra/pull/9133 merges
","['spiffxp', 'calebamiles', 'cblecker']",1,2018-08-23 05:18:00,2018-08-23 18:24:20,2018-08-24 19:34:36,True,2018-08-23 18:24:20,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/44,https://github.com/kubernetes/org/pull/44,cblecker,Update from dump - Aug 30,,['spiffxp'],1,2018-08-27 15:40:07,2018-08-30 23:45:19,2018-08-31 01:47:23,True,2018-08-30 23:45:19,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/55,https://github.com/kubernetes/org/pull/55,cblecker,Update membership - Sept 3,"fixes #53.
fixes #54.",['idvoretskyi'],1,2018-09-03 22:58:11,2018-09-04 14:17:35,2018-09-04 14:17:55,True,2018-09-04 14:17:34,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/62,https://github.com/kubernetes/org/pull/62,spiffxp,Update org membership - sep 4,"I manually invited all of these people, and updated the configs accordingly.

Fixes #50
Fixes #57
Fixes #59
Fixes #61 
Fixes #63",['cblecker'],1,2018-09-05 00:56:07,2018-09-05 17:10:32,2018-09-05 19:03:24,True,2018-09-05 17:10:32,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/67,https://github.com/kubernetes/org/pull/67,fejta,Fix README.md and update.sh script,/assign @spiffxp @calebamiles @cblecker ,"['spiffxp', 'calebamiles', 'cblecker']",1,2018-09-05 14:26:20,2018-09-05 17:18:29,2018-09-06 04:26:21,True,2018-09-05 17:18:29,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/68,https://github.com/kubernetes/org/pull/68,spiffxp,Add proposed cri-tools admins to kubernetes-sigs,"Fixes #64 
Fixes #65 
",['idvoretskyi'],1,2018-09-05 19:17:23,2018-09-06 17:30:04,2018-09-06 21:05:20,True,2018-09-06 17:30:04,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/72,https://github.com/kubernetes/org/pull/72,spiffxp,Add yujuhong to kubernetes-sigs org,Fixes #71,['cblecker'],1,2018-09-06 21:10:08,2018-09-06 21:51:15,2018-09-06 23:07:06,True,2018-09-06 21:51:15,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/73,https://github.com/kubernetes/org/pull/73,spiffxp,Add runcom to kubernetes-sigs org,Fixues #66,['cblecker'],1,2018-09-06 21:15:30,2018-09-06 21:59:21,2018-09-06 23:06:59,True,2018-09-06 21:59:21,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/74,https://github.com/kubernetes/org/pull/74,spiffxp,Add brahmaroutu to kubernetes org,Fixes #69,['cblecker'],1,2018-09-06 21:18:15,2018-09-06 22:07:18,2018-09-06 23:07:02,True,2018-09-06 22:07:18,k8s-ci-robot,unknown,,closed
org,https://api.github.com/repos/kubernetes/org/pulls/77,https://github.com/kubernetes/org/pull/77,spiffxp,Add kacole2 to kubernetes org,Fixes #75,['cblecker'],1,2018-09-07 20:10:20,2018-09-07 20:24:42,2018-09-07 20:26:05,True,2018-09-07 20:24:42,k8s-ci-robot,unknown,,closed
