name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/1,https://github.com/kubernetes/publishing-bot/pull/1,sttts,Update README and add example config,Update and fix the instructions.,['marun'],2,2017-12-07 16:51:56,2017-12-08 02:40:20,2017-12-08 02:40:24,True,2017-12-08 02:40:20,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/2,https://github.com/kubernetes/publishing-bot/pull/2,sttts,Fix README.md typos,,"['marun', 'caesarxuchao']",1,2017-12-08 04:57:15,2017-12-11 19:57:16,2017-12-11 19:57:19,True,2017-12-11 19:57:16,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/3,https://github.com/kubernetes/publishing-bot/pull/3,sttts,Switch committer email to k8s-publishing-bot,,['caesarxuchao'],1,2017-12-08 20:16:42,2017-12-08 20:21:07,2017-12-08 20:21:11,True,2017-12-08 20:21:07,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/4,https://github.com/kubernetes/publishing-bot/pull/4,sttts,Add tokens with git-crypt,https://github.com/AGWA/git-crypt,['caesarxuchao'],4,2017-12-08 20:58:55,2017-12-09 00:19:54,2017-12-09 00:19:54,True,2017-12-09 00:19:54,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/5,https://github.com/kubernetes/publishing-bot/pull/5,sttts,"Add smoke tests for sample-{apiserver,controller}","The godep tests from my manual test script.

TODO:
- [ ] let the bot run with this",['caesarxuchao'],1,2017-12-08 23:53:45,2017-12-09 04:53:34,2017-12-09 04:53:38,True,2017-12-09 04:53:34,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/6,https://github.com/kubernetes/publishing-bot/pull/6,sttts,"WIP: Run 'dep init' to create Gopkg.{toml,lock}","Golang/dep does not support picking up these dependencies yet properly. But at least
dep will warn the user when he chooses incompatible dependencies (so did @munnerz report, but with `dep init --gopath` I did not even get warnings, but it picked up master which it shouldn't).

A test run was published to https://github.com/kubernetes-dep-experiment/client-go

**The goal is to vendor k8s.io/client-go, api, apimachinery and all other direct and transistive dependencies of client-go in the versions that are specified in  https://github.com/kubernetes-dep-experiment/client-go's Gopkg.{toml,lock} with only specifying the right branch or tag of client-go, i.e.**

```
[[constraint]]
  name = ""k8s.io/client-go""
  version = ""5.0.1""
```

For testing purposes one has to define the source for client-go, api and apimachinery to be in the kubernetes-dep-experiment org:

```
[[constraint]]
  name = ""k8s.io/client-go""
  version = ""5.0.1""
  source = ""https://github.com/kubernetes-dep-experiment/client-go.git""

[[constraint]]
  name = ""k8s.io/api""
  source = ""https://github.com/kubernetes-dep-experiment/api.git""

[[constraint]]
  name = ""k8s.io/apimachinery""
  source = ""https://github.com/kubernetes-dep-experiment/apimachinery.git""
```

Compare https://github.com/sttts/kube-dep-test/blob/master/Gopkg.toml for a test project.",[],2,2017-12-09 04:57:56,2018-05-18 15:14:13,2018-05-18 15:14:13,False,,,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/7,https://github.com/kubernetes/publishing-bot/pull/7,sttts,Makefile: wait for old pod to terminate,,"['mfojtik', 'munnerz']",1,2017-12-09 12:19:01,2018-01-05 13:40:28,2018-01-05 15:08:39,True,2018-01-05 13:40:28,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/8,https://github.com/kubernetes/publishing-bot/pull/8,sttts,Add config for github.com/kubernetes target-org,"This is the ""production"" config for the bot pushing directly into github.com/kubernetes.",['caesarxuchao'],1,2017-12-09 12:27:12,2017-12-12 08:04:14,2017-12-12 08:04:14,True,2017-12-12 08:04:14,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/9,https://github.com/kubernetes/publishing-bot/pull/9,sttts,Fix example config typo,,['munnerz'],1,2017-12-13 13:05:23,2017-12-13 13:16:21,2017-12-13 13:16:24,True,2017-12-13 13:16:21,sttts,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/10,https://github.com/kubernetes/publishing-bot/pull/10,sttts,PAUSED: Only delete k8s.io dependencies from vendor/ on master branch,"We deleted also k8s.io/gengo and kube-openapi. Latest kube-openapi is not compatible with kube.

Fixes https://github.com/kubernetes/kubernetes/issues/57147",['caesarxuchao'],2,2017-12-13 13:15:32,2018-06-18 14:22:57,2018-06-18 14:22:57,False,,,unknown,,closed
publishing-bot,https://api.github.com/repos/kubernetes/publishing-bot/pulls/11,https://github.com/kubernetes/publishing-bot/pull/11,sttts,Add healthz server,To have a simple monitoring.,['munnerz'],2,2017-12-13 17:17:23,2017-12-15 08:13:09,2017-12-15 08:13:12,True,2017-12-15 08:13:09,sttts,unknown,,closed
