name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
release,https://api.github.com/repos/kubernetes/release/pulls/1,https://github.com/kubernetes/release/pull/1,david-mcmahon,Initial commit of release automation tooling.,"There are many TODOs, but this is a good working baseline from which to build.
We're producing releases using this tooling.
",[],1,2016-04-11 21:00:01,2016-06-06 16:57:54,2016-06-06 21:03:04,True,2016-06-06 16:57:54,bgrant0607,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/4,https://github.com/kubernetes/release/pull/4,david-mcmahon,Use *.json files rather than build-log.txt for building cache.,"Additionally, add kubernetes-e2e-gke-serial back as a gating job.
",['ixdy'],1,2016-06-08 20:28:22,2016-06-09 00:47:13,2016-06-09 00:47:13,True,2016-06-09 00:47:13,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/5,https://github.com/kubernetes/release/pull/5,david-mcmahon,"Fix branching checkout, some status messages and a regex.","Refactor generate_release_notes() and MUNGEDOCS to ensure upstream is set and
updated correctly.
",[],1,2016-06-09 23:20:44,2016-06-11 00:02:03,2016-06-11 00:02:04,True,2016-06-11 00:02:03,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/6,https://github.com/kubernetes/release/pull/6,david-mcmahon,Only versionize docs on new branches.,"Ref https://github.com/kubernetes/kubernetes/pull/27218 https://github.com/kubernetes/kubernetes/pull/27205
","['lavalamp', 'dchen1107']",1,2016-06-11 00:35:04,2016-06-14 20:43:31,2016-06-14 20:43:31,True,2016-06-14 20:43:31,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/8,https://github.com/kubernetes/release/pull/8,david-mcmahon,Add federation binaries to the list of pushed images.,"Doing this in kubernetes/release repo too until we complete the deprecation
of release functionality in the main kubernetes repo.

Ref https://github.com/kubernetes/kubernetes/pull/24629 https://github.com/kubernetes/kubernetes/issues/27382
",['nikhiljindal'],1,2016-06-14 22:23:10,2016-06-14 22:31:03,2016-06-14 22:31:03,True,2016-06-14 22:31:03,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/9,https://github.com/kubernetes/release/pull/9,david-mcmahon,Add a script and docs on specialized branch pointer moving.,"Also clarify this repo further in docs/releasing.md.
And fix some other related doc issues.
ref #10 
fixes https://github.com/kubernetes/kubernetes/issues/23347
cc @lavalamp @eparis 
",[],1,2016-06-14 22:55:40,2016-06-24 21:03:30,2018-03-05 21:00:05,True,2016-06-24 21:03:30,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/11,https://github.com/kubernetes/release/pull/11,david-mcmahon,Check for existence of a jenkins job before continuing.,"Also check to see if run gets to 0 before cache_limit.
",[],1,2016-06-14 23:52:16,2016-06-15 00:12:08,2016-06-15 01:37:52,True,2016-06-15 00:12:08,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/12,https://github.com/kubernetes/release/pull/12,david-mcmahon,Raise visibility of prefilled cache with a comment.,"Add local to a variable that is local.
",['ixdy'],1,2016-06-15 01:37:12,2016-06-15 18:39:42,2016-06-15 18:39:42,True,2016-06-15 18:39:42,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/14,https://github.com/kubernetes/release/pull/14,david-mcmahon,versionize-docs.sh takes release branch as arg.,,['lavalamp'],1,2016-06-15 22:24:34,2016-06-15 23:47:30,2016-08-12 18:17:48,True,2016-06-15 23:47:30,david-mcmahon,unknown,,closed
release,https://api.github.com/repos/kubernetes/release/pulls/15,https://github.com/kubernetes/release/pull/15,david-mcmahon,Add milestone heading to gitlib::pending_prs().,"Improve release::update_job_cache() to clean up dead jobs.
","['spxtr', 'roberthbailey', 'ixdy']",1,2016-06-22 22:09:30,2016-06-23 23:08:49,2016-06-23 23:08:49,True,2016-06-23 23:08:49,david-mcmahon,unknown,,closed
