name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
repo-infra,pmorie,https://github.com/kubernetes/repo-infra/pull/1,https://api.github.com/repos/kubernetes/repo-infra/issues/1,Add README initial content,So people know what this is.,closed,True,2016-12-15 17:56:42,2016-12-15 19:01:12
repo-infra,pmorie,https://github.com/kubernetes/repo-infra/pull/2,https://api.github.com/repos/kubernetes/repo-infra/issues/2,Add boilerplate verification,"Add boilerplate verification and instructions on using this repository.

cc @sarahnovotny ",closed,True,2016-12-19 16:12:16,2016-12-20 16:12:02
repo-infra,duglin,https://github.com/kubernetes/repo-infra/pull/3,https://api.github.com/repos/kubernetes/repo-infra/issues/3,Add .glide to skipped dirs and add info about vendoring repo,Signed-off-by: Doug Davis <dug@us.ibm.com>,closed,True,2016-12-23 17:53:06,2017-01-03 16:13:27
repo-infra,mikedanese,https://github.com/kubernetes/repo-infra/pull/4,https://api.github.com/repos/kubernetes/repo-infra/issues/4,move build defs from release to repo-infra,"They originally went to release because there was no
good place to put them.",closed,True,2017-01-04 19:42:58,2017-01-09 22:32:06
repo-infra,mikedanese,https://github.com/kubernetes/repo-infra/pull/5,https://api.github.com/repos/kubernetes/repo-infra/issues/5,Add go_genrule,Original PR here https://github.com/kubernetes/release/pull/238,closed,True,2017-01-11 18:04:59,2017-01-26 23:04:55
repo-infra,pmorie,https://github.com/kubernetes/repo-infra/pull/6,https://api.github.com/repos/kubernetes/repo-infra/issues/6,Make 2017 a valid boilerplate year,Pretty much what it sounds like.,closed,True,2017-01-16 20:38:38,2017-01-16 22:29:38
repo-infra,DirectXMan12,https://github.com/kubernetes/repo-infra/pull/7,https://api.github.com/repos/kubernetes/repo-infra/issues/7,[WIP] codegen and codecgen,"This PR adds support update-codegen and update-codecgen.

This is very much a WIP, but I figured I'd post it for educational purposes.
Currently, it requires that repo-infra be vendored in, not used as a submodule.",closed,True,2017-02-17 04:24:28,2018-01-03 16:26:58
repo-infra,ingvagabund,https://github.com/kubernetes/repo-infra/pull/8,https://api.github.com/repos/kubernetes/repo-infra/issues/8,extend the boilerplate list of years with automatically generated list,To make it work forever!!!,closed,True,2017-02-20 15:08:26,2017-02-20 15:12:49
repo-infra,ideahitme,https://github.com/kubernetes/repo-infra/pull/9,https://api.github.com/repos/kubernetes/repo-infra/issues/9,Add go-tools verification scripts ,"Scripts are mostly taken from the main kubernetes repository with slight changes. I added `verify-go-src.sh` script which runs each of the scripts inside repo-infra/go-tools directory. Normally user would just call `repo-infra/verify/verify-go-src.sh -v` from Travis (maybe indirectly) which in turn would run checks for `gofmt, gometalinter, govet` on all `.go` files excluding `/vendor`. Only added these checks to keep it project agnostic (e.g. exclude stuff like swagger/godep/bazel). 

/cc @eparis @pmorie ",closed,True,2017-02-22 01:22:33,2017-02-24 15:54:40
repo-infra,eparis,https://github.com/kubernetes/repo-infra/pull/10,https://api.github.com/repos/kubernetes/repo-infra/issues/10,Add a .travis.yml,It just runs boilerplate on the repo-infra repo,closed,True,2017-02-22 17:45:07,2017-02-24 16:12:35
repo-infra,justinsb,https://github.com/kubernetes/repo-infra/pull/11,https://api.github.com/repos/kubernetes/repo-infra/issues/11,Add update-gofmt script,Mirroring the structure we have in the main k8s repo.,closed,True,2017-02-26 22:48:13,2018-03-10 01:25:33
repo-infra,mikebrow,https://github.com/kubernetes/repo-infra/issues/12,https://api.github.com/repos/kubernetes/repo-infra/issues/12,gometalinter vet vs govet,"I was reviewing the choices made on go verification options.  

1) Is there a reason for running with gometalinter's vet and govet?  

2) I see the need for boilerplate checking but not sure if we should be running that on every file. For example, do we need to add a copyright on gofmt.sh was that really developed for kubernetes or is it a copy? 

3) On the gometalinter options there are many choices here and other projects have made different choices. Would it be ok to introduce some way to override choices?  Or was there a reason these were chosen over other options some design choice made? For example, this repo disables all verifications even new ones that may come along.. and picks only the ones that are desired for all who use this repo. Maybe some projects would want to enable more? Maybe some projects would want to exclude more warnings/errors?",closed,False,2017-04-17 13:58:48,2018-05-22 15:48:21
repo-infra,ixdy,https://github.com/kubernetes/repo-infra/pull/13,https://api.github.com/repos/kubernetes/repo-infra/issues/13,Update the gcs_upload rule and add a new release_filegroup rule,"The gcs_upload rule has the following new features:
* Optionally specify subdirectories for groups of artifacts
* Replace format strings in GCS paths with workspace status info (e.g. git describe)
    
Two new md5sum and sha1sum macros are added.
    
The release_filegroup rule automatically creates three filegroups and a bunch of genrules based on the list of targets provided:
* A filegroup with just the provided targets
* A filegroup containing all of the md5 and sha1 hash files (-hashes)
* A filegroup containing both of the above (-and-hashes)

@mikedanese @spxtr ",closed,True,2017-04-18 00:15:28,2017-04-19 18:36:08
repo-infra,ixdy,https://github.com/kubernetes/repo-infra/pull/14,https://api.github.com/repos/kubernetes/repo-infra/issues/14,Improve the progress message on md5 and sha1 genrules,"Minor cosmetic improvement; changes lines from
```
Executing genrule //build:kube-proxy.docker_tag_genmd5sum
```
to
```
Computing md5sum //build:kube-proxy.docker_tag_genmd5sum
```
/assign @spxtr @mikedanese ",closed,True,2017-04-19 18:25:51,2017-04-19 19:42:17
