name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
security,https://api.github.com/repos/kubernetes/security/pulls/1,https://github.com/kubernetes/security/pull/1,joelsmith,"Copy docs from sig-release, rename PST to PSC","The first commit is strictly a copy of the old docs from sig-release.
The second commit contains the renames and URL updates.

See https://github.com/kubernetes/steering/issues/89",['philips'],2,2019-02-26 22:47:14,2019-03-04 18:18:02,2019-03-04 18:18:02,True,2019-03-04 18:18:01,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/2,https://github.com/kubernetes/security/pull/2,joelsmith,Change github.com/kubernets URLs to git.k8s.io,,['philips'],2,2019-03-04 18:28:24,2019-03-04 19:29:25,2019-03-04 19:29:25,True,2019-03-04 19:29:25,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/3,https://github.com/kubernetes/security/pull/3,philips,security-release-process: nominate Joel Smith as full time member,"Nomination email sent to kubernetes-security-discuss

https://groups.google.com/forum/#!forum/kubernetes-security-discuss

I want to nominate Joel Smith to join the Product Security Committee as
a full member. He has been an associate member since December 4th 2018
and in that role over the last three months he has helped on a number of
tasks including:

- Evaluation of the Kubernetes Security Audit vendors
- Review of publicly handled CSI logging bug
- Documentation moves for Security Committee formation

Further, Joel joined as an associate member based on his experience as
part of the OpenShift Online Security team which is a hosted
Kubernetes-base product.

Our process for accepting this nomination is lazy consensus and I will
close the round of consensus on March 15th, 2019 to leave time for any
comments or question. If the nomination is accepted Joel will take on
the full responsibilities of a Security Committee member and take on a
weekly rotation for security@kubernetes.io on-call rotation.",['cjcullen'],1,2019-03-05 18:20:06,2019-03-18 18:48:24,2019-03-20 01:03:57,True,2019-03-18 18:48:23,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/4,https://github.com/kubernetes/security/pull/4,gclem,New private-distributors membership,"Review done with Brandon, about this submission request for OVH Group.",['philips'],1,2019-03-05 18:33:53,2019-03-14 16:34:44,2019-03-14 16:34:45,False,,,dirty,False,closed
security,https://api.github.com/repos/kubernetes/security/pulls/5,https://github.com/kubernetes/security/pull/5,philips,Platform9,,[],2,2019-03-07 02:14:52,2019-03-07 02:14:59,2019-03-07 02:15:13,False,,,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/6,https://github.com/kubernetes/security/pull/6,philips,private-distributors-list: add Platform9,Fixes https://github.com/kubernetes/sig-release/pull/533,['nikhita'],1,2019-03-07 02:16:10,2019-03-12 19:18:41,2019-03-12 19:18:41,True,2019-03-12 19:18:41,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/7,https://github.com/kubernetes/security/pull/7,philips,private-distributors-list: add Gravitational,Replaces https://github.com/kubernetes/sig-release/pull/514<Paste>,"['timstclair', 'cjcullen', 'tallclair']",1,2019-03-07 02:22:05,2019-03-14 22:46:10,2019-03-14 22:46:10,True,2019-03-14 22:46:10,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/10,https://github.com/kubernetes/security/pull/10,philips,Private distributors: add OVH,replaces https://github.com/kubernetes/security/pull/4,['tallclair'],2,2019-03-14 16:34:11,2019-03-14 22:48:08,2019-03-14 22:48:08,True,2019-03-14 22:48:08,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/15,https://github.com/kubernetes/security/pull/15,jessfraz,"remove jess from PST, thanks :)",cc @philips ,['philips'],1,2019-03-20 14:27:15,2019-03-20 16:35:02,2019-03-20 16:35:02,True,2019-03-20 16:35:02,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/18,https://github.com/kubernetes/security/pull/18,philips,security-release-process: update philips's email,Use redhat.com email over coreos.com email due to losing filters,['joelsmith'],1,2019-03-21 05:24:40,2019-03-21 23:00:22,2019-03-21 23:15:27,True,2019-03-21 23:00:22,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/19,https://github.com/kubernetes/security/pull/19,philips,email-templates: fix to -> do,,"['liggitt', 'cjcullen']",1,2019-03-21 16:28:56,2019-03-27 03:50:50,2019-03-27 03:50:50,True,2019-03-27 03:50:50,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/20,https://github.com/kubernetes/security/pull/20,tallclair,Update a few more PSC member references,"/assign @philips 

I removed the individual PSC member emails from the distributors list. Membership is already captured by security@kubernetes.io.",['philips'],1,2019-03-22 18:00:11,2019-03-22 18:44:51,2019-03-22 18:44:51,True,2019-03-22 18:44:51,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/21,https://github.com/kubernetes/security/pull/21,jonpulsifer,Update @jonpulsifer's email and delete some spaces,"These emails are better respected in another inbox, my filter game is
not that strong.

Signed-off-by: Jonathan Pulsifer <jonathan.pulsifer@shopify.com>

😄 ",['tallclair'],2,2019-03-28 02:49:55,2019-03-28 23:13:57,2019-03-30 00:25:58,True,2019-03-28 23:13:57,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/22,https://github.com/kubernetes/security/pull/22,liggitt,"Update CVE request details, add issue publishing requirement","/cc @philips 

/hold
for DWF -> MITRE switch",[],1,2019-03-28 16:12:51,,2019-03-28 16:13:06,False,,,unstable,True,open
security,https://api.github.com/repos/kubernetes/security/pulls/23,https://github.com/kubernetes/security/pull/23,tallclair,Change distributor applications from email to issues,"Reasons for doing so:

- Eliminate non-vulnerability reports from security@kubernetes.io
- Provide public record of justifications for distributors list membership
- Easier to track process

Downsides:

- Requires the person filling in the application to have a github account
- Makes the application public record (+/-)

In some ways, having someone apply with a PR to edit the documented list would be even cleaner, but you can't have multiple PR templates.","['philips', 'liggitt']",1,2019-03-28 23:38:01,2019-04-04 19:15:21,2019-04-04 19:31:44,True,2019-04-04 19:15:21,k8s-ci-robot,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/24,https://github.com/kubernetes/security/pull/24,philips,private-distributors-list: testing PR template,"Hrm, this didn't work.",[],1,2019-04-04 19:18:56,2019-04-04 19:23:39,2019-04-04 19:26:26,False,,,unknown,,closed
security,https://api.github.com/repos/kubernetes/security/pulls/25,https://github.com/kubernetes/security/pull/25,tallclair,Change distributor applications from email to issues,"git reflog FTW

/assign @philips ",['philips'],1,2019-04-04 19:51:08,2019-04-04 20:09:19,2019-04-04 20:09:19,True,2019-04-04 20:09:19,k8s-ci-robot,unknown,,closed
